Number of unique subjects: 4160,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64],[65],[66],[67],[68],[69]
[0] http://eprints.org/ontology/hasDocument,1689,-,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,181,0,0,202,132,202,123,201,0,0,0,0,0,0,0,0,0,0,202,0,0,202,0,0,0,0,0,0,0,0,0,0
[1] http://eprints.org/ontology/hasFile,1620,-,-,0,20,203,2,42,20,60,46,319,202,203,319,187,20,330,2,50,20,69,47,1395,2,334,330,1394,3,3,3,195,4,3,0,0,0,0,0,0,0,1612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612,0,1612,0,0,0,0,0,0,0,0,0,0,0
[2] http://eprints.org/ontology/hasPresentation,8,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,6,3,6,4,6,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0
[3] http://eprints.org/relation/hasAudioVersion,20,-,-,-,-,20,0,0,20,0,11,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0
[4] http://eprints.org/relation/hasFlashVideoVersion,330,-,-,-,-,-,1,6,20,0,46,203,202,203,203,124,0,0,0,0,0,69,0,69,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,203,0,0,0,0,0,0,0,0,0,0,0
[5] http://eprints.org/relation/hasHD1080pVideoVersion,2,-,-,-,-,-,-,1,0,1,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
[6] http://eprints.org/relation/hasHD720pVideoVersion,49,-,-,-,-,-,-,-,0,42,0,48,6,6,48,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,48,0,0,0,0,0,0,0,0,0,0,0
[7] http://eprints.org/relation/hasMP3AudioVersion,20,-,-,-,-,-,-,-,-,0,11,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0
[8] http://eprints.org/relation/hasPodcastVersion,68,-,-,-,-,-,-,-,-,-,0,67,0,0,67,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,67,0,0,0,0,0,0,0,0,0,0,0
[9] http://eprints.org/relation/hasSDVideoVersion,47,-,-,-,-,-,-,-,-,-,-,46,46,46,46,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,46,0,0,0,0,0,0,0,0,0,0,0
[10] http://eprints.org/relation/hasVersion,1390,-,-,-,-,-,-,-,-,-,-,-,202,203,356,217,0,1,1,4,0,69,47,122,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,356,0,0,0,0,0,0,0,0,0,0,0
[11] http://eprints.org/relation/hasVideoStillPlayButtonVersion,329,-,-,-,-,-,-,-,-,-,-,-,-,202,202,123,0,0,0,0,0,69,0,69,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,202,0,0,0,0,0,0,0,0,0,0,0
[12] http://eprints.org/relation/hasVideoStillVersion,330,-,-,-,-,-,-,-,-,-,-,-,-,-,203,124,0,0,0,0,0,69,0,69,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,203,0,0,0,0,0,0,0,0,0,0,0
[13] http://eprints.org/relation/hasVolatileVersion,1391,-,-,-,-,-,-,-,-,-,-,-,-,-,-,217,0,1,1,4,0,69,47,122,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,356,0,0,0,0,0,0,0,0,0,0,0
[14] http://eprints.org/relation/hassmallThumbnailVersion,217,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,4,0,1,47,54,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,217,0,0,0,0,0,0,0,0,0,0,0
[15] http://eprints.org/relation/isAudioVersionOf,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,20,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0
[16] http://eprints.org/relation/isFlashVideoVersionOf,331,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,331,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,331,0,0,0,0,0,0,0,0,0,0,0
[17] http://eprints.org/relation/isHD1080pVideoVersionOf,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
[18] http://eprints.org/relation/isHD720pVideoVersionOf,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0
[19] http://eprints.org/relation/isMP3AudioVersionOf,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0
[20] http://eprints.org/relation/isPodcastVersionOf,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,69,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,69,0,0,0,0,0,0,0,0,0,0,0
