Number of unique subjects: 154,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25]
[0] http://id.southampton.ac.uk/ns/processIncludedFile,7,-,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0
[1] http://purl.org/dc/terms/conformsTo,2,-,-,2,2,2,2,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0
[2] http://purl.org/dc/terms/description,2,-,-,-,2,2,2,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0
[3] http://purl.org/dc/terms/isPartOf,2,-,-,-,-,2,2,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0
[4] http://purl.org/dc/terms/license,2,-,-,-,-,-,2,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0
[5] http://purl.org/dc/terms/publisher,2,-,-,-,-,-,-,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0
[6] http://purl.org/dc/terms/title,2,-,-,-,-,-,-,-,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0
[7] http://purl.org/openorg/corrections,2,-,-,-,-,-,-,-,-,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0
[8] http://purl.org/void/provenance/ns/processType,3,-,-,-,-,-,-,-,-,-,3,3,0,0,3,0,0,0,0,3,3,3,3,0,3,3,0
[9] http://purl.org/void/provenance/ns/resultingDataset,3,-,-,-,-,-,-,-,-,-,-,3,0,0,3,0,0,0,0,3,3,3,3,0,3,3,0
[10] http://purl.org/void/provenance/ns/sourceDataset,3,-,-,-,-,-,-,-,-,-,-,-,0,0,3,0,0,0,0,3,3,3,3,0,3,3,0
[11] http://rdfs.org/ns/void#sparqlEndpoint,2,-,-,-,-,-,-,-,-,-,-,-,-,0,2,0,0,0,0,0,0,0,0,2,0,0,0
[12] http://rdfs.org/ns/void#triples,1,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
[13] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93,139,14,139,3,3,3,3,3,3,3,47
[14] http://www.w3.org/2000/01/rdf-schema#comment,93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93,11,93,0,0,0,0,0,0,0,27
[15] http://www.w3.org/2000/01/rdf-schema#label,140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,139,0,0,0,0,0,0,0,47
[16] http://www.w3.org/2003/06/sw-vocab-status/ns#term_status,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,0,0,0,0,0,0,0,7
[17] http://www.w3.org/2004/02/skos/core#prefLabel,139,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,47
[18] http://www.w3.org/2006/time#hasBeginning,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,0,3,3,0
[19] http://www.w3.org/2006/time#hasEnd,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,0,3,3,0
[20] http://www.w3.org/ns/prov#endedAtTime,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,3,3,0
[21] http://www.w3.org/ns/prov#generated,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,3,0
[22] http://www.w3.org/ns/prov#hadPrimarySource,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[23] http://www.w3.org/ns/prov#startedAtTime,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0
[24] http://www.w3.org/ns/prov#used,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[25] http://xmlns.com/foaf/0.1/homepage,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
