Number of unique subjects: 612,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27]
[0] http://id.southampton.ac.uk/ns/googleMapsZoom,6,-,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,1,6,0,0,6,0,0,0,0,0,6
[1] http://id.southampton.ac.uk/ns/processIncludedFile,135,-,-,0,0,0,0,0,0,5,5,5,0,0,0,5,0,0,0,0,5,5,0,5,5,0,5,5,0
[2] http://purl.org/dc/terms/conformsTo,2,-,-,-,2,2,2,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
[3] http://purl.org/dc/terms/description,2,-,-,-,-,2,2,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
[4] http://purl.org/dc/terms/isPartOf,2,-,-,-,-,-,2,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
[5] http://purl.org/dc/terms/license,2,-,-,-,-,-,-,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
[6] http://purl.org/dc/terms/publisher,2,-,-,-,-,-,-,-,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
[7] http://purl.org/dc/terms/title,2,-,-,-,-,-,-,-,-,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
[8] http://purl.org/void/provenance/ns/processType,8,-,-,-,-,-,-,-,-,-,7,7,0,0,0,7,0,0,0,0,7,7,0,7,7,0,7,7,0
[9] http://purl.org/void/provenance/ns/resultingDataset,7,-,-,-,-,-,-,-,-,-,-,7,0,0,0,7,0,0,0,0,7,7,0,7,7,0,7,7,0
[10] http://purl.org/void/provenance/ns/sourceDataset,8,-,-,-,-,-,-,-,-,-,-,-,0,0,0,7,0,0,0,0,7,7,0,7,7,0,7,7,0
[11] http://rdfs.org/ns/void#sparqlEndpoint,2,-,-,-,-,-,-,-,-,-,-,-,-,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
[12] http://rdfs.org/ns/void#triples,1,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[13] http://vocab.deri.ie/rooms#occupant,173,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,0,0,0,0,0,0,0,0,0,0,0,0,0
[14] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,656,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,510,70,495,7,7,99,7,7,7,7,7,115
[15] http://www.w3.org/2000/01/rdf-schema#comment,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0
[16] http://www.w3.org/2000/01/rdf-schema#label,510,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70,495,0,0,99,0,0,0,0,0,112
[17] http://www.w3.org/2002/07/owl#sameAs,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70,0,0,43,0,0,0,0,0,38
[18] http://www.w3.org/2004/02/skos/core#notation,575,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,99,0,0,0,0,0,100
[19] http://www.w3.org/2006/time#hasBeginning,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,0,7,7,0,7,7,0
[20] http://www.w3.org/2006/time#hasEnd,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,7,7,0,7,7,0
[21] http://www.w3.org/ns/org#hasSubOrganization,459,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,40
[22] http://www.w3.org/ns/prov#endedAtTime,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,0,7,7,0
[23] http://www.w3.org/ns/prov#generated,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,7,7,0
[24] http://www.w3.org/ns/prov#hadPrimarySource,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[25] http://www.w3.org/ns/prov#startedAtTime,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,0
[26] http://www.w3.org/ns/prov#used,143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[27] http://xmlns.com/foaf/0.1/homepage,115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
