Number of unique subjects: 279515,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56]
[0] http://eunis.eea.europa.eu/rdf/species-schema.rdf#binomialName,279514,-,279514,93,864,5988,34772,279514,28,366,162,7,20,10350,478,857,783,24,5129,5241,6344,2091,42949,497,64294,5179,864,785,155386,2369,207628,367,43726,6311,2383,1807,4831,203300,398,38051,279514,279514,81960,279514,279514,279514,0,0,279514,274716,279514,279514,6178,279514,279514,8292,279514,216402
[1] http://eunis.eea.europa.eu/rdf/species-schema.rdf#eunisPrimaryName,279514,-,-,93,864,5988,34772,279514,28,366,162,7,20,10350,478,857,783,24,5129,5241,6344,2091,42949,497,64294,5179,864,785,155386,2369,207628,367,43726,6311,2383,1807,4831,203300,398,38051,279514,279514,81960,279514,279514,279514,0,0,279514,274716,279514,279514,6178,279514,279514,8292,279514,216402
[2] http://eunis.eea.europa.eu/rdf/species-schema.rdf#hasBioLibPage,93,-,-,-,28,57,38,93,0,1,0,0,0,93,22,28,1,0,84,86,66,84,93,44,75,81,28,1,70,0,81,17,85,65,37,86,29,75,1,10,93,93,1,93,93,93,0,0,93,74,93,93,52,93,93,62,93,93
[3] http://eunis.eea.europa.eu/rdf/species-schema.rdf#hasEURINGCode,864,-,-,-,-,663,165,864,0,0,0,0,0,802,472,852,0,0,721,650,764,368,819,131,635,727,845,0,701,0,709,18,803,747,491,32,96,724,0,234,864,864,14,864,864,864,0,0,864,765,864,864,497,864,864,496,864,829
[4] http://eunis.eea.europa.eu/rdf/species-schema.rdf#hasLegalReference,9882,-,-,-,-,-,1366,5988,1,23,4,7,3,1734,462,659,139,18,913,974,1855,524,2162,486,1583,926,657,139,1140,170,3093,34,1768,1851,2203,159,231,2400,397,1019,5988,5988,2550,5988,5988,5988,0,0,5988,4843,5988,5988,1384,5988,5988,1216,5988,3707
[5] http://eunis.eea.europa.eu/rdf/species-schema.rdf#hasSynonym,81960,-,-,-,-,-,-,34772,27,132,6,5,0,4237,103,170,531,19,1715,2346,2271,1015,8722,127,10782,1660,148,522,17422,1570,23070,179,8033,2013,962,980,2186,24585,173,3389,34772,34772,5,34772,34772,34772,0,0,34772,33937,34772,34772,3756,34772,34772,3929,34772,27665
[6] http://eunis.eea.europa.eu/rdf/species-schema.rdf#ignoreOnNameMatch,279514,-,-,-,-,-,-,-,28,366,162,7,20,10350,478,857,783,24,5129,5241,6344,2091,42949,497,64294,5179,864,785,155386,2369,207628,367,43726,6311,2383,1807,4831,203300,398,38051,279514,279514,81960,279514,279514,279514,0,0,279514,274716,279514,279514,6178,279514,279514,8292,279514,216402
[7] http://eunis.eea.europa.eu/rdf/species-schema.rdf#maybeSameSpecies,28,-,-,-,-,-,-,-,-,1,1,0,0,6,0,0,0,0,0,1,1,0,10,0,4,1,0,0,6,0,14,0,11,0,0,0,5,17,0,0,28,28,0,28,28,28,0,0,28,28,28,28,4,28,28,9,28,23
[8] http://eunis.eea.europa.eu/rdf/species-schema.rdf#notSameSpecies,374,-,-,-,-,-,-,-,-,-,155,0,0,111,0,0,2,0,49,54,32,46,210,3,105,157,3,2,35,2,146,5,202,39,12,55,74,137,3,4,366,366,213,366,366,366,0,0,366,345,366,366,95,366,366,86,366,324
[9] http://eunis.eea.europa.eu/rdf/species-schema.rdf#notSameSynonym,162,-,-,-,-,-,-,-,-,-,-,0,0,18,0,0,0,0,2,2,3,0,71,0,7,58,0,0,8,0,11,1,62,4,2,0,14,26,2,2,162,162,146,162,162,162,0,0,162,159,162,162,35,162,162,17,162,150
[10] http://eunis.eea.europa.eu/rdf/species-schema.rdf#notSameSynonymPlantsWCMC,10,-,-,-,-,-,-,-,-,-,-,-,0,5,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,4,0,1,0,0,0,0,4,6,0,7,7,1,7,7,7,0,0,7,7,7,7,4,7,7,6,7,7
