Number of unique subjects: 6153,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20]
[0] http://purl.org/dc/terms/contributor,3,-,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
[1] http://purl.org/dc/terms/created,1,-,-,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
[2] http://purl.org/dc/terms/creator,1,-,-,-,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
[3] http://purl.org/dc/terms/description,1,-,-,-,-,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
[4] http://purl.org/dc/terms/format,2,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0
[5] http://purl.org/dc/terms/isPartOf,6150,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[6] http://purl.org/dc/terms/issued,1,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,0,0,1,1
[7] http://purl.org/dc/terms/license,1,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,0,0,1,1
[8] http://purl.org/dc/terms/publisher,1,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,0,0,1,1
[9] http://purl.org/dc/terms/source,1,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,0,0,1,1
[10] http://purl.org/dc/terms/subject,4,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,0,0,1,1
[11] http://purl.org/dc/terms/title,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,0,0,1,1
[12] http://rdfs.org/ns/void#exampleResource,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,0,0,1,1
[13] http://rdfs.org/ns/void#feature,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,0,0,1,1
[14] http://rdfs.org/ns/void#uriRegexPattern,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0,1,1
[15] http://rdfs.org/ns/void#vocabulary,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,1,1
[16] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,1
[17] http://www.w3.org/2000/01/rdf-schema#comment,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0
[18] http://www.w3.org/2000/01/rdf-schema#label,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[19] http://xmlns.com/foaf/0.1/fundedBy,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
[20] http://xmlns.com/foaf/0.1/homepage,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
