Number of unique subjects: 16569,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54]
[0] http://creativecommons.org/ns#License,5,-,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,5,0,0,5,5,0,5,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,5
[1] http://creativecommons.org/ns#attributionName,7,-,-,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,7,7,0,2,7,7,0,7,0,0,0,0,0,4,0,4,0,0,1,0,0,0,0,7
[2] http://creativecommons.org/ns#attributionURL,12,-,-,-,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,8,12,10,0,7,10,10,0,12,2,0,0,0,0,7,1,4,0,0,2,0,0,0,1,12
[3] http://creativecommons.org/ns#license,16,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,5,4,5,16,0,5,5,5,4,5,0,0,0,0,0,12,1,0,0,0,12,0,0,0,0,5
[4] http://dbpedia.org/ontology/thumbnail,1,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
[5] http://lod.taxonconcept.org/ontology/txn.owl#abrevBotName,66,-,-,-,-,-,-,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,66,0,0,0,66,0,0,0
[6] http://lod.taxonconcept.org/ontology/txn.owl#abrevZooName,10,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,10,0,0,0
[7] http://lod.taxonconcept.org/ontology/txn.owl#acceptedTaxonNameID_Of,4,-,-,-,-,-,-,-,-,3,3,0,0,0,0,0,0,3,3,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0
[8] http://lod.taxonconcept.org/ontology/txn.owl#authority,3,-,-,-,-,-,-,-,-,-,3,0,0,0,0,0,0,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0
[9] http://lod.taxonconcept.org/ontology/txn.owl#firstAuthorID,3,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0
[10] http://lod.taxonconcept.org/ontology/txn.owl#hasBugGuidePage,8021,-,-,-,-,-,-,-,-,-,-,-,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,2,0,0
[11] http://lod.taxonconcept.org/ontology/txn.owl#hasCitation,237,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0
[12] http://lod.taxonconcept.org/ontology/txn.owl#hasExpectationOf,52,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[13] http://lod.taxonconcept.org/ontology/txn.owl#hasMapImage,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,2,0,0
[14] http://lod.taxonconcept.org/ontology/txn.owl#hasOriginalName,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
[15] http://lod.taxonconcept.org/ontology/txn.owl#isExpectedIn,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[16] http://lod.taxonconcept.org/ontology/txn.owl#lastAuthorID,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0
[17] http://lod.taxonconcept.org/ontology/txn.owl#nameYear,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0
[18] http://lod.taxonconcept.org/ontology/txn.owl#originalName,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0
[19] http://lod.taxonconcept.org/ontology/txn.owl#relatedName,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0
[20] http://lod.taxonconcept.org/ontology/txn.owl#relatedNameOf,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,43,43,0,0,0,0,0
[21] http://lod.taxonconcept.org/ontology/txn.owl#scientificName,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0
[22] http://lod.taxonconcept.org/ontology/txn.owl#taxonNameID_Of,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,44,44,0,0,0,0,0
[23] http://lod.taxonconcept.org/ontology/txn.owl#yearBorn,386,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,386,0,0,0,386,0,0,0
[24] http://lod.taxonconcept.org/ontology/txn.owl#yearDied,386,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,386,0,0,0,386,0,0,0
[25] http://lod.taxonconcept.org/ontology/txn.owl#yearPub,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0
[26] http://purl.org/dc/terms/contributor,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0
[27] http://purl.org/dc/terms/contributors,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0
[28] http://purl.org/dc/terms/created,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,0,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
[29] http://purl.org/dc/terms/creator,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,10,10,0,5,10,10,0,10,0,0,0,0,0,5,1,4,0,0,1,0,0,0,0,10
[30] http://purl.org/dc/terms/description,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,7,1,6,6,6,0,8,2,1,1,1,1,6,1,2,1,0,3,0,0,0,1,8
[31] http://purl.org/dc/terms/identifier,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,1,7,10,10,0,12,2,1,1,1,1,8,1,4,1,0,3,0,0,0,1,12
[32] http://purl.org/dc/terms/isPartOf,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,10,10,4,10,0,1,1,1,1,17,1,4,1,0,13,0,0,0,0,10
[33] http://purl.org/dc/terms/issued,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0
[34] http://purl.org/dc/terms/language,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,0,7,2,0,0,0,0,3,1,0,0,0,2,0,0,0,1,7
[35] http://purl.org/dc/terms/modified,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,0,10,0,0,0,0,0,5,1,4,0,0,1,0,0,0,0,10
[36] http://purl.org/dc/terms/publisher,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,10,0,0,0,0,0,5,1,4,0,0,1,0,0,0,0,10
[37] http://purl.org/dc/terms/source,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0
[38] http://purl.org/dc/terms/title,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,7,1,4,0,0,2,0,0,0,1,12
[39] http://purl.org/dc/terms/type,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,2,0,0,0,0,1,0,0,0,1,2
[40] http://purl.org/ontology/bibo/doi,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,0,0,1,0,1,0,0,0,0,0
[41] http://purl.org/ontology/bibo/pageEnd,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,0,0,1,0,1,0,0,0,0,0
[42] http://purl.org/ontology/bibo/pageStart,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0,1,0,1,0,0,0,0,0
[43] http://purl.org/ontology/bibo/title,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,1,0,1,0,0,0,0,0
