Number of unique subjects: 21,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11]
[0] http://www.geonames.org/ontology#featureClass,7,-,7,7,7,7,7,0,0,0,7,0,7
[1] http://www.geonames.org/ontology#featureCode,7,-,-,7,7,7,7,0,0,0,7,0,7
[2] http://www.geonames.org/ontology#name,7,-,-,-,7,7,7,0,0,0,7,0,7
[3] http://www.geonames.org/ontology#population,7,-,-,-,-,7,7,0,0,0,7,0,7
[4] http://www.telegraphis.net/ontology/geography/geography#landArea,7,-,-,-,-,-,7,0,0,0,7,0,7
[5] http://www.telegraphis.net/ontology/measurement/code#hasCode,7,-,-,-,-,-,-,0,0,0,7,0,7
[6] http://www.telegraphis.net/ontology/measurement/code#inCodeScheme,7,-,-,-,-,-,-,-,0,0,7,7,0
[7] http://www.telegraphis.net/ontology/measurement/measurement#quantityMeasured,7,-,-,-,-,-,-,-,-,7,7,7,0
[8] http://www.telegraphis.net/ontology/measurement/measurement#unit,7,-,-,-,-,-,-,-,-,-,7,7,0
[9] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,21,-,-,-,-,-,-,-,-,-,-,14,7
[10] http://www.w3.org/1999/02/22-rdf-syntax-ns#value,14,-,-,-,-,-,-,-,-,-,-,-,0
[11] http://www.w3.org/2002/07/owl#sameAs,14,-,-,-,-,-,-,-,-,-,-,-,-
