Number of unique subjects: 1476,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18]
[0] http://telegraphis.net/ontology/geography/geography#capital,241,-,228,241,241,241,241,241,241,241,0,0,0,241,241,241,241,241,0,241
[1] http://telegraphis.net/ontology/geography/geography#currency,246,-,-,230,230,230,230,230,230,230,0,0,0,230,230,230,230,230,0,230
[2] http://telegraphis.net/ontology/geography/geography#isoAlpha2,246,-,-,-,246,246,246,246,246,246,0,0,0,246,246,246,246,246,0,246
[3] http://telegraphis.net/ontology/geography/geography#isoAlpha3,246,-,-,-,-,246,246,246,246,246,0,0,0,246,246,246,246,246,0,246
[4] http://telegraphis.net/ontology/geography/geography#isoNumeric,246,-,-,-,-,-,246,246,246,246,0,0,0,246,246,246,246,246,0,246
[5] http://telegraphis.net/ontology/geography/geography#isoShortName,492,-,-,-,-,-,-,246,246,246,0,0,0,246,246,246,246,246,0,246
[6] http://telegraphis.net/ontology/geography/geography#landArea,246,-,-,-,-,-,-,-,246,246,0,0,0,246,246,246,246,246,0,246
[7] http://telegraphis.net/ontology/geography/geography#onContinent,246,-,-,-,-,-,-,-,-,246,0,0,0,246,246,246,246,246,0,246
[8] http://telegraphis.net/ontology/measurement/code#hasCode,984,-,-,-,-,-,-,-,-,-,0,0,0,246,246,246,246,246,0,246
[9] http://telegraphis.net/ontology/measurement/code#inCodeScheme,984,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,984,984,0
[10] http://telegraphis.net/ontology/measurement/measurement#quantityMeasured,246,-,-,-,-,-,-,-,-,-,-,-,246,0,0,0,0,246,246,0
[11] http://telegraphis.net/ontology/measurement/measurement#unit,246,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,246,246,0
[12] http://www.geonames.org/ontology#featureClass,246,-,-,-,-,-,-,-,-,-,-,-,-,-,246,246,246,246,0,246
[13] http://www.geonames.org/ontology#featureCode,246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,246,246,246,0,246
[14] http://www.geonames.org/ontology#name,246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,246,246,0,246
[15] http://www.geonames.org/ontology#population,246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,246,0,246
[16] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1476,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1230,246
[17] http://www.w3.org/1999/02/22-rdf-syntax-ns#value,1230,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[18] http://www.w3.org/2002/07/owl#sameAs,971,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
