Number of unique subjects: 533,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13]
[0] http://telegraphis.net/ontology/measurement/code#hasCode,355,-,0,166,178,177,166,161,24,178,178,155,178,0,170
[1] http://telegraphis.net/ontology/measurement/code#inCodeScheme,355,-,-,0,0,0,0,0,0,0,0,0,355,355,0
[2] http://telegraphis.net/ontology/money/money#currencyOf,246,-,-,-,166,166,166,161,24,166,166,148,166,0,160
[3] http://telegraphis.net/ontology/money/money#isoAlpha,178,-,-,-,-,177,166,161,24,178,178,155,178,0,170
[4] http://telegraphis.net/ontology/money/money#isoNumeric,177,-,-,-,-,-,166,161,24,177,177,155,177,0,169
[5] http://telegraphis.net/ontology/money/money#minorExponent,166,-,-,-,-,-,-,161,24,166,166,148,166,0,160
[6] http://telegraphis.net/ontology/money/money#minorName,161,-,-,-,-,-,-,-,24,161,161,147,161,0,157
[7] http://telegraphis.net/ontology/money/money#minorSymbol,24,-,-,-,-,-,-,-,-,24,24,24,24,0,22
[8] http://telegraphis.net/ontology/money/money#name,178,-,-,-,-,-,-,-,-,-,178,155,178,0,170
[9] http://telegraphis.net/ontology/money/money#shortName,178,-,-,-,-,-,-,-,-,-,-,155,178,0,170
[10] http://telegraphis.net/ontology/money/money#symbol,155,-,-,-,-,-,-,-,-,-,-,-,155,0,153
[11] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,533,-,-,-,-,-,-,-,-,-,-,-,-,355,170
[12] http://www.w3.org/1999/02/22-rdf-syntax-ns#value,355,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[13] http://www.w3.org/2002/07/owl#sameAs,170,-,-,-,-,-,-,-,-,-,-,-,-,-,-
