Number of unique subjects: 41,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27]
[0] http://purl.org/NET/scovo#dimension,16,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
[1] http://purl.org/dc/terms/created,4,-,-,4,4,0,4,4,4,4,4,4,4,4,4,0,0,4,4,0,4,0,3,4,4,0,0,0,4
[2] http://purl.org/dc/terms/creator,4,-,-,-,4,0,4,4,4,4,4,4,4,4,4,0,0,4,4,0,4,0,3,4,4,0,0,0,4
[3] http://purl.org/dc/terms/description,4,-,-,-,-,0,4,4,4,4,4,4,4,4,4,0,0,4,4,0,4,0,3,4,4,0,0,0,4
[4] http://purl.org/dc/terms/format,3,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0
[5] http://purl.org/dc/terms/issued,4,-,-,-,-,-,-,4,4,4,4,4,4,4,4,0,0,4,4,0,4,0,3,4,4,0,0,0,4
[6] http://purl.org/dc/terms/license,4,-,-,-,-,-,-,-,4,4,4,4,4,4,4,0,0,4,4,0,4,0,3,4,4,0,0,0,4
[7] http://purl.org/dc/terms/publisher,4,-,-,-,-,-,-,-,-,4,4,4,4,4,4,0,0,4,4,0,4,0,3,4,4,0,0,0,4
[8] http://purl.org/dc/terms/source,4,-,-,-,-,-,-,-,-,-,4,4,4,4,4,0,0,4,4,0,4,0,3,4,4,0,0,0,4
[9] http://purl.org/dc/terms/subject,8,-,-,-,-,-,-,-,-,-,-,8,4,4,4,0,0,4,4,0,4,0,3,4,8,0,0,0,8
[10] http://purl.org/dc/terms/title,8,-,-,-,-,-,-,-,-,-,-,-,4,4,4,0,0,4,4,0,4,0,3,4,8,0,0,0,8
[11] http://rdfs.org/ns/void#dataDump,8,-,-,-,-,-,-,-,-,-,-,-,-,4,4,0,0,4,4,0,4,0,3,4,4,0,0,0,4
[12] http://rdfs.org/ns/void#exampleResource,12,-,-,-,-,-,-,-,-,-,-,-,-,-,4,0,0,4,4,0,4,0,3,4,4,0,0,0,4
[13] http://rdfs.org/ns/void#feature,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,4,4,0,4,0,3,4,4,0,0,0,4
[14] http://rdfs.org/ns/void#linkPredicate,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,0,0,5,0,9,0,0,14,0,0,0,0
[15] http://rdfs.org/ns/void#objectsTarget,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,5,0,0,0,0,5,0,0,0,0
[16] http://rdfs.org/ns/void#sparqlEndpoint,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,0,4,0,3,4,4,0,0,0,4
[17] http://rdfs.org/ns/void#statItem,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,0,3,4,4,0,0,0,4
[18] http://rdfs.org/ns/void#subjectsTarget,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,5,0,0,0,0
[19] http://rdfs.org/ns/void#subset,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,4,4,0,0,0,4
[20] http://rdfs.org/ns/void#target,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,9,0,0,0,0
[21] http://rdfs.org/ns/void#uriRegexPattern,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,0,0,0,3
[22] http://rdfs.org/ns/void#vocabulary,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,0,0,0,4
[23] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,3,8
[24] http://www.w3.org/1999/02/22-rdf-syntax-ns#value,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[25] http://www.w3.org/2000/01/rdf-schema#comment,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0
[26] http://www.w3.org/2000/01/rdf-schema#label,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[27] http://xmlns.org/foaf/0.1/homepage,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
