Number of unique subjects: 180,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25]
[0] http://creativecommons.org/ns#attributionName,1,-,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[1] http://creativecommons.org/ns#attributionURL,1,-,-,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2] http://data.totl.net/occult/correspondsTo,80,-,-,-,12,12,12,12,12,0,12,0,0,0,16,0,4,0,4,0,0,0,0,0,12,0,12
[3] http://data.totl.net/zodiac/ontology/end,12,-,-,-,-,12,12,12,12,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,12
[4] http://data.totl.net/zodiac/ontology/keyword,97,-,-,-,-,-,12,12,12,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,12
[5] http://data.totl.net/zodiac/ontology/phrase,12,-,-,-,-,-,-,12,12,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,12
[6] http://data.totl.net/zodiac/ontology/start,12,-,-,-,-,-,-,-,12,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,12
[7] http://data.totl.net/zodiac/ontology/symbol,12,-,-,-,-,-,-,-,-,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,12
[8] http://purl.org/dc/terms/creator,1,-,-,-,-,-,-,-,-,-,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[9] http://purl.org/dc/terms/description,13,-,-,-,-,-,-,-,-,-,-,1,0,0,12,0,0,0,0,0,0,0,0,0,12,0,12
[10] http://purl.org/dc/terms/license,1,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[11] http://www.w3.org/1999/02/22-rdf-syntax-ns#first,110,-,-,-,-,-,-,-,-,-,-,-,-,110,0,0,0,0,0,0,0,0,0,0,0,0,0
[12] http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,110,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
[13] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,22,1,20,24,26,8,26,1,25,1,12
[14] http://www.w3.org/2000/01/rdf-schema#domain,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0,0,0,0,0,0,0,0
[15] http://www.w3.org/2000/01/rdf-schema#label,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,19,0,0,0,0,1,13,1,0
[16] http://www.w3.org/2000/01/rdf-schema#range,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
[17] http://www.w3.org/2000/01/rdf-schema#subClassOf,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,12,0,0
[18] http://www.w3.org/2002/07/owl#allValuesFrom,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,0,24,0,0,0,0
[19] http://www.w3.org/2002/07/owl#cardinality,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,26,0,0,0,0
[20] http://www.w3.org/2002/07/owl#distinctMembers,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
[21] http://www.w3.org/2002/07/owl#onProperty,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
[22] http://www.w3.org/2002/07/owl#oneOf,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[23] http://www.w3.org/2002/07/owl#sameAs,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,12
[24] http://www.w3.org/2002/07/owl#unionOf,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[25] http://xmlns.com/foaf/0.1/name,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
