Number of unique subjects: 5,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11]
[0] http://purl.org/dc/elements/1.1/description,1,-,1,0,0,0,0,1,1,1,1,1,0
[1] http://purl.org/dc/elements/1.1/title,1,-,-,0,0,0,0,1,1,1,1,1,0
[2] http://purl.org/dc/terms/format,4,-,-,-,1,4,4,0,0,4,0,0,4
[3] http://purl.org/dc/terms/hasFormat,4,-,-,-,-,1,1,0,0,1,0,0,1
[4] http://purl.org/dc/terms/isFormatOf,4,-,-,-,-,-,4,0,0,4,0,0,4
[5] http://purl.org/dc/terms/title,5,-,-,-,-,-,-,0,0,4,0,0,4
[6] http://rdfs.org/ns/void#exampleResource,3,-,-,-,-,-,-,-,1,1,1,1,0
[7] http://rdfs.org/ns/void#sparqlEndpoint,1,-,-,-,-,-,-,-,-,1,1,1,0
[8] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,9,-,-,-,-,-,-,-,-,-,1,1,4
[9] http://www.w3.org/2000/01/rdf-schema#label,2,-,-,-,-,-,-,-,-,-,-,1,0
[10] http://xmlns.com/foaf/0.1/homepage,1,-,-,-,-,-,-,-,-,-,-,-,0
[11] http://xmlns.com/foaf/0.1/primaryTopic,4,-,-,-,-,-,-,-,-,-,-,-,-
