Number of unique subjects: 1519,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16]
[0] http://creativecommons.org/ns#attributionName,1,-,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
[1] http://creativecommons.org/ns#attributionURL,2,-,-,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
[2] http://data.totl.net/xkcd.rdf#alt_text,1479,-,-,-,39,40,1476,0,0,1476,0,1476,0,1476,1476,0,1476,460
[3] http://data.totl.net/xkcd.rdf#link,39,-,-,-,-,12,39,0,0,39,0,39,0,39,39,0,39,14
[4] http://data.totl.net/xkcd.rdf#news,40,-,-,-,-,-,40,0,0,40,0,40,0,40,40,0,40,23
[5] http://data.totl.net/xkcd.rdf#transcript,1479,-,-,-,-,-,-,0,0,1476,0,1476,0,1476,1476,0,1476,460
[6] http://purl.org/dc/terms/conformsTo,1,-,-,-,-,-,-,-,1,0,1,0,1,0,0,0,0,0
[7] http://purl.org/dc/terms/creator,2,-,-,-,-,-,-,-,-,0,1,0,1,0,0,0,0,0
[8] http://purl.org/dc/terms/date,1479,-,-,-,-,-,-,-,-,-,0,1476,0,1476,1476,0,1476,460
[9] http://purl.org/dc/terms/description,1,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,0
[10] http://purl.org/dc/terms/identifier,1479,-,-,-,-,-,-,-,-,-,-,-,0,1476,1476,0,1476,460
[11] http://purl.org/dc/terms/license,1,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
[12] http://purl.org/dc/terms/title,2956,-,-,-,-,-,-,-,-,-,-,-,-,-,1476,0,1476,460
[13] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1480,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1476,460
[14] http://www.w3.org/2000/01/rdf-schema#label,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[15] http://xmlns.com/foaf/0.1/page,1479,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,460
[16] http://xmlns.com/foaf/0.1/topic,682,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
