Number of unique subjects: 11157,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44]
[0] http://tkm.kiom.re.kr/tkmedicine#AlternateName,5073,-,967,82,141,4,697,0,0,0,0,0,332,332,324,327,327,61,76,31,1,91,277,91,325,18,289,95,0,55,5,0,336,323,0,0,977,0,0,0,0,0,0,0,0,0
[1] http://tkm.kiom.re.kr/tkmedicine#ChineseName,6747,-,-,1091,1820,41,4373,0,0,0,0,0,571,574,551,563,563,170,106,37,17,120,393,128,564,24,345,125,0,62,51,0,677,556,0,0,6522,0,0,0,0,0,0,0,0,0
[2] http://tkm.kiom.re.kr/tkmedicine#EnglishAnnotation,1099,-,-,-,0,0,643,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091,0,0,0,0,0,0,0,0,0
[3] http://tkm.kiom.re.kr/tkmedicine#EnglishName,2575,-,-,-,-,41,2263,0,2,3,3,7,1,1,1,1,1,1,1,0,0,1,1,1,2,0,1,1,0,1,51,0,263,1,0,0,2571,0,0,0,0,0,0,0,0,0
[4] http://tkm.kiom.re.kr/tkmedicine#ID,42,-,-,-,-,-,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
[5] http://tkm.kiom.re.kr/tkmedicine#KoreanName,4897,-,-,-,-,-,-,0,2,3,3,6,570,573,550,562,562,170,106,37,12,120,392,128,563,24,345,125,0,62,51,0,680,555,0,0,4863,0,0,0,0,0,0,0,0,0
[6] http://tkm.kiom.re.kr/tkmedicine#NCBI_TaxonomybyAuthority,135,-,-,-,-,-,-,-,60,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0
[7] http://tkm.kiom.re.kr/tkmedicine#NCBI_TaxonomybyGenericSpecificName,760,-,-,-,-,-,-,-,-,6,115,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,0,0,0,0,0,0,0,0,0
[8] http://tkm.kiom.re.kr/tkmedicine#NCBI_TaxonomybyScientificName,11,-,-,-,-,-,-,-,-,-,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
[9] http://tkm.kiom.re.kr/tkmedicine#NCBI_TaxonomybySynonym,270,-,-,-,-,-,-,-,-,-,-,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0
[10] http://tkm.kiom.re.kr/tkmedicine#ScientificName,2407,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1414,0,0,0,0,0,0,0,0,0
[11] http://tkm.kiom.re.kr/tkmedicine#hasEffectOf,1592,-,-,-,-,-,-,-,-,-,-,-,-,569,551,559,559,166,105,36,0,119,392,127,555,24,344,124,0,62,0,0,415,552,0,0,571,0,0,0,0,0,0,0,0,0
[12] http://tkm.kiom.re.kr/tkmedicine#hasEffectTo,3609,-,-,-,-,-,-,-,-,-,-,-,-,-,549,561,561,169,106,37,0,120,392,127,558,24,345,125,0,62,0,0,417,554,0,0,574,0,0,0,0,0,0,0,0,0
[13] http://tkm.kiom.re.kr/tkmedicine#hasEffectToMeridianEntry,1327,-,-,-,-,-,-,-,-,-,-,-,-,-,-,547,547,159,104,36,0,118,387,125,535,24,343,123,0,62,0,0,409,540,0,0,551,0,0,0,0,0,0,0,0,0
[14] http://tkm.kiom.re.kr/tkmedicine#hasMedicinalFlavorOf,864,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,564,170,106,37,0,120,393,126,548,24,343,125,0,62,0,0,412,551,0,0,564,0,0,0,0,0,0,0,0,0
[15] http://tkm.kiom.re.kr/tkmedicine#hasMedicinalNatureOf,571,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,170,106,37,0,120,393,126,548,24,343,125,0,62,0,0,412,551,0,0,564,0,0,0,0,0,0,0,0,0
[16] http://tkm.kiom.re.kr/tkmedicine#hasMedicinalToxicityOf,170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,13,0,44,89,54,163,13,50,45,0,26,0,0,92,165,0,0,170,0,0,0,0,0,0,0,0,0
[17] http://tkm.kiom.re.kr/tkmedicine#hasToxicMechanismOf,303,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,0,94,89,55,110,9,83,101,0,49,0,0,95,104,0,0,110,0,0,0,0,0,0,0,0,0
[18] http://tkm.kiom.re.kr/tkmedicine#hasToxicSymptomOf,653,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,37,32,21,37,5,30,31,0,17,0,0,35,36,0,0,37,0,0,0,0,0,0,0,0,0
[19] http://tkm.kiom.re.kr/tkmedicine#hasaActionOfEffect,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
[20] http://tkm.kiom.re.kr/tkmedicine#intoxicateTo,408,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,102,63,123,11,93,110,0,55,0,0,108,118,0,0,123,0,0,0,0,0,0,0,0,0
[21] http://tkm.kiom.re.kr/tkmedicine#isContraindicatedTo,858,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,107,386,23,296,107,0,58,0,0,327,388,0,0,403,0,0,0,0,0,0,0,0,0
[22] http://tkm.kiom.re.kr/tkmedicine#isContraindicatedToWhom,288,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,125,8,88,62,0,33,0,0,108,120,0,0,136,0,0,0,0,0,0,0,0,0
[23] http://tkm.kiom.re.kr/tkmedicine#isFrom,2583,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,336,128,0,63,0,0,409,542,0,0,757,0,0,0,0,0,0,0,0,0
[24] http://tkm.kiom.re.kr/tkmedicine#isIncompatibleWith,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,12,0,10,0,0,18,24,0,0,24,0,0,0,0,0,0,0,0,0
[25] http://tkm.kiom.re.kr/tkmedicine#isMedicinalCategoryOf,345,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,0,58,0,0,320,338,0,0,345,0,0,0,0,0,0,0,0,0
[26] http://tkm.kiom.re.kr/tkmedicine#isPoisonedBy,217,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,60,0,0,114,123,0,0,128,0,0,0,0,0,0,0,0,0
[27] http://tkm.kiom.re.kr/tkmedicine#isRelatedWith,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
[28] http://tkm.kiom.re.kr/tkmedicine#isToxicWith,789,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,60,61,0,0,63,0,0,0,0,0,0,0,0,0
[29] http://tkm.kiom.re.kr/tkmedicine#isa,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0
[30] http://tkm.kiom.re.kr/tkmedicine#isaActionOfEffect,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,20,0,0,0,0,0,0,0,0,0
[31] http://tkm.kiom.re.kr/tkmedicine#isaMemberOfFamily,682,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,408,0,0,681,0,0,0,0,0,0,0,0,0
[32] http://tkm.kiom.re.kr/tkmedicine#useMedicinalPartOf,590,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,556,0,0,0,0,0,0,0,0,0
