Number of unique subjects: 6134716,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40]
[0] http://geo.data.gov.uk/0/ontology/geo#ONScode,9,-,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0
[1] http://geo.data.gov.uk/0/ontology/geo#area,25366,-,-,0,25366,0,0,0,0,25366,0,0,0,0,0,0,0,0,25256,0,0,0,25366,25366,23605,15052,0,25366,0,0,25365,25365,0,0,0,0,0,0,0,0,0,0
[2] http://geo.data.gov.uk/0/ontology/geo#areaCode,205,-,-,-,0,0,0,0,205,0,205,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[3] http://geo.data.gov.uk/0/ontology/geo#easting,25366,-,-,-,-,0,0,0,0,25366,0,0,0,0,0,0,0,0,25256,0,0,0,25366,25366,23605,15052,0,25366,0,0,25365,25365,0,0,0,0,0,0,0,0,0,0
[4] http://geo.data.gov.uk/0/ontology/geo#hasArea,205,-,-,-,-,-,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0
[5] http://geo.data.gov.uk/0/ontology/geo#hasRegion,11,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
[6] http://geo.data.gov.uk/0/ontology/geo#isInCountry,11,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0
[7] http://geo.data.gov.uk/0/ontology/geo#isInRegion,205,-,-,-,-,-,-,-,-,0,205,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[8] http://geo.data.gov.uk/0/ontology/geo#northing,25366,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,25256,0,0,0,25366,25366,23605,15052,0,25366,0,0,25365,25365,0,0,0,0,0,0,0,0,0,0
[9] http://geo.data.gov.uk/0/ontology/geo#point,50732,-,-,-,-,-,-,-,-,-,-,0,205,0,0,11136,3547,0,0,0,0,0,0,0,0,0,0,11341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[10] http://local-government.data.gov.uk/0/ontology/local-government#hasArea,205,-,-,-,-,-,-,-,-,-,-,-,0,205,0,0,0,0,0,0,0,0,0,0,0,0,205,205,0,205,0,0,0,0,0,0,0,0,0,0,0,0
[11] http://local-government.data.gov.uk/0/ontology/local-government#hasLocalAuthority,205,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[12] http://local-government.data.gov.uk/0/ontology/local-government#localAuthorityCode,205,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,205,205,0,205,0,0,0,0,0,0,0,0,0,0,0,0
[13] http://schemas.talis.com/2005/dir/schema#etag,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
[14] http://transport.data.gov.uk/0/ontology/roads#category,11136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3547,0,0,0,0,0,0,0,0,0,0,11136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[15] http://transport.data.gov.uk/0/ontology/roads#number,3547,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,3547,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[16] http://transport.data.gov.uk/0/ontology/traffic#category,6097737,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,6097737,6097737,6097737,0,0,0,0,0,6097737,6097737,0,0,0,0,0,0,0,0,0,0,0,0,0
[17] http://transport.data.gov.uk/0/ontology/traffic#count,6097741,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,25256,25256,23496,14946,0,25256,0,0,25255,25255,0,0,0,0,0,0,0,0,0,0
[18] http://transport.data.gov.uk/0/ontology/traffic#direction,6097738,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6097738,6097738,0,0,0,0,0,6097738,6097737,0,0,0,0,0,0,0,0,0,0,0,0,0
[19] http://transport.data.gov.uk/0/ontology/traffic#hour,6097738,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6097738,0,0,0,0,0,6097738,6097737,0,0,0,0,0,0,0,0,0,0,0,0,0
[20] http://transport.data.gov.uk/0/ontology/traffic#point,6097741,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,6097741,6097737,0,0,0,0,0,0,0,0,0,0,0,0,0
[21] http://transport.data.gov.uk/0/ontology/traffic#road,25366,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25366,23605,15052,0,25366,0,0,25365,25365,0,0,0,0,0,0,0,0,0,0
[22] http://transport.data.gov.uk/0/ontology/traffic#roadCategory,64971,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23605,15052,0,25366,0,0,25365,25365,0,0,0,0,0,0,0,0,0,0
[23] http://transport.data.gov.uk/0/ontology/traffic#roadName,23605,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14278,0,23605,0,0,23604,23604,0,0,0,0,0,0,0,0,0,0
[24] http://transport.data.gov.uk/0/ontology/traffic#sequence,15052,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,15052,0,0,15051,15051,0,0,0,0,0,0,0,0,0,0
[25] http://transport.data.gov.uk/0/ontology/transport#localAuthorityCode,205,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,205,0,205,0,0,0,0,0,0,0,0,0,0,0,0
[26] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,6160079,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6097737,219,25365,25365,18,39,6,3,42,2,11,44,6,0
[27] http://www.w3.org/1999/02/22-rdf-syntax-ns#value,6097761,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
[28] http://www.w3.org/2000/01/rdf-schema#label,219,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0
[29] http://www.w3.org/2003/01/geo/wgs84?s#lat,25365,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25365,0,0,0,0,0,0,0,0,0,0
[30] http://www.w3.org/2003/01/geo/wgs84?s#long,25365,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0
[31] http://www.w3.org/2004/02/skos/core#altLabel,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,6,0,18,0,2,18,4,0
[32] http://www.w3.org/2004/02/skos/core#broader,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,39,0,8,39,6,0
[33] http://www.w3.org/2004/02/skos/core#definition,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,6,0,2,6,2,0
[34] http://www.w3.org/2004/02/skos/core#hasTopConcept,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
[35] http://www.w3.org/2004/02/skos/core#inScheme,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,11,42,6,0
[36] http://www.w3.org/2004/02/skos/core#member,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,0,0
[37] http://www.w3.org/2004/02/skos/core#narrower,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,0,0
[38] http://www.w3.org/2004/02/skos/core#prefLabel,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0
[39] http://www.w3.org/2004/02/skos/core#scopeNote,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[40] http://www.w3.org/2007/ont/httph#content-type,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
