Number of unique subjects: 55,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19]
[0] http://purl.org/dc/elements/1.1/creator,1,-,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
[1] http://purl.org/dc/elements/1.1/description,6,-,-,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
[2] http://purl.org/dc/elements/1.1/format,1,-,-,-,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
[3] http://purl.org/dc/elements/1.1/rights,1,-,-,-,-,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
[4] http://purl.org/dc/elements/1.1/title,1,-,-,-,-,-,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
[5] http://www.w3.org/1999/02/22-rdf-syntax-ns#first,3,-,-,-,-,-,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0
[6] http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,3,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
[7] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,57,-,-,-,-,-,-,-,-,49,32,49,49,23,10,3,1,1,1,1,1
[8] http://www.w3.org/2000/01/rdf-schema#comment,248,-,-,-,-,-,-,-,-,-,32,49,49,23,10,3,0,0,0,0,0
[9] http://www.w3.org/2000/01/rdf-schema#domain,34,-,-,-,-,-,-,-,-,-,-,32,32,19,0,2,0,0,0,0,0
[10] http://www.w3.org/2000/01/rdf-schema#isDefinedBy,49,-,-,-,-,-,-,-,-,-,-,-,49,23,10,3,0,0,0,0,0
[11] http://www.w3.org/2000/01/rdf-schema#label,250,-,-,-,-,-,-,-,-,-,-,-,-,23,10,3,0,0,0,0,0
[12] http://www.w3.org/2000/01/rdf-schema#range,23,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,0
[13] http://www.w3.org/2000/01/rdf-schema#subClassOf,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
[14] http://www.w3.org/2000/01/rdf-schema#subPropertyOf,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
[15] http://www.w3.org/2002/07/owl#imports,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0
[16] http://www.w3.org/2002/07/owl#unionOf,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[17] http://xmlns.com/foaf/0.1/maker,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[18] http://xmlns.com/foaf/0.1/mbox,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
[19] http://xmlns.com/foaf/0.1/name,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
