Number of unique subjects: 830,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30]
[0] http://purl.org/dc/elements/1.1/creator,2,-,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[1] http://purl.org/dc/elements/1.1/description,1,-,-,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[2] http://purl.org/dc/elements/1.1/isVersionOf,1,-,-,-,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[3] http://purl.org/dc/elements/1.1/title,1,-,-,-,-,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[4] http://purl.org/vocab/vann/preferredNamespacePrefix,1,-,-,-,-,-,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[5] http://purl.org/vocab/vann/preferredNamespaceUri,1,-,-,-,-,-,-,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[6] http://vitro.mannlib.cornell.edu/ns/vitro/0.7#descriptionAnnot,275,-,-,-,-,-,-,-,91,110,275,86,68,61,275,64,110,67,0,2,0,47,0,0,0,0,0,57,1,1,1,14
[7] http://vitro.mannlib.cornell.edu/ns/vitro/0.7#exampleAnnot,128,-,-,-,-,-,-,-,-,106,128,27,16,22,128,4,103,2,0,4,2,0,0,0,0,0,0,22,0,0,0,2
[8] http://vitro.mannlib.cornell.edu/ns/vitro/0.7#shortDef,181,-,-,-,-,-,-,-,-,-,181,56,0,51,181,0,178,0,0,4,0,0,0,0,0,0,0,50,1,0,0,1
[9] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,895,-,-,-,-,-,-,-,-,-,-,145,199,92,577,187,195,174,155,5,4,157,67,9,233,2,2,88,1,1,2,19
[10] http://www.w3.org/2000/01/rdf-schema#comment,153,-,-,-,-,-,-,-,-,-,-,-,27,91,133,28,57,65,0,2,0,6,0,0,0,0,1,87,1,1,1,1
