Number of unique subjects: 15,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19]
[0] http://purl.obolibrary.org/obo/ARG_2000028,1,-,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[1] http://purl.obolibrary.org/obo/ARG_2000029,1,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[2] http://purl.org/dc/elements/1.1/date,1,-,-,-,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
[3] http://purl.org/dc/elements/1.1/publisher,1,-,-,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
[4] http://purl.org/dc/elements/1.1/rights,1,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
[5] http://vitro.mannlib.cornell.edu/ns/vitro/0.7#modTime,1,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[6] http://vitro.mannlib.cornell.edu/ns/vitro/0.7#mostSpecificType,2,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1
[7] http://vitro.mannlib.cornell.edu/ns/vitro/public#mainImage,1,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1
[8] http://vivo.cornell.edu/ns/hr/0.9/hr.owl#FirstName,1,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1
[9] http://vivo.cornell.edu/ns/hr/0.9/hr.owl#LastName,1,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1
[10] http://vivo.cornell.edu/ns/hr/0.9/hr.owl#Name,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1
[11] http://vivo.cornell.edu/ns/hr/0.9/hr.owl#PrefName,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1
[12] http://vivo.cornell.edu/ns/hr/0.9/hr.owl#WorkingTitle,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1
[13] http://vivo.cornell.edu/ns/hr/0.9/hr.owl#netId,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1
[14] http://vivo.cornell.edu/ns/hr/0.9/hr.owl#primaryJobcodeLdesc,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1
[15] http://vivo.cornell.edu/ns/hr/0.9/hr.owl#primaryUnitCode,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1
[16] http://vivo.cornell.edu/ns/hr/0.9/hr.owl#primaryWorkingTitle,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1
[17] http://vivo.library.cornell.edu/ns/0.1#CornellemailnetId,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
[18] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12
[19] http://www.w3.org/2000/01/rdf-schema#label,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
