Number of unique subjects: 1660,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49]
[0] http://aims.fao.org/aos/geopolitical.owl#sourceCreator,54,-,54,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,54,0,0,0,0,0,0,0,54,0,2,0,53,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[1] http://aims.fao.org/aos/geopolitical.owl#sourceIdentifier,268,-,-,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,54,0,0,0,0,0,0,0,54,0,2,0,53,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[2] http://aims.fao.org/aos/geopolitical.owl#sourceModified,51,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,51,0,0,0,0,0,0,0,51,0,2,0,50,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[3] http://purl.obolibrary.org/obo/BFO_0000179,3,-,-,-,-,3,0,1,0,0,0,0,0,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,3,0,2,3,3,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
[4] http://purl.obolibrary.org/obo/BFO_0000180,3,-,-,-,-,-,0,1,0,0,0,0,0,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,3,0,2,3,3,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
[5] http://purl.obolibrary.org/obo/IAO_0000111,61,-,-,-,-,-,-,52,48,59,12,58,7,44,0,15,0,0,0,0,0,0,0,0,0,0,0,0,59,14,27,1,59,27,28,7,0,0,1,0,1,0,6,0,0,0,0,0,0,2,0
[6] http://purl.obolibrary.org/obo/IAO_0000112,341,-,-,-,-,-,-,-,82,215,12,89,7,78,1,39,1,1,1,0,0,0,0,2,0,0,0,0,270,90,55,68,270,40,183,26,0,0,1,1,3,0,8,0,0,0,0,0,63,2,1
[7] http://purl.obolibrary.org/obo/IAO_0000114,95,-,-,-,-,-,-,-,-,95,13,94,3,86,0,15,0,0,0,0,0,0,0,0,0,0,0,0,95,20,28,1,95,28,64,3,0,0,1,0,3,0,6,0,0,0,0,0,0,0,0
[8] http://purl.obolibrary.org/obo/IAO_0000115,361,-,-,-,-,-,-,-,-,-,18,109,8,88,1,46,0,0,0,0,0,6,1,10,1,4,0,0,336,76,42,51,336,41,277,9,0,0,1,0,4,0,10,0,0,0,0,0,50,2,0
[9] http://purl.obolibrary.org/obo/IAO_0000116,33,-,-,-,-,-,-,-,-,-,-,17,2,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,19,0,5,0,19,3,12,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
[10] http://purl.obolibrary.org/obo/IAO_0000117,126,-,-,-,-,-,-,-,-,-,-,-,8,88,1,17,0,0,0,0,0,0,0,0,0,0,0,0,109,24,34,1,109,33,70,8,0,0,1,0,2,0,7,0,0,0,0,0,0,2,0
[11] http://purl.obolibrary.org/obo/IAO_0000118,10,-,-,-,-,-,-,-,-,-,-,-,-,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1,0,8,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
[12] http://purl.obolibrary.org/obo/IAO_0000119,92,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10,0,0,0,0,0,0,0,0,0,0,0,0,88,19,29,0,88,29,56,4,0,0,1,0,2,0,5,0,0,0,0,0,0,0,0
[13] http://purl.obolibrary.org/obo/IAO_0000232,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[14] http://purl.obolibrary.org/obo/IAO_0000412,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,46,1,1,1,46,1,44,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[15] http://purl.obolibrary.org/obo/IAO_0000600,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,0,0,0,0,0,0,0,0,0,3,0,2,3,3,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
[16] http://purl.obolibrary.org/obo/IAO_0000601,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,0,0,0,0,0,2,0,1,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[17] http://purl.obolibrary.org/obo/IAO_0000602,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,3,0,2,3,3,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
[18] http://purl.org/dc/terms/description,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[19] http://purl.org/dc/terms/source,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,57,0,2,0,56,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
[20] http://purl.org/net/OCRe/statistics.owl#curator,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[21] http://purl.org/net/OCRe/study_protocol.owl#develop_comment,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[22] http://vitro.mannlib.cornell.edu/ns/vitro/0.7#descriptionAnnot,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,25,2,11,2,25,13,5,2,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0
[23] http://vitro.mannlib.cornell.edu/ns/vitro/0.7#exampleAnnot,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,3,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[24] http://vivoweb.org/ontology/core#description,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[25] http://www.w3.org/1999/02/22-rdf-syntax-ns#first,269,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[26] http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,269,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[27] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1371,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165,168,92,832,179,398,66,148,3,1,1,40,84,58,111,33,361,66,25,85,3,1
[28] http://www.w3.org/2000/01/rdf-schema#comment,166,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,88,165,18,102,17,0,0,1,0,31,0,3,0,0,0,0,0,84,3,1
[29] http://www.w3.org/2000/01/rdf-schema#domain,170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,167,126,0,35,0,0,1,0,0,0,35,0,0,0,0,0,6,0,0
