Number of unique subjects: 1010681,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64]
[0] http://metadata.net/mpeg7/mpeg7.owl#MediaDuration,325,-,303,324,325,325,325,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,259,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[1] http://metadata.net/mpeg7/mpeg7.owl#abstract,5515,-,-,5495,5496,5496,5496,0,0,0,0,0,5496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5307,4809,0,0,0,0,0,0,0,249,0,0,0,5496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2] http://metadata.net/mpeg7/mpeg7.owl#creationDate,8620,-,-,-,8620,8620,8620,0,0,0,0,0,8620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8363,7571,0,0,0,0,0,0,0,263,0,0,0,8620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[3] http://metadata.net/mpeg7/mpeg7.owl#creator,8719,-,-,-,-,8621,8621,0,0,0,0,0,8621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8364,7571,0,0,0,0,0,0,0,263,0,0,0,8621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[4] http://metadata.net/mpeg7/mpeg7.owl#title,8621,-,-,-,-,-,8621,0,0,0,0,0,8621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8364,7571,0,0,0,0,0,0,0,263,0,0,0,8621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[5] http://openprovenance.org/model/opmo#account,987119,-,-,-,-,-,-,E,8097,472706,54240,0,E,E,54240,35043,0,0,0,6119,0,0,0,15793,26112,0,15822,26112,8911,26062,8364,7571,6119,6119,10290,10106,10145,10005,49728,4528,4225,0,0,E,0,0,0,3516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53908,0
[6] http://openprovenance.org/model/opmo#cause,472706,-,-,-,-,-,-,-,0,472706,54240,0,0,472706,54240,35043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49728,0,0,0,0,472706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49728,0
[7] http://openprovenance.org/model/opmo#content,8106,-,-,-,-,-,-,-,-,0,0,0,8097,0,0,0,0,0,0,4017,0,0,0,0,8097,0,0,8097,0,8097,0,0,4017,4017,8097,7950,7952,7941,0,4117,4047,0,0,8097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4037,0
[8] http://openprovenance.org/model/opmo#effect,472706,-,-,-,-,-,-,-,-,-,54240,0,0,472706,54240,35043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49728,0,0,0,0,472706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49728,0
[9] http://openprovenance.org/model/opmo#endTime,54240,-,-,-,-,-,-,-,-,-,-,0,0,54240,54240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33206,0,0,0,0,54240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33206,0
[10] http://openprovenance.org/model/opmo#exactlyAt,19618,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
