Number of unique subjects: 97809,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36]
[0] http://purl.org/dc/terms/date,75615,-,75615,0,75615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75615
[1] http://purl.org/dc/terms/identifier,83228,-,-,0,83228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83228
[2] http://purl.org/dc/terms/references,83228,-,-,-,0,12203,8789,11530,13202,8429,8397,13202,13202,13202,8671,13202,13195,13025,13025,5427,13197,13202,13202,13202,13197,13202,13198,8397,8397,8397,13202,0,0,13202,13202,13202,13202,13202
[3] http://purl.org/dc/terms/title,83228,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83228
[4] http://worldbank.270a.info/property/board-approval-date,13507,-,-,-,-,-,8864,12209,13507,8594,8619,13507,13507,13507,8790,13507,13494,13322,13322,5427,13501,13507,13507,13507,13501,13507,13503,8619,8619,8619,13507,0,0,13507,13507,13507,13507,13507
[5] http://worldbank.270a.info/property/borrower,9831,-,-,-,-,-,-,7851,9831,8966,9010,9831,9831,9831,9427,9831,9826,9681,9681,5204,9830,9831,9831,9831,9830,9831,9827,9010,9010,9010,9831,0,0,9831,9831,9831,9831,9831
[6] http://worldbank.270a.info/property/closing-date,12221,-,-,-,-,-,-,-,12221,7493,7509,12221,12221,12221,7770,12221,12215,12110,12110,5426,12221,12221,12221,12221,12221,12221,12217,7509,7509,7509,12221,0,0,12221,12221,12221,12221,12221
[7] http://worldbank.270a.info/property/country,14580,-,-,-,-,-,-,-,-,9563,9493,14580,14580,14580,9720,14580,14564,14346,14346,5427,14573,14580,14580,14580,14573,14580,14576,9493,9493,9493,14580,0,0,14580,14580,14580,14580,14580
[8] http://worldbank.270a.info/property/environmental-assessment-category-code,9563,-,-,-,-,-,-,-,-,-,8942,9563,9563,9563,8878,9563,9547,9376,9376,5000,9562,9563,9563,9563,9562,9563,9562,8942,8942,8942,9563,0,0,9563,9563,9563,9563,9563
[9] http://worldbank.270a.info/property/goal,19026,-,-,-,-,-,-,-,-,-,-,9493,9493,9493,8886,9493,9483,9303,9303,5397,9493,9493,9493,9493,9493,9493,9489,9493,9493,9493,9493,0,0,9493,9493,9493,9493,9493
[10] http://worldbank.270a.info/property/grant-amount-us-millions,14580,-,-,-,-,-,-,-,-,-,-,-,14580,14580,9720,14580,14564,14346,14346,5427,14573,14580,14580,14580,14573,14580,14576,9493,9493,9493,14580,0,0,14580,14580,14580,14580,14580
