dataset_name,resource_name,resource_url,resource_tracking_summary_total,,result,,,
amsterdam-museum-as-edm-lod,n/a,http://eculture.cs.vu.nl/git/public/?p=econnect/metadata/AHM.git,261,,not found,,,
linkedmdb,n/a,http://queens.db.toronto.edu/~oktie/linkedmdb,255,,done,,,
iso-3166-2-data,n/a,http://ontologi.es/place/,175,,done,,,
bbc-music,n/a,http://motools.sourceforge.net/doc/musicontology.rdfs,161,,done,,,
dbpedia,n/a,http://downloads.dbpedia.org/3.5.1/all_languages.tar,121,,party,16 GB compressed,,
l3s-dblp,n/a,http://dblp.l3s.de/dblp.rdf.gz,118,,Parse error,,,
geonames-semantic-web,n/a,http://download.geonames.org/all-geonames-rdf.zip,99,,Parse error,,,
nytimes-linked-open-data,n/a,http://data.nytimes.com/people.rdf,99,,done,,,
dbpedia,n/a,http://downloads.dbpedia.org/3.5.1/dbpedia_3.5.1.owl.bz2,95,,done,,,
bbc-programmes,n/a,http://purl.org/ontology/po,91,,not found,,,
bible-ontology,n/a,http://home.bibleontology.com/download/bibleontology_11_6-23.zip,91,,not found,,,
geonames-semantic-web,n/a,http://www.geonames.org/ontology/ontology_v2.1.rdf,89,,done,,,
bbc-programmes,n/a,http://www.bbc.co.uk/ontologies/programmes/2009-09-07.n3,86,,Parse error,,,
fu-berlin-drugbank,n/a,http://www4.wiwiss.fu-berlin.de/drugbank/drugbank_dump.nt.bz2,77,,not found,,,
eurostat-rdf,n/a,http://ec.europa.eu/eurostat/ramon/rdfdata/nuts2008.rdf,75,,done,,,
opencyc,n/a,http://sw.opencyc.org/downloads/opencyc_owl_downloads/opencyc-latest.owl.gz,73,,done,,,
vivo-university-of-florida,n/a,http://vivo.ufl.edu/UF-VIVO.n3,69,,not found,,,
world-factbook-fu-berlin,n/a,http://www4.wiwiss.fu-berlin.de/factbook/all,68,,Parse error,,,
combined-nomenclature-2012,Combined Nomenclature 2012,http://purl.org/weso/datasets/pscs/cn/2012/cn-2012.ttl,65,,not found,,,
bbc-wildlife-finder,n/a,http://purl.org/ontology/wo,61,,not found,,,
business-data-gov-uk,n/a,http://source.data.gov.uk/data/business/bis-research-explorer/2010-03-04/business.data.gov.uk.nt,55,,done,,,
event-media,n/a,http://linkedevents.org/ontology/2010-10-07/rdfxml/,54,,done,,,
eurostat-rdf,n/a,http://ec.europa.eu/eurostat/ramon/rdfdata/nace_r2.rdf,53,,done,,,
dbpedia,Link to an example Linked Data entry,http://dbpedia.org/resource/Berlin,51,,Parse error,,,
eurostat-rdf,n/a,http://ec.europa.eu/eurostat/ramon/rdfdata/countries.rdf,51,,done,,,
archiveshub-linkeddata,n/a,http://data.archiveshub.ac.uk/dump/linkedarchiveshub.zip,48,,not found,,,
agrovoc-skos,n/a,http://ckan.net/storage/f/file/e25b0ab3-04cf-442e-abaf-910321e9058f,47,,Parse error,,,
jiscopenbib-bl_bnb-1,n/a,http://openbiblio.commondatastorage.googleapis.com/BL-BNB-dataset.zip,47,,party,400 MB compressed,← 1+17,BNBrdfdc17.xml
los_metar,n/a,http://www.linkedopenservices.org/data/METARStations.rdf.xml,45,,Parse error,,,
stitch-rameau,n/a,http://www.cs.vu.nl/STITCH/rameau/dump/Rameau.skos.gz,45,,done,,,
talis-openlibrary,n/a,http://api.talis.com/stores/openlibrary/meta?about=http://openlibrary.org/books/OL23271242M&output=,45,,not found,,,
vivo,n/a,http://vivo.cornell.edu/Cornell-VIVO.n3,45,,not found,,,
vivo,n/a,http://vivo.iu.edu/IU-VIVO.n3,45,,not found,,,
vivo-cornell-university,n/a,http://vivo.cornell.edu/Cornell-VIVO.n3,45,,not found,,,
geolinkeddata,n/a,http://geo.linkeddata.es/source/rdf/NOMGEO/NOMGEO_provincias.rdf,44,,done,,,
cap-italy-rdf,n/a,http://dump.linkedopendata.it/cap,43,,not found,,,
aemet,n/a,http://aemet.linkeddata.es/source/rdf/data.zip,41,,done,,,
geospecies,n/a,http://lod.geospecies.org/geospecies.rdf.gz,41,,done,,,
knoesis-linked-sensor-data,n/a,http://sonicbanana.cs.wright.edu/knoesis_linkedsensordata.tar.gz,41,,done,,,
doi,n/a,http://dx.doi.org/10.1038/171737a0,39,,Parse error,,,
glastonbury-2011,n/a,http://programme.ecs.soton.ac.uk/glastonbury/2011/glastonbury2011.rdf,39,,done,,,
linkedct,n/a,http://data.linkedct.org/,39,,not found,,,
eunis,Species,http://eunis.eea.europa.eu/rdf/species.rdf.gz,37,,done,,,
lingvoj,n/a,http://www.lingvoj.org/lingvoj.rdf,37,,not found,,,
naics-2012,North American Industry Classification System 2012,http://purl.org/weso/datasets/pscs/naics/2012/naics-2012.ttl,37,,not found,,,
research-data-gov-uk,n/a,http://source.data.gov.uk/data/research/bis-research-explorer/2010-03-04/research.data.gov.uk.nt,37,,Parse error,,,
w3c-wordnet,n/a,http://www.w3.org/2006/03/wn/wn20/download/wn20full.zip,37,,done,,,
elviajero,n/a,http://webenemasuno.linkeddata.es/source/rdf/data.zip,35,,done,,,
musei-italiani,n/a,http://dump.linkedopendata.it/musei,35,,not found,,,
patents-data-gov-uk,n/a,http://source.data.gov.uk/data/patents/bis-research-explorer/2010-03-04/patents.data.gov.uk.nt,35,,done,,,
transport-data-gov-uk,n/a,http://source.data.gov.uk/data/transport/road-traffic-counts/2009-09/transport.tar.gz,35,,Query Timeout,,,
uk-legislation-api,n/a,http://www.legislation.gov.uk/ukpga/1985/67/section/6/data.rdf,35,,done,,,
geolinkeddata,n/a,http://geo.linkeddata.es/source/rdf/ontology/,33,,Parse error,,,
open-data-thesaurus,n/a,http://ckan.net/storage/f/file/12be3509-4cd1-4fc5-8c95-d0d3a7121766,33,,Parse error,,,
chronicling-america,n/a,http://chroniclingamerica.loc.gov/newspapers.rdf,31,,not found,,,
