dataset.id,dataset.name,dataset.license_title,dataset.license_id,resource.id,resource.name,resource.created,resource.revision_timestamp,resource.format,resource.url
f8dfd0ea-b758-442e-8e12-010a54901393,01, (Open),other-open,fff575ee-e24b-4278-bacc-ea111e7fb27a,2013   ,2014-12-14T07:07:02.241191,2014-12-14T07:07:43.541955,CSV,http://demo.ckan.org/ko_KR/dataset/f8dfd0ea-b758-442e-8e12-010a54901393/resource/fff575ee-e24b-4278-bacc-ea111e7fb27a/download/2013.csv
23d4e695-6b3b-4945-9e09-2d33c208868f,03fc564a07f7c3bcce4fd5d01cb4ca24,,,951d0c15-7b98-448f-9ffe-9ed0eb788326,eee,2015-01-09T02:02:06.637410,2015-01-09T02:02:06.577616,jpg,http://demo.ckan.org/dataset/23d4e695-6b3b-4945-9e09-2d33c208868f/resource/951d0c15-7b98-448f-9ffe-9ed0eb788326/download/img25112014110609.png
10bcc2ad-48a0-4fab-b169-691a9a774195,103,License Not Specified,notspecified,b7df1915-1530-41f0-9f8f-35e8aa115358,103,2014-08-29T08:47:35.243277,2014-10-09T07:18:32.299860,CSV,http://demo.ckan.org/dataset/10bcc2ad-48a0-4fab-b169-691a9a774195/resource/b7df1915-1530-41f0-9f8f-35e8aa115358/download/103.csv
e267206f-de16-4c92-87ad-46b31678e0c9,1234567890,Creative Commons Attribution Share-Alike,cc-by-sa,738b288d-eae9-44d0-b492-d98b50686555,sdfxvxccv,2014-06-11T11:51:24.431259,2014-06-11T11:51:24.402597,XML,http://animechan.ru
f62a8915-a3fe-4e21-be8a-4539c28be636,124124235235,License Not Specified,notspecified,59b506fe-076d-44ed-856c-de51e5d7844d,file name,2014-12-08T02:18:03.229035,2014-12-08T02:18:06.003284,,http://demo.ckan.org/dataset/f62a8915-a3fe-4e21-be8a-4539c28be636/resource/59b506fe-076d-44ed-856c-de51e5d7844d/download/mainbg.jpg
c4e8ce0d-7795-4b70-b7b9-225474a77a04,1345145245,License Not Specified,notspecified,ef944d8e-c87d-4143-b9d7-f30317832f4e,23452,2014-12-01T08:21:32.234446,2014-12-01T08:23:24.842624,,http://3452345
b386a3d5-4516-4ab1-868d-bab9c8617908,1-41,Open Data Commons Attribution License,odc-by,43f795e1-59b6-4f1a-8487-74726705dddf,14    ,2014-12-18T04:41:34.108482,2014-12-18T04:41:44.681277,CSV,http://demo.ckan.org/dataset/b386a3d5-4516-4ab1-868d-bab9c8617908/resource/43f795e1-59b6-4f1a-8487-74726705dddf/download/14.csv
b386a3d5-4516-4ab1-868d-bab9c8617908,1-41,Open Data Commons Attribution License,odc-by,f408850d-f9dc-4784-be1e-f9a8e6a83c7b,RDF,2014-12-18T06:03:01.037714,2014-12-18T06:03:00.967285,RDF,http://demo.ckan.org/dataset/b386a3d5-4516-4ab1-868d-bab9c8617908/resource/f408850d-f9dc-4784-be1e-f9a8e6a83c7b/download/141.rdf
d4b9c776-8e1e-44fd-8ed9-b97bc7caa75a,18f7e6c98d0c9c5ef8500ecd3ba90e75,Creative Commons Attribution,cc-by,fec7c369-e09c-4d49-99a6-0f134fadeffe,resource_20141127_164438,2014-11-27T08:52:25.003623,2014-11-27T08:52:39.016484,CSV,http://demo.ckan.org/dataset/d4b9c776-8e1e-44fd-8ed9-b97bc7caa75a/resource/fec7c369-e09c-4d49-99a6-0f134fadeffe/download/123.csv
6f18575a-d1c6-47da-af66-1ad90c7f512e,2013-100,License Not Specified,notspecified,447c05be-bc25-4cbf-a891-db2213e2d37f,2013100,2014-12-18T05:23:03.660525,2014-12-18T05:23:53.121199,CSV,http://demo.ckan.org/en/dataset/6f18575a-d1c6-47da-af66-1ad90c7f512e/resource/447c05be-bc25-4cbf-a891-db2213e2d37f/download/2013100.csv
0180bf63-a166-4c67-abe0-fbfc1ad07835,20140723dataset, ,cc-by,71c57fdf-19fa-4f34-a1b7-b4360c6e2654,,2014-07-23T09:35:32.123496,2014-07-23T09:35:49.412140,TXT,http://demo.ckan.org/ja/dataset/0180bf63-a166-4c67-abe0-fbfc1ad07835/resource/71c57fdf-19fa-4f34-a1b7-b4360c6e2654/download/abb.txt
df289d23-c656-48df-af9c-7934eae41f4d,2014-economic-report-of-the-president-introduction,License Not Specified,notspecified,18fc41d6-0c0e-41ae-a99e-d0df06d44b8d,erp_2014_introduction.pdf,2014-09-12T05:27:55.777660,2014-09-12T05:27:55.730530,PDF,http://www.whitehouse.gov/sites/default/files/docs/erp_2014_introduction.pdf
7485a66e-fe4b-4a4b-a5c6-4f47d1dd2a8b,2015-gis, (Open),other-open,72183839-e1df-4a9e-bd7c-0f28aa88f690,  ,2015-01-06T15:47:48.182848,2015-01-06T15:50:07.799556,CSV,http://demo.ckan.org/ko_KR/dataset/7485a66e-fe4b-4a4b-a5c6-4f47d1dd2a8b/resource/72183839-e1df-4a9e-bd7c-0f28aa88f690/download/wgs1984.csv
ee360ce7-7d3c-4f80-bf6c-7a26ecd3078a,3f84591b9f9dd17f9fe04eeb1d9bcff1,,,a4d4ada4-4719-427b-a28c-1c04d05b2d46,resource_20141127_211034,2014-11-27T13:25:47.921581,2014-11-27T13:26:06.339393,CSV,http://demo.ckan.org/dataset/ee360ce7-7d3c-4f80-bf6c-7a26ecd3078a/resource/a4d4ada4-4719-427b-a28c-1c04d05b2d46/download/123.csv
4460acfa-b48a-4880-b53c-08c0970c2975,484985298289,Creative Commons Attribution Share-Alike,cc-by-sa,a73dc715-6e37-46fa-8743-48e5b7514829,hubuybuybuy,2014-06-25T15:41:44.633206,2014-06-25T15:41:51.100896,XML,http://demo.ckan.org/dataset/4460acfa-b48a-4880-b53c-08c0970c2975/resource/a73dc715-6e37-46fa-8743-48e5b7514829/download/app.jpg
4460acfa-b48a-4880-b53c-08c0970c2975,484985298289,Creative Commons Attribution Share-Alike,cc-by-sa,c30d9de1-476c-4b97-aef6-bcfe564dd9df,test2,2014-06-25T15:43:33.983439,2014-06-25T15:43:33.958000,XML,http://demo.ckan.org/dataset/4460acfa-b48a-4880-b53c-08c0970c2975/resource/c30d9de1-476c-4b97-aef6-bcfe564dd9df/download/565656.png
f2cf9d9d-40f9-4c7c-9dcf-67cc3468f82a,4th_feb_2,,,802dbdff-c008-4d36-a60c-9266b258c051,,2015-02-04T04:42:26.994945,2015-02-04T04:42:26.818417,XML,http://demo.ckan.org/dataset/test
69e91699-e336-474c-97c4-5303737a9711,526912a18d4c185cae805de0f5881ca9,,,c291173b-d4ff-423a-b803-f14eded4b0f2,hello3.csv,2014-11-27T08:40:40.502794,2014-11-27T08:40:53.648286,CSV,http://demo.ckan.org/dataset/69e91699-e336-474c-97c4-5303737a9711/resource/c291173b-d4ff-423a-b803-f14eded4b0f2/download/test
