dataset,resource_name,resource_url,result,,dataset_name,resource_name,resource_url,resource_tracking_summary_total,,
amsterdam-museum-as-edm-lod,n/a,http://eculture.cs.vu.nl/git/public/?p=econnect/metadata/AHM.git,not found,,amsterdam-museum-as-edm-lod,n/a,http://eculture.cs.vu.nl/git/public/?p=econnect/metadata/AHM.git,a=tree,f=rdf,261
linkedmdb,n/a,http://queens.db.toronto.edu/~oktie/linkedmdb,done,,linkedmdb,n/a,http://queens.db.toronto.edu/~oktie/linkedmdb,255,,
iso-3166-2-data,n/a,http://ontologi.es/place/,done,,iso-3166-2-data,n/a,http://ontologi.es/place/,175,,
bbc-music,n/a,http://motools.sourceforge.net/doc/musicontology.rdfs,done,,bbc-music,n/a,http://motools.sourceforge.net/doc/musicontology.rdfs,161,,
dbpedia,n/a,http://downloads.dbpedia.org/3.5.1/all_languages.tar,party,16 GB compressed,dbpedia,n/a,http://downloads.dbpedia.org/3.5.1/all_languages.tar,121,,
l3s-dblp,n/a,http://dblp.l3s.de/dblp.rdf.gz,Parse error,,l3s-dblp,n/a,http://dblp.l3s.de/dblp.rdf.gz,118,,
geonames-semantic-web,n/a,http://download.geonames.org/all-geonames-rdf.zip,Parse error,,geonames-semantic-web,n/a,http://download.geonames.org/all-geonames-rdf.zip,99,,
nytimes-linked-open-data,n/a,http://data.nytimes.com/people.rdf,done,,nytimes-linked-open-data,n/a,http://data.nytimes.com/people.rdf,99,,
dbpedia,n/a,http://downloads.dbpedia.org/3.5.1/dbpedia_3.5.1.owl.bz2,done,,dbpedia,n/a,http://downloads.dbpedia.org/3.5.1/dbpedia_3.5.1.owl.bz2,95,,
bbc-programmes,n/a,http://purl.org/ontology/po,not found,,bbc-programmes,n/a,http://purl.org/ontology/po,91,,
bible-ontology,n/a,http://home.bibleontology.com/download/bibleontology_11_6-23.zip,not found,,bible-ontology,n/a,http://home.bibleontology.com/download/bibleontology_11_6-23.zip,91,,
geonames-semantic-web,n/a,http://www.geonames.org/ontology/ontology_v2.1.rdf,done,,geonames-semantic-web,n/a,http://www.geonames.org/ontology/ontology_v2.1.rdf,89,,
bbc-programmes,n/a,http://www.bbc.co.uk/ontologies/programmes/2009-09-07.n3,Parse error,,bbc-programmes,n/a,http://www.bbc.co.uk/ontologies/programmes/2009-09-07.n3,86,,
