Number of unique subjects: 9958,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19]
[0] http://creativecommons.org/ns#attributionName,4979,-,3876,8127,5220,4867,9369,4415,8837,261,2949,8498,9676,6409,1217,2611,7931,523,9108,9843,8920
[1] http://creativecommons.org/ns#attributionURL,4979,-,359,1455,1750,1978,4605,7461,3114,6312,9837,3086,3358,5956,7897,2778,7517,3345,5241,107,1652
[2] http://creativecommons.org/ns#license,4979,-,6608,3184,6337,6900,4384,2377,673,5427,280,4972,8867,9681,425,3153,9341,4246,4145,6334,9153
[3] http://data.nytimes.com/elements/associated_article_count,4979,-,3372,6785,2411,2163,3061,4888,5705,8951,5064,7407,6612,8792,6470,8086,9803,271,6457,9837,826
[4] http://data.nytimes.com/elements/first_use,4281,-,2971,3873,2086,4251,2221,3607,7361,6270,2018,2269,7298,3778,6665,7439,4161,8418,766,3293,604
[5] http://data.nytimes.com/elements/latest_use,4281,-,9394,8399,3341,7809,591,6231,2051,1951,5444,2482,5718,4509,8225,280,9622,8737,8561,4431,6693
[6] http://data.nytimes.com/elements/mapping_strategy,4979,-,4242,9533,1480,8972,7491,9662,9868,8458,4564,1620,7447,9220,2900,5048,2650,5181,1775,109,2110
[7] http://data.nytimes.com/elements/number_of_variants,4979,-,7931,4409,6689,4330,4146,9254,9625,2966,5998,8335,7944,7858,4985,9634,7136,3785,2483,1941,6592
[8] http://data.nytimes.com/elements/search_api_query,4979,-,6113,562,8423,2823,1727,1233,6629,6204,3705,9407,3070,8894,3616,6331,6801,2374,129,9334,4457
[9] http://data.nytimes.com/elements/topicPage,4480,-,8915,6229,3099,6405,3548,8000,9477,6084,363,8496,6179,6045,8676,6344,1874,6643,4891,7764,2478
[10] http://purl.org/dc/elements/1.1/creator,4979,-,6779,909,2929,4865,3237,5105,4772,2631,3481,3026,4435,6163,191,3636,7212,976,9597,231,3840
[11] http://purl.org/dc/terms/created,4979,-,3599,5862,445,1404,2067,8228,5125,4973,7778,3006,5987,9758,9559,606,1970,5555,1883,7618,6979
[12] http://purl.org/dc/terms/modified,4979,-,1436,4919,5688,6821,541,7691,2092,267,1679,2535,4926,3832,8350,8623,8051,7825,588,2848,9587
[13] http://purl.org/dc/terms/rightsHolder,4979,-,1737,4819,4117,9131,5368,1751,3541,685,2613,7612,5222,6578,3529,6592,5803,5210,3259,4584,7582
[14] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,4979,-,6203,1043,3684,5277,4397,6850,1198,1454,5131,5499,6667,2981,3528,3810,5627,7267,4362,1696,6748
[15] http://www.w3.org/2002/07/owl#sameAs,14884,-,9787,1254,1746,9138,9750,6085,4899,3110,4161,6823,6327,1268,782,2931,898,5494,161,4638,9381
[16] http://www.w3.org/2004/02/skos/core#definition,885,-,4091,8811,879,8977,1540,6878,4515,5572,3095,3440,5432,5640,796,9405,5113,4662,664,72,4296
[17] http://www.w3.org/2004/02/skos/core#inScheme,4979,-,6145,3827,181,2809,3147,2815,9875,4273,8348,8990,5603,5959,2730,306,5050,2288,6230,5092,6472
[18] http://www.w3.org/2004/02/skos/core#prefLabel,4979,-,9497,1270,7993,5749,3395,1296,7634,3628,4368,8879,1232,4447,3017,9576,1816,9141,9661,6664,890
[19] http://xmlns.com/foaf/0.1/primaryTopic,4979,-,9952,6972,5675,1303,833,546,2169,1323,8556,8027,7254,3989,5345,7611,4342,9401,6611,138,7214
