Number of unique subjects: 56986,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37]
[0] http://purl.org/dc/elements/1.1/contributor,21333,-,33,2760,3488,3492,3487,3492,3476,11604,123,3492,3164,3492,3492,915,63,0,0,0,0,0,0,0,0,0,3492,0,0,8161,0,3492,3492,11653,8161,0,0,8161,0
[1] http://purl.org/dc/elements/1.1/coverage,55,-,-,46,47,49,47,49,49,31,9,49,49,49,49,29,1,0,0,0,0,0,0,0,0,0,49,0,0,0,0,49,49,49,0,0,0,0,0
[2] http://purl.org/dc/elements/1.1/creator,14376,-,-,-,5974,5995,5977,5995,5911,5839,266,5995,5538,5995,5995,1369,138,8161,8161,0,8020,0,8161,8161,0,0,5995,0,8161,0,8161,5995,5995,14156,0,8020,0,0,0
[3] http://purl.org/dc/elements/1.1/date,8138,-,-,-,-,8130,8126,8136,7885,7969,295,8136,7528,8136,8136,1825,150,0,0,0,0,0,0,0,0,0,8136,0,0,0,0,8136,8136,8136,0,0,0,0,0
[4] http://purl.org/dc/elements/1.1/description,14153,-,-,-,-,-,8132,8155,7902,7974,295,8155,7550,8155,8155,1830,150,0,0,0,0,0,0,0,0,0,8155,0,0,0,0,8155,8155,8155,0,0,0,0,0
[5] http://purl.org/dc/elements/1.1/format,8151,-,-,-,-,-,-,8138,7886,7970,295,8138,7532,8138,8138,1824,149,0,0,0,0,0,0,0,0,0,8138,0,0,0,0,8138,8138,8138,0,0,0,0,0
[6] http://purl.org/dc/elements/1.1/identifier,45795,-,-,-,-,-,-,-,7908,7980,295,8161,7552,8161,8161,1831,150,0,0,0,0,0,0,0,0,0,8161,0,0,0,0,8161,8161,8161,0,0,0,0,0
[7] http://purl.org/dc/elements/1.1/language,8117,-,-,-,-,-,-,-,-,7746,292,7908,7300,7908,7908,1826,150,0,0,0,0,0,0,0,0,0,7908,0,0,0,0,7908,7908,7908,0,0,0,0,0
[8] http://purl.org/dc/elements/1.1/publisher,24255,-,-,-,-,-,-,-,-,-,287,7980,7379,7980,7980,1755,150,0,0,0,0,0,0,0,0,0,7980,0,0,8161,0,7980,7980,16141,8161,0,0,8161,0
[9] http://purl.org/dc/elements/1.1/relation,296,-,-,-,-,-,-,-,-,-,-,295,284,295,295,99,24,0,0,0,0,0,0,0,0,0,295,0,0,0,0,295,295,295,0,0,0,0,0
[10] http://purl.org/dc/elements/1.1/source,16447,-,-,-,-,-,-,-,-,-,-,-,7552,8161,8161,1831,150,0,0,0,0,0,0,0,0,0,8161,0,0,0,0,8161,8161,8161,0,0,0,0,0
[11] http://purl.org/dc/elements/1.1/subject,18090,-,-,-,-,-,-,-,-,-,-,-,-,7552,7552,1522,122,0,0,0,0,0,0,0,0,0,7552,0,0,0,0,7552,7552,7552,0,0,0,0,0
[12] http://purl.org/dc/elements/1.1/title,8161,-,-,-,-,-,-,-,-,-,-,-,-,-,8161,1831,150,0,0,0,0,0,0,0,0,0,8161,0,0,0,0,8161,8161,8161,0,0,0,0,0
[13] http://purl.org/dc/elements/1.1/type,15229,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1831,150,0,0,0,0,0,0,0,0,0,8161,0,0,0,0,8161,8161,8161,0,0,0,0,0
[14] http://purl.org/dc/terms/alternative,1969,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,0,0,0,0,0,0,0,0,0,1831,0,0,0,0,1831,1831,1831,0,0,0,0,0
[15] http://purl.org/dc/terms/isVersionOf,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,150,0,0,0,0,150,150,150,0,0,0,0,0
[16] http://www.europeana.eu/schemas/edm/aggregatedCHO,16322,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8161,8161,8020,8161,8161,8161,8020,8161,0,0,8161,0,8161,0,0,16322,0,8020,0,0,0
