Number of unique subjects: 9492364,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25]
[0] http://dbpedia.org/ontology/thumbnail,840721,-,15262,16385,9632,8740,17451,0,155734,517316,0,0,840721,0,0,42329,0,155734,155734,0,0,824349,840721,16508,17991,16508,0
[1] http://dbpedia.org/property/birth,37860,-,-,35679,20392,17235,36753,0,83,37857,0,0,37857,0,0,1440,0,83,83,0,0,37848,15262,35736,37857,35736,0
[2] http://dbpedia.org/property/birthPlace,41949,-,-,-,20839,19129,40749,0,103,41939,0,0,41939,0,0,1468,0,103,103,0,0,41925,16385,39338,41939,39338,0
[3] http://dbpedia.org/property/death,22736,-,-,-,-,18238,22151,0,90,22736,0,0,22736,0,0,443,0,90,90,0,0,22732,9632,21235,22736,21235,0
[4] http://dbpedia.org/property/deathPlace,19960,-,-,-,-,-,19422,0,89,19959,0,0,19959,0,0,439,0,89,89,0,0,19954,8740,18567,19959,18567,0
[5] http://purl.org/dc/elements/1.1/description,47087,-,-,-,-,-,-,0,111,47082,0,0,47082,0,0,1482,0,111,111,0,0,47066,17451,43501,47082,43501,0
[6] http://purl.org/dc/elements/1.1/rights,1468704,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734352
[7] http://www.georss.org/georss/point,365723,-,-,-,-,-,-,-,-,365723,0,0,365723,0,0,20942,0,365723,365723,0,0,361980,155734,93,112,93,0
[8] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,6476656,-,-,-,-,-,-,-,-,-,106,1027,2094408,1156,257,58054,1,365723,365723,499547,565108,1497667,517316,44960,48689,44960,0
[9] http://www.w3.org/2000/01/rdf-schema#comment,106,-,-,-,-,-,-,-,-,-,-,38,106,45,52,0,0,0,0,0,0,0,0,0,0,0,0
[10] http://www.w3.org/2000/01/rdf-schema#domain,1027,-,-,-,-,-,-,-,-,-,-,-,1027,943,0,0,0,0,0,0,0,0,0,0,0,0,0
[11] http://www.w3.org/2000/01/rdf-schema#label,7899110,-,-,-,-,-,-,-,-,-,-,-,-,1156,257,60786,0,365723,365723,499547,565108,3069912,840721,44960,48689,44960,0
[12] http://www.w3.org/2000/01/rdf-schema#range,1156,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
[13] http://www.w3.org/2000/01/rdf-schema#subClassOf,257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0
[14] http://www.w3.org/2002/07/owl#sameAs,61455,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,20942,20942,0,0,54165,42329,1412,1509,1412,0
[15] http://www.w3.org/2002/07/owl#versionInfo,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0
[16] http://www.w3.org/2003/01/geo/wgs84_pos#lat,365723,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,365723,0,0,361980,155734,93,112,93,0
[17] http://www.w3.org/2003/01/geo/wgs84_pos#long,365723,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,361980,155734,93,112,93,0
[18] http://www.w3.org/2004/02/skos/core#broader,1113246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,499547,0,0,0,0,0,0
[19] http://www.w3.org/2004/02/skos/core#prefLabel,565108,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
[20] http://www.w3.org/2004/02/skos/core#subject,10916554,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,824349,44943,48671,44943,0
[21] http://xmlns.com/foaf/0.1/depiction,840721,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16508,17991,16508,0
[22] http://xmlns.com/foaf/0.1/givenname,44968,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44960,44960,0
[23] http://xmlns.com/foaf/0.1/name,48700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44960,0
[24] http://xmlns.com/foaf/0.1/surname,44965,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[25] http://xmlns.com/foaf/0.1/thumbnail,734352,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
