Number of unique subjects: 14362,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15]
[0] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,14362,-,14359,1045,11659,11659,4793,6511,4782,14350,4793,1937,1937,6511,14350,4084,12063
[1] http://www.w3.org/2000/01/rdf-schema#label,30156,-,-,1045,11659,11659,4793,6511,4782,14350,4793,1937,1937,6511,14350,4084,12063
[2] http://www.w3.org/2004/02/skos/core#altLabel,2051,-,-,-,1045,1045,565,655,564,1045,565,207,207,655,1045,355,1045
[3] http://www.w3.org/2004/02/skos/core#broader,11667,-,-,-,-,11659,4394,5826,4385,11659,4394,1932,1932,5826,11659,4084,11659
[4] http://www.w3.org/2004/02/skos/core#broaderTransitive,11665,-,-,-,-,-,4394,5826,4385,11659,4394,1932,1932,5826,11659,4084,11659
[5] http://www.w3.org/2004/02/skos/core#closeMatch,12030,-,-,-,-,-,-,4232,4782,4793,4793,944,944,4232,4793,1430,4793
[6] http://www.w3.org/2004/02/skos/core#definition,11745,-,-,-,-,-,-,-,4231,6511,4232,1007,1007,6511,6511,1927,6133
[7] http://www.w3.org/2004/02/skos/core#exactMatch,7276,-,-,-,-,-,-,-,-,4782,4782,940,940,4231,4782,1428,4782
[8] http://www.w3.org/2004/02/skos/core#inScheme,14350,-,-,-,-,-,-,-,-,-,4793,1937,1937,6511,14350,4084,12063
[9] http://www.w3.org/2004/02/skos/core#mappingRelation,12030,-,-,-,-,-,-,-,-,-,-,944,944,4232,4793,1430,4793
[10] http://www.w3.org/2004/02/skos/core#narrower,11667,-,-,-,-,-,-,-,-,-,-,-,1937,1007,1937,630,1937
[11] http://www.w3.org/2004/02/skos/core#narrowerTransitive,11665,-,-,-,-,-,-,-,-,-,-,-,-,1007,1937,630,1937
[12] http://www.w3.org/2004/02/skos/core#note,11745,-,-,-,-,-,-,-,-,-,-,-,-,-,6511,1927,6133
[13] http://www.w3.org/2004/02/skos/core#prefLabel,28163,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4084,12063
[14] http://www.w3.org/2004/02/skos/core#related,12786,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4084
[15] http://www.w3.org/2004/02/skos/core#semanticRelation,48038,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
