Number of unique subjects: 460,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35]
[0] hittp://www.w3.org/2002/07/owl#sameAs,115,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,115,115,0
[1] http://bio2rdf.org/ns/bio2rdf#name,115,-,-,115,115,115,87,6,73,115,107,115,59,94,97,88,107,115,90,92,27,30,115,37,36,37,115,2,115,11,113,115,115,115,115,115,115
[2] http://bio2rdf.org/ns/bio2rdf#symbol,230,-,-,-,115,115,87,6,73,115,107,115,59,94,97,88,107,115,90,92,27,30,115,37,36,37,115,2,115,11,113,230,115,115,230,230,115
[3] http://bio2rdf.org/ns/bio2rdf#url,115,-,-,-,-,115,87,6,73,115,107,115,59,94,97,88,107,115,90,92,27,30,115,37,36,37,115,2,115,11,113,115,115,115,115,115,115
[4] http://bio2rdf.org/ns/bio2rdf#xChromosome,115,-,-,-,-,-,87,6,73,115,107,115,59,94,97,88,107,115,90,92,27,30,115,37,36,37,115,2,115,11,113,115,115,115,115,115,115
[5] http://bio2rdf.org/ns/bio2rdf#xEnsembl,87,-,-,-,-,-,-,6,66,87,83,87,56,79,75,65,87,87,86,74,16,16,87,28,29,27,87,2,87,9,85,87,87,87,87,87,87
[6] http://bio2rdf.org/ns/bio2rdf#xEnzyme,6,-,-,-,-,-,-,-,6,6,6,6,3,6,6,3,6,6,6,5,2,0,6,2,2,3,6,0,6,1,6,6,6,6,6,6,6
[7] http://bio2rdf.org/ns/bio2rdf#xGDB,73,-,-,-,-,-,-,-,-,73,68,73,44,70,65,51,73,73,68,62,19,11,73,27,27,23,73,2,73,4,71,73,73,73,73,73,73
[8] http://bio2rdf.org/ns/bio2rdf#xGene,115,-,-,-,-,-,-,-,-,-,107,115,59,94,97,88,107,115,90,92,27,30,115,37,36,37,115,2,115,11,113,115,115,115,115,115,115
[9] http://bio2rdf.org/ns/bio2rdf#xGeneID,107,-,-,-,-,-,-,-,-,-,-,107,58,90,92,87,102,107,86,88,25,26,107,36,36,35,107,2,107,11,105,107,107,107,107,107,107
