Number of unique subjects: 9,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13]
[0] http://purl.org/dc/terms/description,5,-,1,1,5,1,5,0,1,1,0,1,1,5,5
[1] http://purl.org/dc/terms/license,1,-,-,1,1,1,1,0,1,1,0,1,1,1,1
[2] http://purl.org/dc/terms/publisher,1,-,-,-,1,1,1,0,1,1,0,1,1,1,1
[3] http://purl.org/dc/terms/title,5,-,-,-,-,1,5,0,1,1,0,1,1,5,5
[4] http://rdfs.org/ns/void#dataDump,1,-,-,-,-,-,1,0,1,1,0,1,1,1,1
[5] http://rdfs.org/ns/void#exampleResource,5,-,-,-,-,-,-,0,1,1,0,1,1,5,5
[6] http://rdfs.org/ns/void#linkPredicate,4,-,-,-,-,-,-,-,0,0,4,0,0,4,0
[7] http://rdfs.org/ns/void#sparqlEndpoint,1,-,-,-,-,-,-,-,-,1,0,1,1,1,1
[8] http://rdfs.org/ns/void#subset,4,-,-,-,-,-,-,-,-,-,0,1,1,1,1
[9] http://rdfs.org/ns/void#target,8,-,-,-,-,-,-,-,-,-,-,0,0,4,0
[10] http://rdfs.org/ns/void#uriLookupEndpoint,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
[11] http://rdfs.org/ns/void#vocabulary,13,-,-,-,-,-,-,-,-,-,-,-,-,1,1
[12] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,9,-,-,-,-,-,-,-,-,-,-,-,-,-,5
[13] http://xmlns.com/foaf/0.1/homepage,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
