Number of unique subjects: 31,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32]
[0] http://purl.org/dc/elements/1.1/creator,5,-,5,5,3,0,5,5,5,5,1,5,5,1,1,1,0,5,4,0,1,1,5,1,0,5,0,0,0,0,0,5,5,5
[1] http://purl.org/dc/elements/1.1/date,6,-,-,5,4,1,6,5,5,6,1,5,5,1,1,1,0,5,4,0,1,1,5,1,0,5,0,0,0,0,0,6,5,5
[2] http://purl.org/dc/elements/1.1/subject,5,-,-,-,3,0,5,5,5,5,1,5,5,1,1,1,0,5,4,0,1,1,5,1,0,5,0,0,0,0,0,5,5,5
[3] http://purl.org/rss/1.0/description,4,-,-,-,-,1,4,3,3,4,0,3,3,1,0,0,0,3,3,0,0,0,3,0,0,3,0,0,0,0,0,4,3,3
[4] http://purl.org/rss/1.0/items,1,-,-,-,-,-,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
[5] http://purl.org/rss/1.0/link,6,-,-,-,-,-,-,5,5,6,1,5,5,1,1,1,0,5,4,0,1,1,5,1,0,5,0,0,0,0,0,6,5,5
[6] http://purl.org/rss/1.0/modules/content/encoded,5,-,-,-,-,-,-,-,5,5,1,5,5,1,1,1,0,5,4,0,1,1,5,1,0,5,0,0,0,0,0,5,5,5
[7] http://purl.org/rss/1.0/modules/taxonomy/topics,5,-,-,-,-,-,-,-,-,5,1,5,5,1,1,1,0,5,4,0,1,1,5,1,0,5,0,0,0,0,0,5,5,5
[8] http://purl.org/rss/1.0/title,6,-,-,-,-,-,-,-,-,-,1,5,5,1,1,1,0,5,4,0,1,1,5,1,0,5,0,0,0,0,0,6,5,5
[9] http://swrc.ontoware.org/ontology#address,1,-,-,-,-,-,-,-,-,-,-,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1
[10] http://swrc.ontoware.org/ontology#author,5,-,-,-,-,-,-,-,-,-,-,-,5,1,1,1,0,5,4,0,1,1,5,1,0,5,0,0,0,0,0,5,5,5
[11] http://swrc.ontoware.org/ontology#date,5,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,0,5,4,0,1,1,5,1,0,5,0,0,0,0,0,5,5,5
[12] http://swrc.ontoware.org/ontology#editor,1,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1
[13] http://swrc.ontoware.org/ontology#hasExtraField,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1
[14] http://swrc.ontoware.org/ontology#institution,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1
[15] http://swrc.ontoware.org/ontology#key,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
[16] http://swrc.ontoware.org/ontology#keywords,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,0,1,1,5,1,0,5,0,0,0,0,0,5,5,5
[17] http://swrc.ontoware.org/ontology#month,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,4,1,0,4,0,0,0,0,0,4,4,4
[18] http://swrc.ontoware.org/ontology#name,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,11,0,0
[19] http://swrc.ontoware.org/ontology#note,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,1,0,0,0,0,0,1,1,1
[20] http://swrc.ontoware.org/ontology#publisher,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,1,0,0,0,0,0,1,1,1
[21] http://swrc.ontoware.org/ontology#title,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,5,0,0,0,0,0,5,5,5
[22] http://swrc.ontoware.org/ontology#type,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,0,1,1,1
[23] http://swrc.ontoware.org/ontology#value,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,2,0,0
[24] http://swrc.ontoware.org/ontology#year,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,5,5,5
[25] http://www.w3.org/1999/02/22-rdf-syntax-ns#_1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,3,1,1,12,0,0
[26] http://www.w3.org/1999/02/22-rdf-syntax-ns#_2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,1,6,0,0
[27] http://www.w3.org/1999/02/22-rdf-syntax-ns#_3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,3,0,0
[28] http://www.w3.org/1999/02/22-rdf-syntax-ns#_4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0
[29] http://www.w3.org/1999/02/22-rdf-syntax-ns#_5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0
[30] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5
[31] http://www.w3.org/2002/07/owl#sameAs,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
[32] http://xmlns.com/burst/0.1/publication,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
