Number of unique subjects: 15,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19]
[0] http://iflastandards.info/ns/isbd/elements/P1053,1,-,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0
[1] http://purl.org/dc/terms/creator,1,-,-,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0
[2] http://purl.org/dc/terms/description,1,-,-,-,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0
[3] http://purl.org/dc/terms/isPartOf,1,-,-,-,-,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0
[4] http://purl.org/dc/terms/language,1,-,-,-,-,-,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0
[5] http://purl.org/dc/terms/spatial,1,-,-,-,-,-,-,1,1,0,0,1,0,1,1,1,1,1,1,1,0
[6] http://purl.org/dc/terms/subject,10,-,-,-,-,-,-,-,1,0,0,1,0,1,1,1,1,1,1,1,0
[7] http://purl.org/dc/terms/title,1,-,-,-,-,-,-,-,-,0,0,1,0,1,1,1,1,1,1,1,0
[8] http://purl.org/linked-data/api/vocab#definition,1,-,-,-,-,-,-,-,-,-,1,0,1,0,0,0,1,0,0,0,1
[9] http://purl.org/linked-data/api/vocab#extendedMetadataVersion,1,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,1,0,0,0,1
[10] http://purl.org/ontology/bibo/isbn10,1,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,1,1,1,0
[11] http://rdfs.org/ns/void#inDataset,1,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,0,0,0,1
[12] http://www.bl.uk/schemas/bibliographic/blterms#bnb,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,0
[13] http://www.bl.uk/schemas/bibliographic/blterms#publication,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,0
[14] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,0
[15] http://www.w3.org/2000/01/rdf-schema#label,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1
[16] http://www.w3.org/2000/01/rdf-schema#seeAlso,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0
[17] http://www.w3.org/2002/07/owl#sameAs,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0
[18] http://xmlns.com/foaf/0.1/isPrimaryTopicOf,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[19] http://xmlns.com/foaf/0.1/primaryTopic,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
