Number of unique subjects: 89,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31]
[0] http://purl.org/vocab/bio/0.1/birth,1,-,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1
[1] http://purl.org/vocab/bio/0.1/date,2,-,-,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
[2] http://purl.org/vocab/bio/0.1/death,1,-,-,-,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1
[3] http://purl.org/vocab/bio/0.1/keywords,1,-,-,-,-,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1
[4] http://purl.org/vocab/bio/0.1/place,2,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
[5] http://www.schema.org/about,1,-,-,-,-,-,-,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
[6] http://www.schema.org/actor,2,-,-,-,-,-,-,-,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
[7] http://www.schema.org/author,36,-,-,-,-,-,-,-,-,0,0,35,0,0,1,1,0,35,0,0,35,1,36,0,0,0,0,0,0,0,0,0,0
[8] http://www.schema.org/award,6,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1
[9] http://www.schema.org/contributor,2,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
[10] http://www.schema.org/copyrightYear,46,-,-,-,-,-,-,-,-,-,-,-,7,0,0,0,0,40,0,0,41,0,46,0,0,0,0,0,0,0,0,0,0
[11] http://www.schema.org/creator,16,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,3,0,0,15,1,16,0,0,0,0,0,0,0,0,0,0
[12] http://www.schema.org/description,1,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
[13] http://www.schema.org/director,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0
[14] http://www.schema.org/endDate,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0
[15] http://www.schema.org/location,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0
[16] http://www.schema.org/name,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,36,2,61,0,1,0,1,0,0,0,0,0,0
[17] http://www.schema.org/nationality,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,1,0,0,1,1,1,1,1,1,1
[18] http://www.schema.org/performer,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,0,0,1,0,0,0,0,0,0
[19] http://www.schema.org/publisher,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,52,0,0,0,0,0,0,0,0,0,0
[20] http://www.schema.org/startDate,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,0,0,0,1,0,0,0,0,0,0
[21] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10,1,2,1,1,1,1,1,1
[22] http://www.w3.org/2000/01/rdf-schema#comment,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,1,1,1
[23] http://www.w3.org/2000/01/rdf-schema#isDefinedBy,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0
[24] http://www.w3.org/2000/01/rdf-schema#label,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0
[25] http://www.w3.org/2000/01/rdf-schema#seeAlso,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1
[26] http://www.w3.org/2002/07/owl#sameAs,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1
[27] http://xmlns.com/foaf/0.1/isPrimaryTopicOf,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1
[28] http://xmlns.com/foaf/0.1/name,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1
[29] http://xmlns.com/foaf/0.1/nick,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
[30] http://xmlns.com/foaf/0.1/page,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
[31] http://xmlns.com/foaf/0.1/pastProject,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
