Number of unique subjects: 1101,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20]
[0] http://purl.org/net/provenance/ns#containedBy,6,-,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
[1] http://purl.org/net/provenance/ns#createdBy,6,-,-,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
[2] http://purl.org/net/provenance/ns#operatedBy,1,-,-,-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[3] http://purl.org/net/provenance/ns#performedAt,12,-,-,-,-,12,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0
[4] http://purl.org/net/provenance/ns#performedBy,12,-,-,-,-,-,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0
[5] http://purl.org/net/provenance/ns#retrievedBy,6,-,-,-,-,-,-,0,6,0,0,0,0,0,0,6,6,0,6,0,0,0
[6] http://purl.org/net/provenance/ns#usedData,6,-,-,-,-,-,-,-,6,0,0,0,0,0,0,0,0,0,0,0,0,0
[7] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1107,-,-,-,-,-,-,-,-,23,95,20,70,960,18,6,112,98,6,893,963,963
[8] http://www.w3.org/2002/07/owl#sameAs,23,-,-,-,-,-,-,-,-,-,20,5,23,0,4,0,23,22,0,0,0,0
[9] http://xmlns.com/foaf/0.1/homepage,102,-,-,-,-,-,-,-,-,-,-,17,63,0,18,0,95,88,0,0,0,0
[10] http://xmlns.com/foaf/0.1/img,20,-,-,-,-,-,-,-,-,-,-,-,17,0,17,0,20,12,0,0,0,0
[11] http://xmlns.com/foaf/0.1/made,1795,-,-,-,-,-,-,-,-,-,-,-,-,0,15,0,70,64,0,0,0,0
[12] http://xmlns.com/foaf/0.1/maker,1608,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,890,960,960
[13] http://xmlns.com/foaf/0.1/mbox,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,18,11,0,0,0,0
[14] http://xmlns.com/foaf/0.1/member,113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,6,0,0,0
[15] http://xmlns.com/foaf/0.1/name,114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98,6,0,0,0
[16] http://xmlns.com/foaf/0.1/page,822,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
[17] http://xmlns.com/foaf/0.1/workplaceHomepage,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[18] http://zeitkunst.org/bibtex/0.1/bibtex.owl#hasBookTitle,893,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,893,893
[19] http://zeitkunst.org/bibtex/0.1/bibtex.owl#hasYear,963,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,963
[20] http://zeitkunst.org/bibtex/0.1/bibtex.owl#title,963,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
