Number of unique subjects: 2,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13]
[0] http://id.loc.gov/vocabulary/relators/edt,1,-,1,1,1,1,1,1,1,1,1,0,0,1,1
[1] http://purl.org/dc/elements/1.1/publisher,1,-,-,1,1,1,1,1,1,1,1,0,0,1,1
[2] http://purl.org/dc/elements/1.1/title,1,-,-,-,1,1,1,1,1,1,1,0,0,1,1
[3] http://purl.org/dc/terms/contributor,1,-,-,-,-,1,1,1,1,1,1,0,0,1,1
[4] http://purl.org/dc/terms/medium,1,-,-,-,-,-,1,1,1,1,1,0,0,1,1
[5] http://purl.org/ontology/bibo/contributorList,1,-,-,-,-,-,-,1,1,1,1,0,0,1,1
[6] http://purl.org/ontology/bibo/isbn10,1,-,-,-,-,-,-,-,1,1,1,0,0,1,1
[7] http://rdaregistry.info/Elements/u/P60001,1,-,-,-,-,-,-,-,-,1,1,0,0,1,1
[8] http://rdaregistry.info/Elements/u/P60163,12,-,-,-,-,-,-,-,-,-,1,0,0,1,1
[9] http://rdaregistry.info/Elements/u/P60493,1,-,-,-,-,-,-,-,-,-,-,0,0,1,1
[10] http://www.w3.org/1999/02/22-rdf-syntax-ns#_1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,0
[11] http://www.w3.org/1999/02/22-rdf-syntax-ns#_2,1,-,-,-,-,-,-,-,-,-,-,-,-,1,0
[12] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1
[13] http://www.w3.org/2002/07/owl#sameAs,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
