Number of unique subjects: 232,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19]
[0] http://www.w3.org/1999/02/22-rdf-syntax-ns#first,31,-,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[1] http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,31,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,203,-,-,-,65,71,8,68,78,35,3,10,74,1,2,1,2,3,16,3,6
[3] http://www.w3.org/2000/01/rdf-schema#comment,65,-,-,-,-,2,8,2,52,0,0,0,51,0,2,1,0,0,0,0,0
[4] http://www.w3.org/2000/01/rdf-schema#domain,71,-,-,-,-,-,0,59,0,30,0,0,0,0,0,0,0,0,0,0,0
[5] http://www.w3.org/2000/01/rdf-schema#label,8,-,-,-,-,-,-,0,6,0,0,0,6,0,0,1,0,0,0,0,0
[6] http://www.w3.org/2000/01/rdf-schema#range,68,-,-,-,-,-,-,-,0,25,0,0,0,0,0,0,0,0,0,0,0
[7] http://www.w3.org/2000/01/rdf-schema#subClassOf,94,-,-,-,-,-,-,-,-,0,0,0,66,0,0,0,0,0,0,0,0
[8] http://www.w3.org/2000/01/rdf-schema#subPropertyOf,35,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0
[9] http://www.w3.org/2002/07/owl#allValuesFrom,3,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,3,0,0
[10] http://www.w3.org/2002/07/owl#cardinality,10,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,10,0,0
[11] http://www.w3.org/2002/07/owl#disjointWith,252,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0
[12] http://www.w3.org/2002/07/owl#distinctMembers,1,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0
[13] http://www.w3.org/2002/07/owl#equivalentClass,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0
[14] http://www.w3.org/2002/07/owl#imports,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
[15] http://www.w3.org/2002/07/owl#intersectionOf,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
[16] http://www.w3.org/2002/07/owl#maxCardinality,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,0
[17] http://www.w3.org/2002/07/owl#onProperty,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[18] http://www.w3.org/2002/07/owl#oneOf,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[19] http://www.w3.org/2002/07/owl#unionOf,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
