Number of unique subjects: 11538,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]
[0] http://purl.org/NET/scovo#dataset,11258,-,0,11258,0,0,0,11258,11258,0,0,0
[1] http://purl.org/NET/scovo#datasetOf,11258,-,-,0,0,0,13,13,0,11,0,0
[2] http://purl.org/NET/scovo#dimension,48944,-,-,-,0,0,0,11258,11258,0,0,0
[3] http://purl.org/NET/scovo#max,13,-,-,-,-,13,0,13,0,1,13,0
[4] http://purl.org/NET/scovo#min,13,-,-,-,-,-,0,13,0,1,13,0
[5] http://purl.org/dc/elements/1.1/title,13,-,-,-,-,-,-,13,0,11,0,0
[6] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,11524,-,-,-,-,-,-,-,11258,40,253,2
[7] http://www.w3.org/1999/02/22-rdf-syntax-ns#value,11258,-,-,-,-,-,-,-,-,0,0,0
[8] http://www.w3.org/2000/01/rdf-schema#comment,40,-,-,-,-,-,-,-,-,-,29,0
[9] http://www.w3.org/2000/01/rdf-schema#label,267,-,-,-,-,-,-,-,-,-,-,16
[10] http://www.w3.org/2000/01/rdf-schema#subClassOf,16,-,-,-,-,-,-,-,-,-,-,-
