Number of unique subjects: 352742,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44]
[0] http://purl.org/vocab/aiiso/schema#knowledgeGrouping,27283,-,0,0,0,0,494,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,194,194,0,0,0,0,0,0,688,0,0,0,0,194,0
[1] http://purl.org/vocab/aiiso/schema#part_of,2025,-,-,89,0,0,0,61,0,0,0,0,0,0,0,0,0,314,165,0,0,0,0,0,0,90,0,188,1340,1080,0,0,0,0,0,326,0,0,0,2025,0,0,0,0,1760,0
[2] http://purl.org/vocab/aiiso/schema#teaches,494,-,-,-,0,0,0,1,0,0,0,0,0,0,0,0,0,40,37,0,0,0,0,0,0,89,0,39,89,79,0,0,0,0,0,47,0,0,0,89,0,0,0,0,79,0
[3] http://www.fer.hr/projekt#abbreviation,34030,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,29776,0,0,0,0,0,0,0,34030,0,0,0,0,0,0,0,0,0,0,0,0,27881,0,34030,0,0,0,0,34030,0
[4] http://www.fer.hr/projekt#academicTitleAbbreviation,7247,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6274,5875,0,0,0,0,0,0,0,0,4601,0,0,0,0,0,0,0,0,7247,0,0,7247,2143,7247,7247
[5] http://www.fer.hr/projekt#academicYear,89431,-,-,-,-,-,-,0,0,0,0,0,0,0,66256,25301,0,0,0,54368,0,0,0,0,0,0,0,0,0,0,0,0,0,53374,0,0,0,0,88937,89431,0,0,0,0,0,0
[6] http://www.fer.hr/projekt#city,61,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,3,2,9,0,0,0,0,0,0,0,0,0,61,0,0,0,0,61,0
[7] http://www.fer.hr/projekt#classTypeOfCourseInstanceLecturer,166715,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,26,0
[8] http://www.fer.hr/projekt#containtsCourseInstance,99827,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1505,0,0,0,0,1505,1505,0,0,0,0,0,0,1505,0,0,0,0,1505,0
[9] http://www.fer.hr/projekt#courseInstanceLecturerLecturedBy,166715,-,-,-,-,-,-,-,-,-,-,166715,166715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166715,0,0,0,0,0,0
[10] http://www.fer.hr/projekt#courseInstanceLecturerOfClassType,166715,-,-,-,-,-,-,-,-,-,-,-,166715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166715,0,0,0,0,0,0
