Number of unique subjects: 544,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36]
[0] http://purl.org/dc/terms/abstract,544,-,544,235,409,544,89,30,96,480,511,463,544,544,544,544,544,503,528,544,431,339,233,213,165,55,45,351,544,53,235,311,504,497,85,544,544,544
[1] http://purl.org/dc/terms/title,544,-,-,235,409,544,89,30,96,480,511,463,544,544,544,544,544,503,528,544,431,339,233,213,165,55,45,351,544,53,235,311,504,497,85,544,544,544
[2] http://purl.org/dc/terms/valid,235,-,-,-,165,235,70,20,61,211,218,198,235,235,235,235,235,218,227,235,207,146,113,111,94,26,22,153,235,28,235,127,225,224,42,235,235,235
[3] http://rod.eionet.europa.eu/schema.rdf#comment,409,-,-,-,-,409,76,24,47,373,394,389,409,409,409,409,409,384,408,409,340,236,161,125,73,50,41,241,409,36,165,296,389,387,39,409,409,409
[4] http://rod.eionet.europa.eu/schema.rdf#continuousReporting,544,-,-,-,-,-,89,30,96,480,511,463,544,544,544,544,544,503,528,544,431,339,233,213,165,55,45,351,544,53,235,311,504,497,85,544,544,544
[5] http://rod.eionet.europa.eu/schema.rdf#coordinator,89,-,-,-,-,-,-,26,13,83,77,82,89,89,89,89,89,87,82,89,75,40,33,39,27,3,3,42,89,4,70,65,82,78,17,89,89,89
[6] http://rod.eionet.europa.eu/schema.rdf#coordinatorUrl,30,-,-,-,-,-,-,-,3,28,24,28,30,30,30,30,30,27,28,30,28,22,19,21,9,1,0,23,30,0,20,22,29,29,4,30,30,30
[7] http://rod.eionet.europa.eu/schema.rdf#dataUsedFor,96,-,-,-,-,-,-,-,-,87,86,63,96,96,96,96,96,94,92,96,78,59,51,65,68,15,15,68,96,26,61,18,89,90,41,96,96,96
[8] http://rod.eionet.europa.eu/schema.rdf#dpsirCategory,652,-,-,-,-,-,-,-,-,-,459,423,480,480,480,480,480,458,475,480,380,296,214,186,143,46,38,306,480,42,211,275,449,439,65,480,480,480
[9] http://rod.eionet.europa.eu/schema.rdf#formalReporter,13062,-,-,-,-,-,-,-,-,-,-,439,511,511,511,511,511,485,502,511,407,319,218,198,144,52,43,330,511,53,218,297,476,470,69,511,511,511
