Number of unique subjects: 26370,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10]
[0] http://purl.org/NET/scovo#dataset,26131,-,0,26131,0,0,0,26131,26131,0,0,0
[1] http://purl.org/NET/scovo#datasetOf,26131,-,-,0,0,0,6,6,0,6,0,0
[2] http://purl.org/NET/scovo#dimension,80309,-,-,-,0,0,0,26131,26131,0,0,0
[3] http://purl.org/NET/scovo#max,6,-,-,-,-,6,0,6,0,0,6,0
[4] http://purl.org/NET/scovo#min,7,-,-,-,-,-,0,7,0,0,7,0
[5] http://purl.org/dc/elements/1.1/title,6,-,-,-,-,-,-,6,0,6,0,0
[6] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,26351,-,-,-,-,-,-,-,26131,14,214,0
[7] http://www.w3.org/1999/02/22-rdf-syntax-ns#value,26131,-,-,-,-,-,-,-,-,0,0,0
[8] http://www.w3.org/2000/01/rdf-schema#comment,14,-,-,-,-,-,-,-,-,-,8,0
[9] http://www.w3.org/2000/01/rdf-schema#label,233,-,-,-,-,-,-,-,-,-,-,19
[10] http://www.w3.org/2000/01/rdf-schema#subClassOf,19,-,-,-,-,-,-,-,-,-,-,-
