Number of unique subjects: 20,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21]
[0] http://purl.org/dc/terms/creator,17,-,3,17,17,7,16,15,2,16,0,0,1,0,1,1,1,17,1,1,0,1,0
[1] http://purl.org/dc/terms/description,3,-,-,3,3,3,3,2,2,3,0,0,1,0,1,1,1,3,0,0,0,1,0
[2] http://purl.org/dc/terms/license,17,-,-,-,17,7,16,15,2,16,0,0,1,0,1,1,1,17,1,1,0,1,0
[3] http://purl.org/dc/terms/publisher,17,-,-,-,-,7,16,15,2,16,0,0,1,0,1,1,1,17,1,1,0,1,0
[4] http://purl.org/dc/terms/subject,12,-,-,-,-,-,7,6,2,7,0,0,1,0,1,1,1,7,0,0,0,1,0
[5] http://purl.org/dc/terms/title,16,-,-,-,-,-,-,15,2,16,0,0,1,0,1,1,1,16,0,0,0,1,0
[6] http://rdfs.org/ns/void#dataDump,15,-,-,-,-,-,-,-,1,15,0,0,0,0,0,0,0,15,0,0,0,0,0
[7] http://rdfs.org/ns/void#exampleResource,5,-,-,-,-,-,-,-,-,2,0,0,2,0,1,1,1,3,0,0,0,2,0
[8] http://rdfs.org/ns/void#feature,16,-,-,-,-,-,-,-,-,-,0,0,1,0,1,1,1,16,0,0,0,1,0
[9] http://rdfs.org/ns/void#linkPredicate,1,-,-,-,-,-,-,-,-,-,-,1,0,1,1,0,0,1,0,0,0,0,0
[10] http://rdfs.org/ns/void#objectsTarget,1,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,0,1,0,0,0,0,0
[11] http://rdfs.org/ns/void#sparqlEndpoint,2,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,2,0,0,0,2,0
[12] http://rdfs.org/ns/void#subjectsTarget,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,1,0,0,0,0,0
[13] http://rdfs.org/ns/void#subset,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,0,0,0,1,0
[14] http://rdfs.org/ns/void#uriSpace,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0,0,1,0
[15] http://rdfs.org/ns/void#vocabulary,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,1,0
[16] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,3,1
[17] http://www.w3.org/2000/01/rdf-schema#label,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0
[18] http://www.w3.org/2000/01/rdf-schema#seeAlso,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[19] http://www.w3.org/2002/07/owl#sameAs,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
[20] http://xmlns.com/foaf/0.1/homepage,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
[21] http://xmlns.com/foaf/0.1/name,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
