Number of unique subjects: 124117,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41]
[0] http://eunis.eea.europa.eu/rdf/sites-schema.rdf#altMax,72947,-,70724,72625,72947,58,19182,53,72943,19161,53365,72943,17971,17752,72947,72943,53480,53225,59865,3,9989,72947,49980,53480,54,918,19116,19224,1,72947,3783,21964,0,0,72947,72947,70724,69716,69706,160,1,72947,1641
[1] http://eunis.eea.europa.eu/rdf/sites-schema.rdf#altMean,71046,-,-,70694,71046,58,17281,53,71042,17264,53365,71042,16248,16008,71046,71042,53480,53225,59860,3,8982,71046,49980,53480,54,916,17223,17323,1,71046,3479,20220,0,0,71046,71046,71046,67816,67808,160,1,71046,1561
[2] http://eunis.eea.europa.eu/rdf/sites-schema.rdf#altMin,72637,-,-,-,72637,58,18872,53,72633,18851,53365,72633,17666,17528,72637,72633,53480,53225,59862,3,9928,72637,49980,53480,54,918,18805,18914,1,72637,3753,21660,0,0,72637,72637,70694,69406,69396,160,1,72637,1628
[3] http://eunis.eea.europa.eu/rdf/sites-schema.rdf#area,124109,-,-,-,-,58,26568,53,123968,26542,95013,124105,24067,23266,124109,123968,96856,96760,61282,3,12400,124109,91002,96856,54,918,26394,26589,1,124109,5171,38701,0,0,124109,124109,71046,115766,115754,160,1,124109,2633
[4] http://eunis.eea.europa.eu/rdf/sites-schema.rdf#character,58,-,-,-,-,-,0,51,58,0,58,58,0,0,58,58,0,0,58,3,45,58,0,0,52,1,0,45,0,58,0,0,0,0,58,58,58,58,58,0,0,58,0
[5] http://eunis.eea.europa.eu/rdf/sites-schema.rdf#compilationDate,26575,-,-,-,-,-,-,0,26575,26549,0,26571,22100,23273,26575,26575,0,0,7524,0,12357,26575,0,0,0,917,26401,26551,0,26575,5171,21129,0,0,26575,26575,17281,26552,26540,160,1,26575,2634
[6] http://eunis.eea.europa.eu/rdf/sites-schema.rdf#confirmedDate,53,-,-,-,-,-,-,-,53,0,53,53,0,0,53,53,0,0,53,2,40,53,0,0,49,1,0,44,0,53,0,0,0,0,53,53,53,53,53,0,0,53,0
[7] http://eunis.eea.europa.eu/rdf/sites-schema.rdf#countryCode,123975,-,-,-,-,-,-,-,-,26549,94903,123971,24072,23273,123975,123975,96716,96620,61285,3,12404,123975,90863,96716,54,918,26401,26596,1,123975,5171,38702,0,0,123975,123975,71042,115634,115622,160,1,123975,2634
[8] http://eunis.eea.europa.eu/rdf/sites-schema.rdf#description,26549,-,-,-,-,-,-,-,-,-,0,26548,22093,23248,26549,26549,0,0,7505,0,12347,26549,0,0,0,917,26376,26525,0,26549,5153,21109,0,0,26549,26549,17264,26526,26514,160,1,26549,2633
[9] http://eunis.eea.europa.eu/rdf/sites-schema.rdf#designationDate,95013,-,-,-,-,-,-,-,-,-,-,95013,1972,0,95013,94903,94337,94357,53365,3,47,95013,88655,94337,54,1,0,45,1,95013,0,17576,0,0,95013,95013,53365,86884,86884,0,0,95013,0
