Number of unique subjects: 2100,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36]
[0] http://purl.org/dc/elements/1.1/contributor,600,-,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,300,300,0,0,300,0
[1] http://purl.org/dc/elements/1.1/creator,300,-,-,0,0,0,0,0,0,0,0,0,0,0,0,300,300,0,300,0,300,300,0,0,0,0,0,300,0,300,0,0,300,0,300,0,0,0
[2] http://purl.org/dc/elements/1.1/date,293,-,-,-,293,0,0,293,213,293,293,293,293,293,293,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,293,293,293,0,0,0,0,0
[3] http://purl.org/dc/elements/1.1/language,300,-,-,-,-,0,0,300,218,300,300,293,300,300,300,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,300,300,300,0,0,0,0,0
[4] http://purl.org/dc/elements/1.1/publisher,300,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,300,300,0,0,300,0
[5] http://purl.org/dc/elements/1.1/rights,600,-,-,-,-,-,-,0,0,0,0,0,0,0,0,300,0,300,0,300,0,0,300,300,300,0,0,0,0,0,0,0,300,0,0,0,0,0
[6] http://purl.org/dc/elements/1.1/source,300,-,-,-,-,-,-,-,218,300,300,293,300,300,300,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,300,300,300,0,0,0,0,0
[7] http://purl.org/dc/elements/1.1/subject,218,-,-,-,-,-,-,-,-,218,218,213,218,218,218,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,218,218,218,0,0,0,0,0
[8] http://purl.org/dc/elements/1.1/type,600,-,-,-,-,-,-,-,-,-,300,293,300,300,300,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,300,300,300,0,0,0,0,0
[9] http://purl.org/dc/terms/alternative,300,-,-,-,-,-,-,-,-,-,-,293,300,300,300,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,300,300,300,0,0,0,0,0
[10] http://purl.org/dc/terms/created,293,-,-,-,-,-,-,-,-,-,-,-,293,293,293,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,293,293,293,0,0,0,0,0
[11] http://purl.org/dc/terms/extent,300,-,-,-,-,-,-,-,-,-,-,-,-,300,300,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,300,300,300,0,0,0,0,0
[12] http://purl.org/dc/terms/medium,300,-,-,-,-,-,-,-,-,-,-,-,-,-,300,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,300,300,300,0,0,0,0,0
[13] http://purl.org/dc/terms/spatial,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,300,300,300,0,0,0,0,0
[14] http://www.europeana.eu/schemas/edm/aggregatedCHO,600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300,300,300,300,300,300,300,300,300,0,0,300,0,300,0,0,600,0,300,0,0,0
[15] http://www.europeana.eu/schemas/edm/country,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,300,0,300,300,0,0,0,0,0,300,0,300,0,0,300,0,300,0,0,0
[16] http://www.europeana.eu/schemas/edm/dataProvider,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,300,0,0,300,300,300,0,0,0,0,0,0,0,300,0,0,0,0,0
[17] http://www.europeana.eu/schemas/edm/hasView,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,300,300,0,0,0,0,0,300,0,300,0,0,300,0,300,0,0,0
[18] http://www.europeana.eu/schemas/edm/isShownBy,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,300,300,300,0,0,0,0,0,0,0,300,0,0,0,0,0
[19] http://www.europeana.eu/schemas/edm/landingPage,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300,0,0,0,0,0,300,0,300,0,0,300,0,300,0,0,0
[20] http://www.europeana.eu/schemas/edm/language,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,300,0,300,0,0,300,0,300,0,0,0
[21] http://www.europeana.eu/schemas/edm/object,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300,300,0,0,0,0,0,0,0,300,0,0,0,0,0
[22] http://www.europeana.eu/schemas/edm/provider,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300,0,0,0,0,0,0,0,300,0,0,0,0,0
[23] http://www.europeana.eu/schemas/edm/rights,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,300,0,0,0,0,0
[24] http://www.europeana.eu/schemas/edm/type,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,300,300,300,0,0,0,0,0
[25] http://www.europeana.eu/schemas/edm/year,293,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,293,293,293,0,0,0,0,0
[26] http://www.openarchives.org/ore/terms/aggregates,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,300,0,0,300,0,300,0,0,0
[27] http://www.openarchives.org/ore/terms/describes,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,300,300,0,0,300,0
[28] http://www.openarchives.org/ore/terms/isDescribedBy,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,300,0,300,0,0,0
[29] http://www.openarchives.org/ore/terms/proxyFor,600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,600,600,0,0,0,0,0
[30] http://www.openarchives.org/ore/terms/proxyIn,600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,600,0,0,0,0,0
[31] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300,300,300,300,0
[32] http://www.w3.org/1999/xhtml/vocab#license,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,300,0
[33] http://xmlns.com/foaf/0.1/depiction,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[34] http://xmlns.com/foaf/0.1/isPrimaryTopicOf,600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[35] http://xmlns.com/foaf/0.1/primaryTopic,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[36] http://xmlns.com/foaf/0.1/thumbnail,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
