Number of unique subjects: 3605,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30]
[0] http://purl.org/dc/elements/1.1/contributor,1030,-,0,0,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,515,515,0,0,515,0
[1] http://purl.org/dc/elements/1.1/creator,1027,-,-,512,512,512,508,512,512,512,515,515,0,515,0,515,515,0,0,0,512,515,0,515,512,512,1027,0,515,0,0,0
[2] http://purl.org/dc/elements/1.1/description,515,-,-,-,515,515,511,515,515,515,0,0,0,0,0,0,0,0,0,0,515,0,0,0,515,515,515,0,0,0,0,0
[3] http://purl.org/dc/elements/1.1/identifier,515,-,-,-,-,515,511,515,515,515,0,0,0,0,0,0,0,0,0,0,515,0,0,0,515,515,515,0,0,0,0,0
[4] http://purl.org/dc/elements/1.1/publisher,1030,-,-,-,-,-,511,515,515,515,0,0,0,0,0,0,0,0,0,0,515,0,515,0,515,515,1030,515,0,0,515,0
[5] http://purl.org/dc/elements/1.1/subject,3673,-,-,-,-,-,-,511,511,511,0,0,0,0,0,0,0,0,0,0,511,0,0,0,511,511,511,0,0,0,0,0
[6] http://purl.org/dc/elements/1.1/title,515,-,-,-,-,-,-,-,515,515,0,0,0,0,0,0,0,0,0,0,515,0,0,0,515,515,515,0,0,0,0,0
[7] http://purl.org/dc/elements/1.1/type,515,-,-,-,-,-,-,-,-,515,0,0,0,0,0,0,0,0,0,0,515,0,0,0,515,515,515,0,0,0,0,0
[8] http://purl.org/dc/terms/isPartOf,515,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,515,0,0,0,515,515,515,0,0,0,0,0
[9] http://www.europeana.eu/schemas/edm/aggregatedCHO,1030,-,-,-,-,-,-,-,-,-,-,515,515,515,515,515,515,515,515,515,0,515,0,515,0,0,1030,0,515,0,0,0
[10] http://www.europeana.eu/schemas/edm/country,515,-,-,-,-,-,-,-,-,-,-,-,0,515,0,515,515,0,0,0,0,515,0,515,0,0,515,0,515,0,0,0
[11] http://www.europeana.eu/schemas/edm/dataProvider,515,-,-,-,-,-,-,-,-,-,-,-,-,0,515,0,0,515,515,515,0,0,0,0,0,0,515,0,0,0,0,0
[12] http://www.europeana.eu/schemas/edm/hasView,515,-,-,-,-,-,-,-,-,-,-,-,-,-,0,515,515,0,0,0,0,515,0,515,0,0,515,0,515,0,0,0
[13] http://www.europeana.eu/schemas/edm/isShownAt,515,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,515,515,515,0,0,0,0,0,0,515,0,0,0,0,0
[14] http://www.europeana.eu/schemas/edm/landingPage,515,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,515,0,0,0,0,515,0,515,0,0,515,0,515,0,0,0
[15] http://www.europeana.eu/schemas/edm/language,515,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,515,0,515,0,0,515,0,515,0,0,0
[16] http://www.europeana.eu/schemas/edm/object,515,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,515,515,0,0,0,0,0,0,515,0,0,0,0,0
[17] http://www.europeana.eu/schemas/edm/provider,515,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,515,0,0,0,0,0,0,515,0,0,0,0,0
[18] http://www.europeana.eu/schemas/edm/rights,515,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,515,0,0,0,0,0
[19] http://www.europeana.eu/schemas/edm/type,515,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,515,515,515,0,0,0,0,0
[20] http://www.openarchives.org/ore/terms/aggregates,515,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,515,0,0,515,0,515,0,0,0
[21] http://www.openarchives.org/ore/terms/describes,515,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,515,515,0,0,515,0
[22] http://www.openarchives.org/ore/terms/isDescribedBy,515,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,515,0,515,0,0,0
[23] http://www.openarchives.org/ore/terms/proxyFor,1030,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1030,1030,0,0,0,0,0
[24] http://www.openarchives.org/ore/terms/proxyIn,1030,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1030,0,0,0,0,0
[25] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,3090,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,515,515,515,515,0
[26] http://www.w3.org/1999/xhtml/vocab#license,515,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,515,0
[27] http://xmlns.com/foaf/0.1/depiction,515,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[28] http://xmlns.com/foaf/0.1/isPrimaryTopicOf,1030,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[29] http://xmlns.com/foaf/0.1/primaryTopic,515,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[30] http://xmlns.com/foaf/0.1/thumbnail,515,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
