Number of unique subjects: 1127,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30]
[0] http://purl.org/dc/elements/1.1/contributor,322,-,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,161,161,0,0,161,0
[1] http://purl.org/dc/elements/1.1/creator,322,-,-,161,161,161,106,161,161,161,161,161,0,161,0,161,161,0,0,0,161,161,0,161,161,161,322,0,161,0,0,0
[2] http://purl.org/dc/elements/1.1/description,161,-,-,-,161,161,106,161,161,161,0,0,0,0,0,0,0,0,0,0,161,0,0,0,161,161,161,0,0,0,0,0
[3] http://purl.org/dc/elements/1.1/identifier,161,-,-,-,-,161,106,161,161,161,0,0,0,0,0,0,0,0,0,0,161,0,0,0,161,161,161,0,0,0,0,0
[4] http://purl.org/dc/elements/1.1/publisher,322,-,-,-,-,-,106,161,161,161,0,0,0,0,0,0,0,0,0,0,161,0,161,0,161,161,322,161,0,0,161,0
[5] http://purl.org/dc/elements/1.1/subject,157,-,-,-,-,-,-,106,106,106,0,0,0,0,0,0,0,0,0,0,106,0,0,0,106,106,106,0,0,0,0,0
[6] http://purl.org/dc/elements/1.1/title,161,-,-,-,-,-,-,-,161,161,0,0,0,0,0,0,0,0,0,0,161,0,0,0,161,161,161,0,0,0,0,0
[7] http://purl.org/dc/elements/1.1/type,161,-,-,-,-,-,-,-,-,161,0,0,0,0,0,0,0,0,0,0,161,0,0,0,161,161,161,0,0,0,0,0
[8] http://purl.org/dc/terms/isPartOf,161,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,161,0,0,0,161,161,161,0,0,0,0,0
[9] http://www.europeana.eu/schemas/edm/aggregatedCHO,322,-,-,-,-,-,-,-,-,-,-,161,161,161,161,161,161,161,161,161,0,161,0,161,0,0,322,0,161,0,0,0
[10] http://www.europeana.eu/schemas/edm/country,161,-,-,-,-,-,-,-,-,-,-,-,0,161,0,161,161,0,0,0,0,161,0,161,0,0,161,0,161,0,0,0
[11] http://www.europeana.eu/schemas/edm/dataProvider,161,-,-,-,-,-,-,-,-,-,-,-,-,0,161,0,0,161,161,161,0,0,0,0,0,0,161,0,0,0,0,0
[12] http://www.europeana.eu/schemas/edm/hasView,161,-,-,-,-,-,-,-,-,-,-,-,-,-,0,161,161,0,0,0,0,161,0,161,0,0,161,0,161,0,0,0
[13] http://www.europeana.eu/schemas/edm/isShownAt,161,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,161,161,161,0,0,0,0,0,0,161,0,0,0,0,0
[14] http://www.europeana.eu/schemas/edm/landingPage,161,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,161,0,0,0,0,161,0,161,0,0,161,0,161,0,0,0
[15] http://www.europeana.eu/schemas/edm/language,161,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,161,0,161,0,0,161,0,161,0,0,0
[16] http://www.europeana.eu/schemas/edm/object,161,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,161,161,0,0,0,0,0,0,161,0,0,0,0,0
[17] http://www.europeana.eu/schemas/edm/provider,161,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,161,0,0,0,0,0,0,161,0,0,0,0,0
[18] http://www.europeana.eu/schemas/edm/rights,161,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,161,0,0,0,0,0
