Number of unique subjects: 29666,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30]
[0] http://purl.org/dc/elements/1.1/contributor,8476,-,0,0,0,4238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4238,0,0,0,4238,4238,0,0,4238,0
[1] http://purl.org/dc/elements/1.1/creator,4238,-,-,0,0,0,0,0,0,0,4238,4238,0,4238,0,4238,4238,0,0,0,0,4238,0,4238,0,0,4238,0,4238,0,0,0
[2] http://purl.org/dc/elements/1.1/description,4238,-,-,-,4238,0,4238,4238,4238,4238,0,0,0,0,0,0,0,0,0,0,4238,0,0,0,4238,4238,4238,0,0,0,0,0
[3] http://purl.org/dc/elements/1.1/identifier,4238,-,-,-,-,0,4238,4238,4238,4238,0,0,0,0,0,0,0,0,0,0,4238,0,0,0,4238,4238,4238,0,0,0,0,0
[4] http://purl.org/dc/elements/1.1/publisher,4238,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4238,0,0,0,4238,4238,0,0,4238,0
[5] http://purl.org/dc/elements/1.1/subject,16570,-,-,-,-,-,-,4238,4238,4238,0,0,0,0,0,0,0,0,0,0,4238,0,0,0,4238,4238,4238,0,0,0,0,0
[6] http://purl.org/dc/elements/1.1/title,4238,-,-,-,-,-,-,-,4238,4238,0,0,0,0,0,0,0,0,0,0,4238,0,0,0,4238,4238,4238,0,0,0,0,0
[7] http://purl.org/dc/elements/1.1/type,4238,-,-,-,-,-,-,-,-,4238,0,0,0,0,0,0,0,0,0,0,4238,0,0,0,4238,4238,4238,0,0,0,0,0
[8] http://purl.org/dc/terms/isPartOf,4238,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,4238,0,0,0,4238,4238,4238,0,0,0,0,0
[9] http://www.europeana.eu/schemas/edm/aggregatedCHO,8476,-,-,-,-,-,-,-,-,-,-,4238,4238,4238,4238,4238,4238,4238,4238,4238,0,4238,0,4238,0,0,8476,0,4238,0,0,0
[10] http://www.europeana.eu/schemas/edm/country,4238,-,-,-,-,-,-,-,-,-,-,-,0,4238,0,4238,4238,0,0,0,0,4238,0,4238,0,0,4238,0,4238,0,0,0
[11] http://www.europeana.eu/schemas/edm/dataProvider,4238,-,-,-,-,-,-,-,-,-,-,-,-,0,4238,0,0,4238,4238,4238,0,0,0,0,0,0,4238,0,0,0,0,0
[12] http://www.europeana.eu/schemas/edm/hasView,4238,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4238,4238,0,0,0,0,4238,0,4238,0,0,4238,0,4238,0,0,0
[13] http://www.europeana.eu/schemas/edm/isShownAt,4238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,4238,4238,4238,0,0,0,0,0,0,4238,0,0,0,0,0
[14] http://www.europeana.eu/schemas/edm/landingPage,4238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4238,0,0,0,0,4238,0,4238,0,0,4238,0,4238,0,0,0
