Number of unique subjects: 3441998,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56]
[0] http://purl.org/dc/elements/1.1/contributor,1129124,-,11412,30971,69173,50229,65681,75337,72212,553019,1225,0,4007,57693,75337,45571,9238,5700,28152,602,240,211,33049,6048,26,4,52611,4049,23,35,23,41116,1403,1610,0,0,0,0,0,0,0,0,0,0,0,75337,0,0,511964,0,75337,75337,587301,511964,0,0,511964,0
[1] http://purl.org/dc/elements/1.1/coverage,62879,-,-,11793,48694,16855,48600,48702,48129,14726,69,0,1,47860,48702,10517,781,690,7674,112,14,18,31510,2133,4,0,38391,1,1,6,1,35936,548,438,0,0,0,0,0,0,0,0,0,0,0,48702,0,0,0,0,48702,48702,48702,0,0,0,0,0
[2] http://purl.org/dc/elements/1.1/creator,754736,-,-,-,155851,177834,160173,228692,223417,88785,8165,0,11931,201370,228691,185145,5174,15220,98978,1087,163,714,100695,3046,11,3,192872,62641,26,15,26,105517,2117,3730,511964,511964,0,370214,0,0,511964,511964,0,0,0,228692,0,511964,0,511964,228692,228692,740656,0,370214,0,0,0
[3] http://purl.org/dc/elements/1.1/date,420192,-,-,-,-,173594,410193,417763,411887,96675,1648,0,1390,294768,417763,143064,12493,8973,66896,1209,417,739,336196,11161,50,7,367036,5955,27,70,27,274262,3072,3937,0,0,0,0,0,0,0,0,0,0,0,417763,0,0,0,0,417763,417763,417763,0,0,0,0,0
[4] http://purl.org/dc/elements/1.1/description,424985,-,-,-,-,-,191672,234070,228116,85563,8464,0,11481,210556,234069,163740,14411,22589,92508,1187,218,529,118747,10961,42,6,176026,51033,3,54,3,134550,2635,4043,0,0,0,0,0,0,0,0,0,0,0,234070,0,0,0,0,234070,234070,234070,0,0,0,0,0
[5] http://purl.org/dc/elements/1.1/format,473759,-,-,-,-,-,-,434749,428835,98639,9249,0,1390,311507,434748,145779,11932,16626,66019,1177,110,617,350702,10857,7,1,369501,14570,27,5,27,285327,2777,3932,0,0,0,0,0,0,0,0,0,0,0,434749,0,0,0,0,434749,434749,434749,0,0,0,0,0
[6] http://purl.org/dc/elements/1.1/identifier,519591,-,-,-,-,-,-,-,503605,122171,9306,0,12867,370549,511962,221107,15078,23680,123856,1209,417,739,352552,11282,51,7,442522,79917,27,70,27,287941,3150,4901,0,0,0,0,0,0,0,0,0,0,0,511964,0,0,0,0,511964,511964,511964,0,0,0,0,0
[7] http://purl.org/dc/elements/1.1/language,504998,-,-,-,-,-,-,-,-,118560,8274,0,9211,362642,503603,213903,12781,21815,119537,1209,416,733,352342,11270,51,7,439558,77502,0,70,0,285366,2687,4186,0,0,0,0,0,0,0,0,0,0,0,503605,0,0,0,0,503605,503605,503605,0,0,0,0,0
[8] http://purl.org/dc/elements/1.1/publisher,655679,-,-,-,-,-,-,-,-,-,8130,0,7298,99170,122170,78760,5363,9664,41275,1086,335,522,51860,2185,25,7,98036,14693,26,45,26,51309,2172,1673,0,0,0,0,0,0,0,0,0,0,0,122171,0,0,511964,0,122171,122171,634135,511964,0,0,511964,0
[9] http://purl.org/dc/elements/1.1/relation,17066,-,-,-,-,-,-,-,-,-,-,0,993,8840,9306,8895,321,7822,582,79,79,4,18,147,5,5,6601,3,0,10,0,537,20,72,0,0,0,0,0,0,0,0,0,0,0,9306,0,0,0,0,9306,9306,9306,0,0,0,0,0
[10] http://purl.org/dc/elements/1.1/rights,97802,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96307,0,96307,0,96307,24303,0,0,28839,96307,71041,0,0,0,0,0,0,0,96307,0,0,0,0,0
[11] http://purl.org/dc/elements/1.1/source,12867,-,-,-,-,-,-,-,-,-,-,-,-,6088,12867,12866,1851,1198,9129,0,0,0,0,0,0,0,11477,11440,0,0,0,494,16,151,0,0,0,0,0,0,0,0,0,0,0,12867,0,0,0,0,12867,12867,12867,0,0,0,0,0
[12] http://purl.org/dc/elements/1.1/subject,845086,-,-,-,-,-,-,-,-,-,-,-,-,-,370547,195988,6979,18273,94917,836,99,449,241855,5438,38,4,310581,61996,27,39,27,246265,2751,4864,0,0,0,0,0,0,0,0,0,0,0,370549,0,0,0,0,370549,370549,370549,0,0,0,0,0
[13] http://purl.org/dc/elements/1.1/title,516826,-,-,-,-,-,-,-,-,-,-,-,-,-,-,221106,15078,23680,123856,1209,417,739,352552,11282,51,7,442521,79917,27,70,27,287941,3150,4901,0,0,0,0,0,0,0,0,0,0,0,511962,0,0,0,0,511962,511962,511962,0,0,0,0,0
[14] http://purl.org/dc/elements/1.1/type,295738,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7598,16947,78278,360,19,606,104952,2151,21,4,187275,66073,1,17,1,109286,908,4397,0,0,0,0,0,0,0,0,0,0,0,221107,0,0,0,0,221107,221107,221107,0,0,0,0,0
[15] http://purl.org/dc/terms/alternative,17940,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7677,13973,413,146,30,790,6579,26,6,11325,2443,0,42,0,10824,365,464,0,0,0,0,0,0,0,0,0,0,0,15078,0,0,0,0,15078,15078,15078,0,0,0,0,0
[16] http://purl.org/dc/terms/created,23683,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15832,0,53,42,524,6140,3,1,20025,6956,27,3,27,8598,542,1464,0,0,0,0,0,0,0,0,0,0,0,23680,0,0,0,0,23680,23680,23680,0,0,0,0,0
[17] http://purl.org/dc/terms/extent,126047,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1188,294,473,7054,11058,14,2,109758,57091,27,4,27,34485,2730,4806,0,0,0,0,0,0,0,0,0,0,0,123856,0,0,0,0,123856,123856,123856,0,0,0,0,0
[18] http://purl.org/dc/terms/hasFormat,1227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,4,25,20,2,1,842,2,0,6,0,806,80,1,0,0,0,0,0,0,0,0,0,0,0,1209,0,0,0,0,1209,1209,1209,0,0,0,0,0
[19] http://purl.org/dc/terms/hasPart,2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,68,79,8,3,407,0,0,26,0,65,25,0,0,0,0,0,0,0,0,0,0,0,0,417,0,0,0,0,417,417,417,0,0,0,0,0
[20] http://purl.org/dc/terms/isFormatOf,747,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,271,12,0,0,313,217,0,0,0,90,34,4,0,0,0,0,0,0,0,0,0,0,0,739,0,0,0,0,739,739,739,0,0,0,0,0
[21] http://purl.org/dc/terms/isPartOf,352958,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,467,2,0,314511,14169,0,1,0,254884,279,160,0,0,0,0,0,0,0,0,0,0,0,352552,0,0,0,0,352552,352552,352552,0,0,0,0,0
[22] http://purl.org/dc/terms/isReferencedBy,14024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,10170,3,0,1,0,8906,356,185,0,0,0,0,0,0,0,0,0,0,0,11282,0,0,0,0,11282,11282,11282,0,0,0,0,0
[23] http://purl.org/dc/terms/isReplacedBy,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,47,0,0,12,0,30,9,1,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,51,51,51,0,0,0,0,0
[24] http://purl.org/dc/terms/isVersionOf,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,7,7,0,0,0,0,0
[25] http://purl.org/dc/terms/issued,442570,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65292,0,67,0,257621,2135,1006,0,0,0,0,0,0,0,0,0,0,0,442522,0,0,0,0,442522,442522,442522,0,0,0,0,0
[26] http://purl.org/dc/terms/medium,80054,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,12915,103,981,0,0,0,0,0,0,0,0,0,0,0,79917,0,0,0,0,79917,79917,79917,0,0,0,0,0
[27] http://purl.org/dc/terms/references,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,27,1,3,1,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,27,27,27,0,0,0,0,0
[28] http://purl.org/dc/terms/replaces,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,24,14,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,70,70,70,0,0,0,0,0
[29] http://purl.org/dc/terms/requires,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,27,27,27,0,0,0,0,0
[30] http://purl.org/dc/terms/spatial,310689,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1621,4218,0,0,0,0,0,0,0,0,0,0,0,287941,0,0,0,0,287941,287941,287941,0,0,0,0,0
