Number of unique subjects: 7161,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32]
[0] http://purl.org/dc/elements/1.1/contributor,2046,-,0,0,0,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,0,0,0,1023,1023,0,0,1023,0
[1] http://purl.org/dc/elements/1.1/creator,1023,-,-,0,0,0,0,0,0,0,0,0,1023,1023,0,1023,0,1023,1023,0,0,0,0,1023,0,1023,0,0,1023,0,1023,0,0,0
[2] http://purl.org/dc/elements/1.1/description,1018,-,-,-,1018,1018,1018,1018,1018,1018,1018,1018,0,0,0,0,0,0,0,0,0,0,1018,0,0,0,1018,1018,1018,0,0,0,0,0
[3] http://purl.org/dc/elements/1.1/identifier,1023,-,-,-,-,1023,1023,1023,1023,1023,1023,1023,0,0,0,0,0,0,0,0,0,0,1023,0,0,0,1023,1023,1023,0,0,0,0,0
[4] http://purl.org/dc/elements/1.1/publisher,2046,-,-,-,-,-,1023,1023,1023,1023,1023,1023,0,0,0,0,0,0,0,0,0,0,1023,0,1023,0,1023,1023,2046,1023,0,0,1023,0
[5] http://purl.org/dc/elements/1.1/subject,4840,-,-,-,-,-,-,1023,1023,1023,1023,1023,0,0,0,0,0,0,0,0,0,0,1023,0,0,0,1023,1023,1023,0,0,0,0,0
[6] http://purl.org/dc/elements/1.1/title,1023,-,-,-,-,-,-,-,1023,1023,1023,1023,0,0,0,0,0,0,0,0,0,0,1023,0,0,0,1023,1023,1023,0,0,0,0,0
[7] http://purl.org/dc/elements/1.1/type,1023,-,-,-,-,-,-,-,-,1023,1023,1023,0,0,0,0,0,0,0,0,0,0,1023,0,0,0,1023,1023,1023,0,0,0,0,0
[8] http://purl.org/dc/terms/isPartOf,1023,-,-,-,-,-,-,-,-,-,1023,1023,0,0,0,0,0,0,0,0,0,0,1023,0,0,0,1023,1023,1023,0,0,0,0,0
[9] http://purl.org/dc/terms/spatial,1023,-,-,-,-,-,-,-,-,-,-,1023,0,0,0,0,0,0,0,0,0,0,1023,0,0,0,1023,1023,1023,0,0,0,0,0
[10] http://purl.org/dc/terms/temporal,1023,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,1023,0,0,0,1023,1023,1023,0,0,0,0,0
[11] http://www.europeana.eu/schemas/edm/aggregatedCHO,2046,-,-,-,-,-,-,-,-,-,-,-,-,1023,1023,1023,1023,1023,1023,1023,1023,1023,0,1023,0,1023,0,0,2046,0,1023,0,0,0
[12] http://www.europeana.eu/schemas/edm/country,1023,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1023,0,1023,1023,0,0,0,0,1023,0,1023,0,0,1023,0,1023,0,0,0
[13] http://www.europeana.eu/schemas/edm/dataProvider,1023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1023,0,0,1023,1023,1023,0,0,0,0,0,0,1023,0,0,0,0,0
[14] http://www.europeana.eu/schemas/edm/hasView,1023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1023,1023,0,0,0,0,1023,0,1023,0,0,1023,0,1023,0,0,0
[15] http://www.europeana.eu/schemas/edm/isShownAt,1023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1023,1023,1023,0,0,0,0,0,0,1023,0,0,0,0,0
[16] http://www.europeana.eu/schemas/edm/landingPage,1023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1023,0,0,0,0,1023,0,1023,0,0,1023,0,1023,0,0,0
[17] http://www.europeana.eu/schemas/edm/language,1023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1023,0,1023,0,0,1023,0,1023,0,0,0
[18] http://www.europeana.eu/schemas/edm/object,1023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1023,1023,0,0,0,0,0,0,1023,0,0,0,0,0
[19] http://www.europeana.eu/schemas/edm/provider,1023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1023,0,0,0,0,0,0,1023,0,0,0,0,0
[20] http://www.europeana.eu/schemas/edm/rights,1023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,1023,0,0,0,0,0
[21] http://www.europeana.eu/schemas/edm/type,1023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1023,1023,1023,0,0,0,0,0
[22] http://www.openarchives.org/ore/terms/aggregates,1023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1023,0,0,1023,0,1023,0,0,0
[23] http://www.openarchives.org/ore/terms/describes,1023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1023,1023,0,0,1023,0
[24] http://www.openarchives.org/ore/terms/isDescribedBy,1023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1023,0,1023,0,0,0
