Number of unique subjects: 47,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11]
[0] http://creativecommons.org/ns#license,1,-,1,0,0,0,0,1,1,1,0,1,0
[1] http://creativecommons.org/ns#morePermissions,1,-,-,0,0,0,0,1,1,1,0,1,0
[2] http://ec.europa.eu/eurostat/ramon/ontologies/geographic.rdf#code,45,-,-,-,5,45,40,0,0,0,45,40,43
[3] http://ec.europa.eu/eurostat/ramon/ontologies/geographic.rdf#hasMember,77,-,-,-,-,5,0,0,0,0,5,0,3
[4] http://ec.europa.eu/eurostat/ramon/ontologies/geographic.rdf#name,45,-,-,-,-,-,40,0,0,0,45,40,43
[5] http://ec.europa.eu/eurostat/ramon/ontologies/geographic.rdf#protocolOrder,40,-,-,-,-,-,-,0,0,0,40,40,40
[6] http://purl.org/dc/terms/source,1,-,-,-,-,-,-,-,1,1,0,1,0
[7] http://purl.org/dc/terms/subject,1,-,-,-,-,-,-,-,-,1,0,1,0
[8] http://purl.org/dc/terms/title,1,-,-,-,-,-,-,-,-,-,0,1,0
[9] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,46,-,-,-,-,-,-,-,-,-,-,40,44
[10] http://www.w3.org/2000/01/rdf-schema#label,41,-,-,-,-,-,-,-,-,-,-,-,40
[11] http://www.w3.org/2002/07/owl#sameAs,116,-,-,-,-,-,-,-,-,-,-,-,-
