Number of unique subjects: 104757,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64],[65],[66],[67],[68],[69],[70],[71],[72],[73],[74],[75],[76],[77],[78],[79],[80],[81],[82],[83],[84],[85],[86],[87],[88],[89],[90],[91],[92],[93],[94],[95],[96],[97],[98],[99],[100],[101],[102],[103],[104],[105],[106],[107],[108],[109],[110],[111],[112],[113],[114],[115],[116],[117],[118],[119],[120],[121],[122],[123],[124],[125],[126],[127],[128],[129],[130],[131],[132],[133],[134],[135],[136],[137],[138],[139],[140],[141],[142],[143],[144],[145],[146],[147],[148],[149],[150],[151],[152],[153],[154],[155],[156],[157],[158],[159],[160],[161],[162],[163],[164]
[0] http://creativecommons.org/ns#License,13,-,13,13,0,13,0,0,0,0,0,13,0,3,2,13,0,1,0,12,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10
[1] http://creativecommons.org/ns#attributionName,39820,-,-,39820,39807,39812,0,0,0,39,2,39820,0,39810,39809,39820,0,39800,0,39780,39820,0,0,39820,1,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,1,0,0,8,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,18887,0,7,1035,0,0,0,0,8,0,8,7,8,0,0,0,0,0,8,0,0,0,39804,2,39817
[2] http://creativecommons.org/ns#attributionURL,39820,-,-,-,39807,39812,0,0,0,39,2,39820,0,39810,39809,39820,0,39800,0,39780,39820,0,0,39820,1,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,1,0,0,8,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,18887,0,7,1035,0,0,0,0,8,0,8,7,8,0,0,0,0,0,8,0,0,0,39804,2,39817
[3] http://creativecommons.org/ns#license,39807,-,-,-,-,39799,0,0,0,39,2,39807,0,39807,39807,39807,0,39799,0,39768,39807,0,0,39807,1,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,1,0,0,8,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,18887,0,0,1030,0,0,0,0,8,0,8,7,8,0,0,0,0,0,8,0,0,0,39802,2,39807
[4] http://creativecommons.org/ns#morePermissions,39812,-,-,-,-,-,0,0,0,39,2,39812,0,39802,39801,39812,0,39800,0,39772,39812,0,0,39812,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18879,0,7,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39796,2,39809
[5] http://dbpedia.org/property/hasPhotoCollection,12629,-,-,-,-,-,-,0,0,0,0,1158,0,0,12625,12625,0,0,0,12625,1158,1,0,12625,0,0,0,0,0,0,12625,5,2,0,14,0,0,309,0,0,236,236,954,11467,11467,0,9682,0,0,0,0,0,0,9,9,0,0,0,1,12625,741,435,13,13,11467,12625,0,10789,11467,0,9,0,0,8118,0,9946,9,0,0,0,0,12625,11467,9,11467,10465,1,0,11467,0,0,0,5715,970,2,43,23,0,2403,11467,0,0,12625,9735,8,12625,11467,12625,12625,12625,0,5219,1521,1941,8147,9208,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,12625,0,0,12625,1158,0,0,0,1039,12625,12625,581,12625,923,0,0,63,0,12625,0,0,1,0,0,1167
[6] http://purl.org/NET/scovo#dimension,1,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[7] http://purl.org/dc/elements/1.1/title,1,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[8] http://purl.org/dc/terms/coverage,41,-,-,-,-,-,-,-,-,-,0,39,0,41,39,39,1,39,0,0,41,0,0,41,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,39,0,40
[9] http://purl.org/dc/terms/created,67,-,-,-,-,-,-,-,-,-,-,15,0,2,54,15,0,15,0,67,15,0,0,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,0,13,0,52,39,52,39,52,52,13,13,0,13,0,0,0,0,0,0,0,0,0,39,0,0,39,13,39,0,0,0,0,8,13,0,39,39,0,0,52,0,0,0,21,0,13,52,52,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,39,39,39,39,39,39,39,39,39,0,39,53,0,0,22,0,0,52,52,0,0,0,0,52,0,0,0,0,0,52,0,0,0,13,0,36
