Number of unique subjects: 2654724,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26]
[0] http://iflastandards.info/ns/isbd/elements/P1004,2401063,-,1156140,617943,2144860,1961985,2250903,141215,402757,1022460,2344473,2399631,2250903,2344495,1961985,480059,2399631,159160,617943,1657445,0,0,0,0,0,2399631,1152718,2399631
[1] http://iflastandards.info/ns/isbd/elements/P1006,1157199,-,-,337611,1093988,1021485,1116674,81068,220138,513209,1132253,1156195,1116674,1132257,1021485,293967,1156140,50842,337611,797219,0,0,0,0,0,1156195,621008,1156195
[2] http://iflastandards.info/ns/isbd/elements/P1008,642728,-,-,-,625958,612711,638387,77290,130820,349674,620943,642688,638387,620944,612711,178583,617943,15281,642688,394742,0,0,0,0,0,642688,370345,642688
[3] http://iflastandards.info/ns/isbd/elements/P1016,2247786,-,-,-,-,2039033,2080620,145786,433861,893618,2197460,2228333,2080620,2197484,2039033,462685,2144860,162432,625958,1606383,0,0,0,0,0,2228333,974540,2228333
[4] http://iflastandards.info/ns/isbd/elements/P1017,2047225,-,-,-,-,-,1916312,144928,408743,875089,2010584,2039033,1916312,2010592,2039033,455368,1961985,115295,612711,1441801,0,0,0,0,0,2039033,961688,2039033
[5] http://iflastandards.info/ns/isbd/elements/P1018,2343224,-,-,-,-,-,-,142474,414849,1026527,2286982,2343224,2343224,2287007,1916312,473279,2250903,134356,638387,1611023,0,0,0,0,0,2343224,1142282,2343224
[6] http://purl.org/dc/terms/alternative,145983,-,-,-,-,-,-,-,44238,99715,142867,145972,142474,142869,144928,44263,141215,1341,77290,84679,0,0,0,0,0,145972,91358,145972
[7] http://purl.org/dc/terms/contributor,546856,-,-,-,-,-,-,-,-,77300,429046,435049,414849,429050,408743,112245,402757,12373,130820,353621,0,0,0,0,0,435049,213068,435049
[8] http://purl.org/dc/terms/creator,1146974,-,-,-,-,-,-,-,-,-,1025252,1052908,1026527,1025261,875089,270331,1022460,20437,349674,756110,0,0,0,0,0,1052908,627537,1052908
[9] http://purl.org/dc/terms/format,2434064,-,-,-,-,-,-,-,-,-,-,2434064,2286982,2434064,2010584,475448,2344473,162021,620943,1693306,0,0,0,0,0,2434064,1142462,2434064
[10] http://purl.org/dc/terms/identifier,2491960,-,-,-,-,-,-,-,-,-,-,-,2343224,2434091,2039033,480348,2399631,162764,642688,1730625,0,0,0,0,0,2491960,1159789,2491960
[11] http://purl.org/dc/terms/issued,2343224,-,-,-,-,-,-,-,-,-,-,-,-,2287007,1916312,473279,2250903,134356,638387,1611023,0,0,0,0,0,2343224,1142282,2343224
[12] http://purl.org/dc/terms/medium,2434091,-,-,-,-,-,-,-,-,-,-,-,-,-,2010592,475448,2344495,162022,620944,1693326,0,0,0,0,0,2434091,1142463,2434091
[13] http://purl.org/dc/terms/publisher,2047226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,455368,1961985,115295,612711,1441801,0,0,0,0,0,2039033,961688,2039033
[14] http://purl.org/dc/terms/subject,1078169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,480059,22250,178583,318695,0,0,0,0,0,480348,431015,480348
[15] http://purl.org/dc/terms/title,2401064,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,159160,617943,1657445,0,0,0,0,0,2399631,1152718,2399631
[16] http://purl.org/ontology/bibo/authorlist,162764,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15281,123293,0,0,0,0,0,162764,43153,162764
[17] http://purl.org/ontology/bibo/edition,642728,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,394742,0,0,0,0,0,642688,370345,642688
[18] http://purl.org/ontology/bibo/oclcnum,1761371,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1730625,552493,1730625
[19] http://www.w3.org/1999/02/22-rdf-syntax-ns#_1,162764,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1082,105,3,1,162764,0,0
[20] http://www.w3.org/1999/02/22-rdf-syntax-ns#_2,1082,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105,3,1,1082,0,0
[21] http://www.w3.org/1999/02/22-rdf-syntax-ns#_3,105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,105,0,0
[22] http://www.w3.org/1999/02/22-rdf-syntax-ns#_4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,0,0
[23] http://www.w3.org/1999/02/22-rdf-syntax-ns#_5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0
[24] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,6990722,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1159789,2491960
[25] http://www.w3.org/2002/07/owl#sameAs,1159846,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1159789
[26] http://www.w3.org/2007/05/powder-s#describedby,2491960,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
