Number of unique subjects: 3,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15]
[0] http://purl.org/dc/terms/created,1,-,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
[1] http://purl.org/dc/terms/creator,1,-,-,1,1,1,1,1,1,1,0,1,0,1,1,1,0
[2] http://purl.org/dc/terms/modified,1,-,-,-,1,1,1,1,1,1,0,1,0,1,1,1,0
[3] http://purl.org/dc/terms/source,1,-,-,-,-,1,1,1,1,1,0,1,0,1,1,1,0
[4] http://purl.org/dc/terms/subject,3,-,-,-,-,-,1,1,1,1,0,1,0,1,1,1,0
[5] http://purl.org/dc/terms/title,1,-,-,-,-,-,-,1,1,1,0,1,0,1,1,1,0
[6] http://rdfs.org/ns/void#dataDump,1,-,-,-,-,-,-,-,1,1,0,1,0,1,1,1,0
[7] http://rdfs.org/ns/void#exampleResource,1,-,-,-,-,-,-,-,-,1,0,1,0,1,1,1,0
[8] http://rdfs.org/ns/void#feature,2,-,-,-,-,-,-,-,-,-,0,1,0,1,1,1,0
[9] http://rdfs.org/ns/void#linkPredicate,1,-,-,-,-,-,-,-,-,-,-,0,1,0,0,1,0
[10] http://rdfs.org/ns/void#sparqlEndpoint,1,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,0
[11] http://rdfs.org/ns/void#target,2,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0
[12] http://rdfs.org/ns/void#vocabulary,5,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0
[13] http://rdfs.org/ns/void#void:triples,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0
[14] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
[15] http://xmlns.com/foaf/0.1/homepage,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
