Number of unique subjects: 3995582,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37]
[0] http://iflastandards.info/ns/isbd/elements/hasEditionStatement,32099,-,687,31381,219,258,17,527,30,30806,4660,0,28,26741,32092,3,32099,6485,0,7,31999,32098,32076,1991,82,243,32053,2920,32099,32099,0,0,0,0,0,0,0,0,0
[1] http://iflastandards.info/ns/isbd/elements/hasNoteOnLanguage,11133,-,-,11076,107,16,7,2032,2,10829,1845,0,5,6061,11078,7,11083,2859,0,4,11017,11083,11072,618,10,15,11037,1606,11083,11083,0,0,0,0,0,0,0,0,0
[2] http://iflastandards.info/ns/isbd/elements/hasPlaceOfPublicationProductionDistribution,376921,-,-,-,3533,1652,332,6138,238,E,42577,1,152,167265,292352,288,293161,74753,1,81,291509,293158,292942,13773,948,5099,292079,33718,293160,293161,0,0,0,0,0,0,0,0,0
[3] http://purl.org/dc/elements/1.1/date,3536,-,-,-,-,128,305,191,50,2597,474,0,0,2747,2821,279,3536,546,0,81,2557,3536,3534,358,948,721,3528,776,3536,3536,0,0,0,0,0,0,0,0,0
[4] http://purl.org/dc/terms/abstract,1711,-,-,-,-,-,2,41,26,1631,248,1,2,1513,1557,4,1652,352,0,0,1612,1652,1651,60,45,123,1652,782,1652,1652,0,0,0,0,0,0,0,0,0
[5] http://purl.org/dc/terms/accessRights,333,-,-,-,-,-,-,3,0,161,57,0,0,235,275,90,332,22,0,21,261,332,331,38,141,40,328,28,332,332,0,0,0,0,0,0,0,0,0
[6] http://purl.org/dc/terms/alternative,6285,-,-,-,-,-,-,-,29,6284,818,0,10,4753,6234,30,6285,2113,0,4,6212,6285,6268,1155,30,53,6238,2044,6285,6285,0,0,0,0,0,0,0,0,0
[7] http://purl.org/dc/terms/audience,252,-,-,-,-,-,-,-,-,227,13,0,1,170,238,0,238,66,0,0,237,238,237,5,0,2,237,29,238,238,0,0,0,0,0,0,0,0,0
[8] http://purl.org/dc/terms/contributor,438901,-,-,-,-,-,-,-,-,-,40575,1,149,163524,288966,185,289690,72059,1,51,288295,289687,289437,12269,584,4600,288680,31219,289689,289690,0,0,0,0,0,0,0,0,0
[9] http://purl.org/dc/terms/coverage,49188,-,-,-,-,-,-,-,-,-,-,0,45,25476,42592,18,42628,12977,1,18,42464,42626,42602,1451,163,277,42628,4364,42627,42628,0,0,0,0,0,0,0,0,0
[10] http://purl.org/dc/terms/created,1,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
[11] http://purl.org/dc/terms/dateCopyrighted,152,-,-,-,-,-,-,-,-,-,-,-,-,131,152,1,152,31,0,0,152,152,152,5,0,1,150,5,152,152,0,0,0,0,0,0,0,0,0
