Number of unique subjects: 29271,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11]
[0] http://knoesis.wright.edu/ssw/ont/sensor-observation.owl#ID,9757,-,0,9757,0,9757,9743,9757,0,9757,0,0,0
[1] http://knoesis.wright.edu/ssw/ont/sensor-observation.owl#distance,9757,-,-,0,9757,0,0,0,9757,9757,0,0,0
[2] http://knoesis.wright.edu/ssw/ont/sensor-observation.owl#hasLocatedNearRel,9757,-,-,-,0,9757,9743,9757,0,9757,0,0,0
[3] http://knoesis.wright.edu/ssw/ont/sensor-observation.owl#hasLocation,9757,-,-,-,-,0,0,0,9757,9757,0,0,0
[4] http://knoesis.wright.edu/ssw/ont/sensor-observation.owl#hasSourceURI,9757,-,-,-,-,-,9743,9757,0,9757,0,0,0
[5] http://knoesis.wright.edu/ssw/ont/sensor-observation.owl#parameter,59109,-,-,-,-,-,-,9743,0,9743,0,0,0
[6] http://knoesis.wright.edu/ssw/ont/sensor-observation.owl#processLocation,9757,-,-,-,-,-,-,-,0,9757,0,0,0
[7] http://knoesis.wright.edu/ssw/ont/sensor-observation.owl#uom,9757,-,-,-,-,-,-,-,-,9757,0,0,0
[8] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,29271,-,-,-,-,-,-,-,-,-,9757,9757,9757
[9] http://www.w3.org/2003/01/geo/wgs84_pos#alt,9757,-,-,-,-,-,-,-,-,-,-,9757,9757
[10] http://www.w3.org/2003/01/geo/wgs84_pos#lat,9757,-,-,-,-,-,-,-,-,-,-,-,9757
[11] http://www.w3.org/2003/01/geo/wgs84_pos#long,9757,-,-,-,-,-,-,-,-,-,-,-,-
