Number of unique subjects: 4907,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56]
[0] http://dbpedia.org/property/abbreviation,1843,-,1722,0,0,1395,540,1767,1617,0,0,1781,1842,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368,0,0,0,0,0,0,0,0,0,0,0,0,1696,0,0,0,0,0,0,1843,5,0,0,165,1786,1596,1843,1737
[1] http://dbpedia.org/property/city,1727,-,-,0,0,1340,523,1716,1590,0,0,1678,1727,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1291,0,0,0,0,0,0,0,0,0,0,0,0,1596,0,0,0,0,0,0,1727,5,0,0,165,1672,1519,1727,1665
[2] http://dbpedia.org/property/country,915,-,-,-,241,0,0,0,0,244,245,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,223,0,0,0,222,0,0,223,242,223,245,0,0,0,0,0,237,0,211,202,240,0,0,245,0,0,0,0,0,0,0,0
[3] http://dbpedia.org/property/document,243,-,-,-,-,0,0,0,0,241,242,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,222,0,0,0,221,0,0,222,239,222,242,0,0,0,0,0,234,0,210,202,237,0,0,242,0,0,0,0,0,0,0,0
[4] http://dbpedia.org/property/fax,1396,-,-,-,-,-,417,1375,1251,0,0,1357,1396,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035,0,0,0,0,0,0,0,0,0,0,0,0,1287,0,0,0,0,0,0,1396,5,0,0,111,1362,1258,1396,1390
[5] http://dbpedia.org/property/state,541,-,-,-,-,-,-,538,529,0,0,522,541,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,0,0,0,517,0,0,0,0,0,0,541,1,0,0,122,532,473,541,526
[6] http://dbpedia.org/property/street,1772,-,-,-,-,-,-,-,1616,0,0,1722,1772,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321,0,0,0,0,0,0,0,0,0,0,0,0,1639,0,0,0,0,0,0,1772,5,0,0,163,1718,1558,1772,1712
[7] http://dbpedia.org/property/zipCode,1622,-,-,-,-,-,-,-,-,0,0,1577,1622,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224,0,0,0,0,0,0,0,0,0,0,0,0,1501,0,0,0,0,0,0,1622,5,0,0,161,1582,1434,1622,1566
[8] http://purl.org/dc/elements/1.1/description,245,-,-,-,-,-,-,-,-,-,245,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,223,0,0,0,222,0,0,223,242,223,245,0,0,0,0,0,237,0,211,202,240,0,0,245,0,0,0,0,0,0,0,0
[9] http://purl.org/dc/elements/1.1/title,514,-,-,-,-,-,-,-,-,-,-,0,0,0,169,168,167,214,166,169,167,166,167,166,165,169,224,165,166,0,223,168,0,224,243,224,246,167,167,167,169,169,238,169,212,203,241,0,0,514,0,32,0,0,0,0,0,0
[10] http://purl.org/dc/terms/subject,2709,-,-,-,-,-,-,-,-,-,-,-,1986,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332,0,0,0,0,0,0,0,0,0,0,0,0,1834,0,0,0,0,0,0,1786,5,0,0,189,1732,1552,1786,1692
[11] http://reegle.info/schema#activeIn,14018,-,-,-,-,-,-,-,-,-,-,-,-,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372,0,0,0,0,0,0,0,0,0,0,0,0,1875,0,0,0,0,0,0,1847,5,0,0,189,1790,1601,1847,1742
[12] http://reegle.info/schema#activities,933,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,0,0,0,0,0,0,0,0,0,0,0,0,883,0,0,0,0,0,0,933,5,0,0,163,920,842,933,892
[13] http://reegle.info/schema#capacityConcerns,169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,168,167,0,166,169,167,166,167,166,165,169,0,165,166,0,0,168,0,0,0,0,0,167,167,167,169,169,0,169,0,0,0,0,0,169,0,0,0,0,0,0,0,0
[14] http://reegle.info/schema#competition,168,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,167,0,166,168,167,166,167,166,165,168,0,165,166,0,0,168,0,0,0,0,0,167,167,167,168,168,0,168,0,0,0,0,0,168,0,0,0,0,0,0,0,0
[15] http://reegle.info/schema#degreeIndependence,167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,166,167,167,166,167,166,165,167,0,165,166,0,0,167,0,0,0,0,0,167,167,167,167,167,0,167,0,0,0,0,0,167,0,0,0,0,0,0,0,0
[16] http://reegle.info/schema#desirability,214,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,214,0,0,0,214,0,0,214,211,213,214,0,0,0,0,0,206,0,209,200,209,0,0,214,0,0,0,0,0,0,0,0
[17] http://reegle.info/schema#energyDebates,166,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,166,166,165,166,166,165,166,0,165,166,0,0,166,0,0,0,0,0,166,166,166,166,166,0,166,0,0,0,0,0,166,0,0,0,0,0,0,0,0
[18] http://reegle.info/schema#energyEfficiency,169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,167,166,167,166,165,169,0,165,166,0,0,168,0,0,0,0,0,167,167,167,169,169,0,169,0,0,0,0,0,169,0,0,0,0,0,0,0,0
[19] http://reegle.info/schema#energyFramework,167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,166,167,166,165,167,0,165,166,0,0,167,0,0,0,0,0,167,167,167,167,167,0,167,0,0,0,0,0,167,0,0,0,0,0,0,0,0
[20] http://reegle.info/schema#energyProcedure,166,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,166,165,165,166,0,164,165,0,0,166,0,0,0,0,0,166,166,166,166,166,0,166,0,0,0,0,0,166,0,0,0,0,0,0,0,0
[21] http://reegle.info/schema#energyRegulationRole,167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,166,165,167,0,165,166,0,0,167,0,0,0,0,0,167,167,167,167,167,0,167,0,0,0,0,0,167,0,0,0,0,0,0,0,0
[22] http://reegle.info/schema#energyRegulator,166,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165,166,0,165,166,0,0,166,0,0,0,0,0,166,166,166,166,166,0,166,0,0,0,0,0,166,0,0,0,0,0,0,0,0
[23] http://reegle.info/schema#energyStudies,165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165,0,164,165,0,0,165,0,0,0,0,0,165,165,165,165,165,0,165,0,0,0,0,0,165,0,0,0,0,0,0,0,0
[24] http://reegle.info/schema#extendNetwork,169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,165,166,0,0,168,0,0,0,0,0,167,167,167,169,169,0,169,0,0,0,0,0,169,0,0,0,0,0,0,0,0
[25] http://reegle.info/schema#funded,224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,223,0,0,224,221,223,224,0,0,0,0,0,216,0,211,203,219,0,0,224,0,0,0,0,0,0,0,0
[26] http://reegle.info/schema#governmentAgencies,165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165,0,0,165,0,0,0,0,0,165,165,165,165,165,0,165,0,0,0,0,0,165,0,0,0,0,0,0,0,0
[27] http://reegle.info/schema#governmentRole,166,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,166,0,0,0,0,0,166,166,166,166,166,0,166,0,0,0,0,0,166,0,0,0,0,0,0,0,0
[28] http://reegle.info/schema#mission,1373,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,1299,0,0,0,0,0,0,1373,5,0,0,164,1353,1221,1373,1306
[29] http://reegle.info/schema#organisationType,223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,223,220,222,223,0,0,0,0,0,215,0,211,202,218,0,0,223,0,0,0,0,0,0,0,0
[30] http://reegle.info/schema#ownership,168,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,167,167,167,168,168,0,168,0,0,0,0,0,168,0,0,0,0,0,0,0,0
[31] http://reegle.info/schema#profile,169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,169,169,0,0,0,0,0,0,0,0
[32] http://reegle.info/schema#projectDescription,224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,221,223,224,0,0,0,0,0,216,0,211,203,219,0,0,224,0,0,0,0,0,0,0,0
[33] http://reegle.info/schema#projectExpertise,243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,221,243,0,0,0,0,0,235,0,209,200,239,0,0,243,0,0,0,0,0,0,0,0
[34] http://reegle.info/schema#projectTitle,224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,224,0,0,0,0,0,216,0,210,202,219,0,0,224,0,0,0,0,0,0,0,0
[35] http://reegle.info/schema#referenceNumber,246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,238,0,212,203,241,0,0,246,0,0,0,0,0,0,0,0
[36] http://reegle.info/schema#regulatoryBarriers,167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,167,167,167,167,0,167,0,0,0,0,0,167,0,0,0,0,0,0,0,0
[37] http://reegle.info/schema#regulatoryFramework,167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,167,167,167,0,167,0,0,0,0,0,167,0,0,0,0,0,0,0,0
[38] http://reegle.info/schema#regulatoryRoles,167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,167,167,0,167,0,0,0,0,0,167,0,0,0,0,0,0,0,0
[39] http://reegle.info/schema#reliance,169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,169,0,169,0,0,0,0,0,169,0,0,0,0,0,0,0,0
[40] http://reegle.info/schema#renewableEnergy,169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,169,0,0,0,0,0,169,0,0,0,0,0,0,0,0
[41] http://reegle.info/schema#sector,6469,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,204,195,237,0,0,1939,5,0,0,189,1659,1489,1701,1618
[42] http://reegle.info/schema#sources,169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,169,0,0,0,0,0,0,0,0
[43] http://reegle.info/schema#specialisation,263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,196,207,0,0,212,0,0,0,0,0,0,0,0
[44] http://reegle.info/schema#targetAudience,203,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,198,0,0,203,0,0,0,0,0,0,0,0
[45] http://reegle.info/schema#technology,275,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,241,0,0,0,0,0,0,0,0
[46] http://www.geonames.org/ontology#countryCode,244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,205,244,0,0,0,0,0,0,0,0
[47] http://www.geonames.org/ontology#name,214,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,211,0,0,0,0,0,0,0,0
[48] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,4699,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,33,15,166,1791,1601,1848,1742
[49] http://www.w3.org/2002/07/owl#sameAs,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,5,5,5,5
[50] http://www.w3.org/2004/02/skos/core#definition,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0
[51] http://www.w3.org/2004/02/skos/core#prefLabel,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
[52] http://xmlns.com/foaf/0.1/depiction,189,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165,163,166,163
[53] http://xmlns.com/foaf/0.1/homepage,1791,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1573,1791,1695
