Number of unique subjects: 238,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43]
[0] http://purl.org/dc/terms/format,35,-,0,0,20,35,35,0,15,0,35,0,0,0,35,35,0,0,35,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,35,0,0,0,0
[1] http://purl.org/dc/terms/hasFormat,35,-,-,2,4,7,0,5,3,7,0,4,3,6,7,7,3,7,0,0,7,7,0,3,3,0,0,0,0,0,0,0,7,7,7,0,3,3,0,0,7,7,0,0,7
[2] http://purl.org/dc/terms/hasPart,5,-,-,-,1,2,0,0,1,2,0,1,1,1,2,2,1,2,0,0,2,2,0,1,1,0,0,0,0,0,0,0,2,2,2,0,1,1,0,0,2,2,0,0,2
[3] http://purl.org/dc/terms/hasVersion,216,-,-,-,-,24,20,3,0,4,20,4,0,3,24,24,0,4,20,0,4,4,20,0,0,0,0,0,0,0,0,0,4,4,24,0,0,0,0,0,24,4,0,0,4
[4] http://purl.org/dc/terms/identifier,43,-,-,-,-,-,35,5,18,7,35,4,3,6,43,43,4,7,35,1,7,7,35,4,4,0,0,0,0,0,0,1,7,7,43,0,3,3,0,1,43,7,0,1,7
[5] http://purl.org/dc/terms/isFormatOf,35,-,-,-,-,-,-,0,15,0,35,0,0,0,35,35,0,0,35,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,35,0,0,0,0
[6] http://purl.org/dc/terms/isPartOf,5,-,-,-,-,-,-,-,2,5,0,3,2,5,5,5,2,5,0,0,5,5,0,2,2,0,0,0,0,0,0,0,5,5,5,0,2,2,0,0,5,5,0,0,5
[7] http://purl.org/dc/terms/isVersionOf,18,-,-,-,-,-,-,-,-,3,15,0,3,3,18,18,3,3,15,0,3,3,15,3,3,0,0,0,0,0,0,0,3,3,18,0,3,3,0,0,18,3,0,0,3
[8] http://purl.org/dc/terms/license,7,-,-,-,-,-,-,-,-,-,0,4,3,6,7,7,3,7,0,0,7,7,0,3,3,0,0,0,0,0,0,0,7,7,7,0,3,3,0,0,7,7,0,0,7
[9] http://purl.org/dc/terms/modified,35,-,-,-,-,-,-,-,-,-,-,0,0,0,35,35,0,0,35,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,35,0,0,0,0
[10] http://purl.org/dc/terms/publisher,4,-,-,-,-,-,-,-,-,-,-,-,0,3,4,4,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,4,4,0,0,4
