Number of unique subjects: 1,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12]
[0] http://purl.org/dc/terms/created,1,-,1,1,1,1,1,1,1,1,1,1,1,1
[1] http://purl.org/dc/terms/creator,1,-,-,1,1,1,1,1,1,1,1,1,1,1
[2] http://purl.org/dc/terms/description,1,-,-,-,1,1,1,1,1,1,1,1,1,1
[3] http://purl.org/dc/terms/modified,1,-,-,-,-,1,1,1,1,1,1,1,1,1
[4] http://purl.org/dc/terms/subject,2,-,-,-,-,-,1,1,1,1,1,1,1,1
[5] http://purl.org/dc/terms/title,1,-,-,-,-,-,-,1,1,1,1,1,1,1
[6] http://rdfs.org/ns/void#dataDump,1,-,-,-,-,-,-,-,1,1,1,1,1,1
[7] http://rdfs.org/ns/void#exampleResource,2,-,-,-,-,-,-,-,-,1,1,1,1,1
[8] http://rdfs.org/ns/void#uriRegexPattern,1,-,-,-,-,-,-,-,-,-,1,1,1,1
[9] http://rdfs.org/ns/void#vocabulary,1,-,-,-,-,-,-,-,-,-,-,1,1,1
[10] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1,-,-,-,-,-,-,-,-,-,-,-,1,1
[11] http://www.w3.org/2000/01/rdf-schema#isDefinedBy,1,-,-,-,-,-,-,-,-,-,-,-,-,1
[12] http://xmlns.com/foaf/0.1/homepage,1,-,-,-,-,-,-,-,-,-,-,-,-,-
