Number of unique subjects: 47,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20]
[0] http://lexvo.org/ontologynearlySameAs,2,-,0,1,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,1,0
[1] http://lexvo.org/ontologysomewhatSameAs,5,-,-,0,0,0,0,0,5,5,0,5,0,1,1,1,0,2,0,0,3,0
[2] http://lexvo.org/ontologysubClassOf,1,-,-,-,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
[3] http://purl.org/dc/terms/contributor,1,-,-,-,-,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1
[4] http://purl.org/dc/terms/creator,1,-,-,-,-,-,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1
[5] http://purl.org/dc/terms/modified,1,-,-,-,-,-,-,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1
[6] http://purl.org/dc/terms/subject,1,-,-,-,-,-,-,-,1,1,0,1,0,1,0,0,0,0,0,1,0,1
[7] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,42,-,-,-,-,-,-,-,-,33,13,42,10,9,1,5,4,13,2,1,14,1
[8] http://www.w3.org/2000/01/rdf-schema#comment,34,-,-,-,-,-,-,-,-,-,6,33,10,3,1,5,0,11,2,1,13,1
[9] http://www.w3.org/2000/01/rdf-schema#domain,13,-,-,-,-,-,-,-,-,-,-,13,5,6,0,0,4,1,0,0,2,0
[10] http://www.w3.org/2000/01/rdf-schema#label,42,-,-,-,-,-,-,-,-,-,-,-,10,9,1,5,4,13,2,1,14,1
[11] http://www.w3.org/2000/01/rdf-schema#range,10,-,-,-,-,-,-,-,-,-,-,-,-,0,0,2,0,3,0,0,3,0
[12] http://www.w3.org/2000/01/rdf-schema#seeAlso,9,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,3,0,0,1,2,1
[13] http://www.w3.org/2000/01/rdf-schema#subClassOf,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0
[14] http://www.w3.org/2000/01/rdf-schema#subPropertyOf,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,1,0,1,0
[15] http://www.w3.org/2002/07/owl#equivalentProperty,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
[16] http://www.w3.org/2002/07/owl#inverseOf,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,6,0
[17] http://www.w3.org/2002/07/owl#sameAs,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0
[18] http://www.w3.org/2002/07/owl#versionInfo,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1
[19] http://www.w3.org/2004/02/skos/core#note,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[20] http://xmlns.com/foaf/0.1/homepage,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
