Number of unique subjects: 910,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24]
[0] http://purl.org/dc/elements/1.1/date,24,-,0,0,0,0,24,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
[1] http://purl.org/dc/elements/1.1/title,321,-,-,0,0,0,321,321,0,0,0,24,321,321,0,321,0,0,0,0,0,0,0,0,0,0
[2] http://purl.org/goodrelations/v1#legalName,166,-,-,-,152,35,0,0,153,70,166,0,0,166,41,166,163,0,80,0,0,0,0,121,1,11
[3] http://purl.org/net7/vocab/locs/v1#activity,153,-,-,-,-,35,0,0,147,64,152,0,0,153,37,152,152,0,77,0,0,0,0,117,1,8
[4] http://purl.org/net7/vocab/locs/v1#activityType,35,-,-,-,-,-,0,0,34,20,35,0,0,35,5,35,35,0,14,0,0,0,0,22,0,3
[5] http://purl.org/net7/vocab/locs/v1#ammontare,345,-,-,-,-,-,-,321,0,0,0,24,321,345,0,321,0,0,0,0,0,0,0,0,0,0
[6] http://purl.org/net7/vocab/locs/v1#fornitore,396,-,-,-,-,-,-,-,0,0,0,24,321,321,0,321,0,0,0,0,0,0,0,0,0,0
[7] http://purl.org/net7/vocab/locs/v1#legalForm,153,-,-,-,-,-,-,-,-,67,153,0,0,153,37,153,152,0,77,0,0,0,0,117,1,8
[8] http://purl.org/net7/vocab/locs/v1#note,90,-,-,-,-,-,-,-,-,-,90,0,0,90,26,90,73,0,31,0,0,0,0,54,1,7
[9] http://purl.org/net7/vocab/locs/v1#originalName,344,-,-,-,-,-,-,-,-,-,-,0,0,344,70,344,166,0,82,0,0,0,0,124,1,11
[10] http://purl.org/net7/vocab/locs/v1#pagamento,24,-,-,-,-,-,-,-,-,-,-,-,24,24,0,24,0,0,0,0,0,0,0,0,0,0
[11] http://purl.org/net7/vocab/locs/v1#settore,321,-,-,-,-,-,-,-,-,-,-,-,-,321,0,321,0,0,0,0,0,0,0,0,0,0
[12] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,857,-,-,-,-,-,-,-,-,-,-,-,-,-,70,831,167,167,82,166,165,162,167,124,1,11
[13] http://www.w3.org/2000/01/rdf-schema#comment,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70,44,0,19,0,0,0,0,33,0,4
[14] http://www.w3.org/2000/01/rdf-schema#label,885,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,166,166,82,166,164,161,166,124,1,11
[15] http://www.w3.org/2006/vcard/ns#adr,167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,81,0,0,0,0,123,1,11
[16] http://www.w3.org/2006/vcard/ns#country-name,167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,166,165,162,167,0,0,0
[17] http://www.w3.org/2006/vcard/ns#email,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,78,0,1
[18] http://www.w3.org/2006/vcard/ns#locality,167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,164,161,166,0,0,0
[19] http://www.w3.org/2006/vcard/ns#postal-code,165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,162,165,0,0,0
[20] http://www.w3.org/2006/vcard/ns#region,162,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,162,0,0,0
[21] http://www.w3.org/2006/vcard/ns#street-address,167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[22] http://www.w3.org/2006/vcard/ns#tel,124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3
[23] http://www.w3.org/2006/vcard/ns#url,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[24] http://www.w3.org/2008/05/skos#exactMatch,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
