Number of unique subjects: 20,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28]
[0] http://purl.org/dc/terms/contributor,2,-,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
[1] http://purl.org/dc/terms/creator,1,-,-,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
[2] http://purl.org/dc/terms/date,1,-,-,-,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
[3] http://purl.org/dc/terms/format,2,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[4] http://purl.org/dc/terms/hasFormat,2,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
[5] http://purl.org/dc/terms/identifier,1,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
[6] http://purl.org/dc/terms/isVersionOf,1,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
[7] http://purl.org/dc/terms/issued,9,-,-,-,-,-,-,-,-,1,1,1,1,1,1,9,0,9,7,8,9,7,1,4,1,4,1,8,0,0
[8] http://purl.org/dc/terms/modified,1,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
[9] http://purl.org/dc/terms/rights,1,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
[10] http://purl.org/dc/terms/title,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
[11] http://purl.org/vocab/vann/preferredNamespacePrefix,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
[12] http://purl.org/vocab/vann/preferredNamespaceUri,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
[13] http://web.resource.org/cc/license,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
[14] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,9,7,8,11,7,1,4,1,4,1,8,0,0
[15] http://www.w3.org/1999/02/22-rdf-syntax-ns#value,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,2,0,0,0,0,0,0,0,0,0
[16] http://www.w3.org/2000/01/rdf-schema#comment,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,8,9,7,1,4,1,4,1,8,0,0
[17] http://www.w3.org/2000/01/rdf-schema#domain,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,0,4,0,4,0,7,0,0
[18] http://www.w3.org/2000/01/rdf-schema#isDefinedBy,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,7,1,4,1,4,0,8,0,0
[19] http://www.w3.org/2000/01/rdf-schema#label,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,1,4,1,4,1,8,0,0
[20] http://www.w3.org/2000/01/rdf-schema#range,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,0,4,0,7,0,0
[21] http://www.w3.org/2000/01/rdf-schema#subClassOf,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,1,0,0
[22] http://www.w3.org/2000/01/rdf-schema#subPropertyOf,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,0,4,0,0
[23] http://www.w3.org/2002/07/owl#equivalentClass,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0
[24] http://www.w3.org/2002/07/owl#equivalentProperty,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,0,0
[25] http://www.w3.org/2002/07/owl#versionInfo,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[26] http://www.w3.org/2004/02/skos/core#definition,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[27] http://xmlns.com/foaf/0.1/homepage,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
[28] http://xmlns.com/foaf/0.1/name,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
