Number of unique subjects: 24628,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21]
[0] http://www.nlm.nih.gov/mesh/2006#activeMeSHYear,122379,-,66,23885,18651,20780,19697,3409,0,19350,21752,21752,21752,108,0,14915,15514,0,16904,12401,23885,3951,22523
[1] http://www.nlm.nih.gov/mesh/2006#considerAlso,66,-,-,66,3,66,17,7,0,18,66,66,66,3,0,28,64,0,51,0,66,51,56
[2] http://www.nlm.nih.gov/mesh/2006#dateCreated,23885,-,-,-,18651,20780,19697,3409,0,19350,21752,21752,21752,108,0,14915,15514,0,16904,12401,23885,3951,22523
[3] http://www.nlm.nih.gov/mesh/2006#dateEstablished,18651,-,-,-,-,15555,18643,2752,0,18397,16527,16527,16527,82,0,12394,11653,0,13264,12394,18651,2749,18017
[4] http://www.nlm.nih.gov/mesh/2006#dateRevised,20780,-,-,-,-,-,16601,3370,0,16278,20494,20494,20494,99,0,12806,13929,0,15015,10817,20780,3601,19431
[5] http://www.nlm.nih.gov/mesh/2006#historyNote,19697,-,-,-,-,-,-,3377,0,19327,17573,17573,17573,92,0,13172,12412,0,14037,12400,19697,3020,19006
[6] http://www.nlm.nih.gov/mesh/2006#onlineNote,3409,-,-,-,-,-,-,-,0,3264,3358,3358,3358,29,0,2484,2412,0,2679,1723,3409,551,3262
[7] http://www.nlm.nih.gov/mesh/2006#preferredCombination,696,-,-,-,-,-,-,-,-,0,0,0,0,0,696,0,0,696,0,0,0,0,0
[8] http://www.nlm.nih.gov/mesh/2006#publicMeSHNote,19350,-,-,-,-,-,-,-,-,-,17245,17245,17245,83,0,12939,12144,0,13979,12346,19350,2965,18700
[9] http://www.nlm.nih.gov/mesh/2006#recordAuthorizer,21752,-,-,-,-,-,-,-,-,-,-,21752,21752,104,0,13639,14050,0,15835,11263,21752,3704,20402
[10] http://www.nlm.nih.gov/mesh/2006#recordMaintainer,21752,-,-,-,-,-,-,-,-,-,-,-,21752,104,0,13639,14050,0,15835,11263,21752,3704,20402
[11] http://www.nlm.nih.gov/mesh/2006#recordOriginator,21752,-,-,-,-,-,-,-,-,-,-,-,-,104,0,13639,14050,0,15835,11263,21752,3704,20402
[12] http://www.nlm.nih.gov/mesh/2006#runningHead,108,-,-,-,-,-,-,-,-,-,-,-,-,-,0,49,104,0,61,23,108,28,95
[13] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,743,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,743,0,0,0,0,0
[14] http://www.w3.org/2004/02/skos/core#altLabel,47243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9289,0,11492,8590,14915,2587,14490
[15] http://www.w3.org/2004/02/skos/core#annotation,15514,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,10725,7448,15514,2836,14667
[16] http://www.w3.org/2004/02/skos/core#broader,743,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
[17] http://www.w3.org/2004/02/skos/core#hiddenLabel,79493,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9353,16904,3152,16068
[18] http://www.w3.org/2004/02/skos/core#historyNote,22111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12401,1883,12105
[19] http://www.w3.org/2004/02/skos/core#prefLabel,23885,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3951,22523
[20] http://www.w3.org/2004/02/skos/core#related,6289,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3812
[21] http://www.w3.org/2004/02/skos/core#scopeNote,22523,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
