Number of unique subjects: 19236,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54]
[0] http://www.semwebtech.org/mondial/10/meta#abbrev,168,-,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,168
[1] http://www.semwebtech.org/mondial/10/meta#area,2300,-,-,209,0,1661,244,44,117,358,244,0,0,0,231,22,224,223,223,234,241,1651,150,0,75,150,0,0,190,228,226,237,0,480,149,0,633,282,0,480,0,2300,166,0,0,0,0,0,1662,0,1661,234,178,198,176,2300
[2] http://www.semwebtech.org/mondial/10/meta#belongsToIslands,214,-,-,-,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,214,214,0,214,0,214,0,0,0,0,0,0,0,0,0,0,86,0,0,214
[3] http://www.semwebtech.org/mondial/10/meta#bordering,650,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325
[4] http://www.semwebtech.org/mondial/10/meta#capital,1673,-,-,-,-,-,243,44,0,0,243,0,0,0,0,0,224,223,223,233,241,1662,0,0,75,0,0,0,190,227,225,237,0,0,0,0,0,0,0,0,0,1673,165,0,0,0,0,0,1673,0,1672,233,0,198,176,1673
[5] http://www.semwebtech.org/mondial/10/meta#carCode,244,-,-,-,-,-,-,44,0,0,244,0,0,0,0,0,224,223,223,234,241,244,0,0,75,0,0,0,190,228,226,237,0,0,0,0,0,0,0,0,0,244,166,0,0,0,0,0,244,0,244,234,0,198,176,244
[6] http://www.semwebtech.org/mondial/10/meta#dependentOf,44,-,-,-,-,-,-,-,0,0,44,0,0,0,0,0,28,27,27,36,43,44,0,0,0,0,0,0,0,32,30,39,0,0,0,0,0,0,0,0,0,44,8,0,0,0,0,0,44,0,44,36,0,28,0,44
[7] http://www.semwebtech.org/mondial/10/meta#depth,157,-,-,-,-,-,-,-,-,107,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,157,0,0,118,39,157,0,0,0,0,0,0,0,0,0,0,49,0,0,157
[8] http://www.semwebtech.org/mondial/10/meta#elevation,751,-,-,-,-,-,-,-,-,-,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,2,751,0,0,751,242,70,751,0,611,0,0,0,0,0,0,0,0,0,0,256,0,0,751
[9] http://www.semwebtech.org/mondial/10/meta#encompassed,249,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,224,223,223,234,241,244,0,0,75,0,0,0,190,228,226,237,0,0,0,0,0,0,0,0,0,244,166,0,0,0,0,0,244,0,244,234,0,198,176,244
[10] http://www.semwebtech.org/mondial/10/meta#encompassedArea,249,-,-,-,-,-,-,-,-,-,-,-,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,249
[11] http://www.semwebtech.org/mondial/10/meta#encompassedBy,249,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,249
[12] http://www.semwebtech.org/mondial/10/meta#established,152,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,152
[13] http://www.semwebtech.org/mondial/10/meta#flowsInto,313,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,0,0,0,0,0,0,230,0,0,230,0,0,0,0,0,0,0,83,225,0,313,0,0,83,0,313,0,0,0,0,0,0,0,0,0,0,24,0,0,313
[14] http://www.semwebtech.org/mondial/10/meta#flowsThrough,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,36,0,0,36,0,0,0,0,0,0,0,0,34,0,36,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,36
[15] http://www.semwebtech.org/mondial/10/meta#gdpAgri,224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,223,223,224,223,224,0,0,75,0,0,0,188,218,221,223,0,0,0,0,0,0,0,0,0,224,159,0,0,0,0,0,224,0,224,221,0,195,174,224
[16] http://www.semwebtech.org/mondial/10/meta#gdpInd,223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,223,223,222,223,0,0,75,0,0,0,188,218,220,222,0,0,0,0,0,0,0,0,0,223,159,0,0,0,0,0,223,0,223,220,0,194,174,223
[17] http://www.semwebtech.org/mondial/10/meta#gdpServ,223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,223,222,223,0,0,75,0,0,0,188,218,220,222,0,0,0,0,0,0,0,0,0,223,159,0,0,0,0,0,223,0,223,220,0,194,174,223
[18] http://www.semwebtech.org/mondial/10/meta#gdpTotal,234,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,231,234,0,0,75,0,0,0,189,227,226,232,0,0,0,0,0,0,0,0,0,234,162,0,0,0,0,0,234,0,234,231,0,198,175,234
[19] http://www.semwebtech.org/mondial/10/meta#government,241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,241,0,0,75,0,0,0,190,226,224,236,0,0,0,0,0,0,0,0,0,241,164,0,0,0,0,0,241,0,241,231,0,198,176,241
[20] http://www.semwebtech.org/mondial/10/meta#hasCity,6253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,75,0,0,0,190,228,226,237,0,0,0,0,0,0,0,0,0,1663,166,0,0,0,0,0,1663,0,1662,234,0,198,176,1663
[21] http://www.semwebtech.org/mondial/10/meta#hasEstuary,231,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,231,0,0,0,0,0,0,0,0,226,0,231,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,231
[22] http://www.semwebtech.org/mondial/10/meta#hasHeadq,121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,121
[23] http://www.semwebtech.org/mondial/10/meta#hasProvince,1430,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,68,75,75,75,0,0,0,0,0,0,0,0,0,75,71,0,0,0,0,0,75,0,75,75,0,70,61,75
[24] http://www.semwebtech.org/mondial/10/meta#hasSource,231,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,226,0,231,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,231
