Number of unique subjects: 394,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26]
[0] http://purl.org/dc/elements/1.1/date,1,-,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
[1] http://purl.org/dc/elements/1.1/description,14,-,-,14,13,0,0,14,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
[2] http://purl.org/dc/elements/1.1/title,14,-,-,-,13,0,0,14,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
[3] http://purl.org/ontology/mo/level,211,-,-,-,-,0,0,210,192,130,204,183,126,1,54,74,1,2,6,0,0,35,0,0,0,0,198,0
[4] http://www.w3.org/1999/02/22-rdf-syntax-ns#first,119,-,-,-,-,-,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[5] http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,119,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[6] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,281,-,-,-,-,-,-,-,192,129,217,184,125,1,54,74,0,2,6,24,1,35,6,6,31,1,218,1
[7] http://www.w3.org/2000/01/rdf-schema#comment,193,-,-,-,-,-,-,-,-,130,192,178,126,1,48,74,1,2,0,0,0,35,0,0,0,0,192,0
[8] http://www.w3.org/2000/01/rdf-schema#domain,130,-,-,-,-,-,-,-,-,-,129,115,126,0,0,65,1,0,0,0,0,33,0,0,0,0,130,0
[9] http://www.w3.org/2000/01/rdf-schema#isDefinedBy,218,-,-,-,-,-,-,-,-,-,-,177,126,1,48,73,1,2,0,13,0,35,0,0,0,0,204,0
[10] http://www.w3.org/2000/01/rdf-schema#label,184,-,-,-,-,-,-,-,-,-,-,-,111,1,54,65,0,2,6,0,0,31,0,0,0,0,183,0
[11] http://www.w3.org/2000/01/rdf-schema#range,126,-,-,-,-,-,-,-,-,-,-,-,-,0,0,63,1,0,0,0,0,33,0,0,0,0,126,0
[12] http://www.w3.org/2000/01/rdf-schema#seeAlso,1,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[13] http://www.w3.org/2000/01/rdf-schema#subClassOf,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,2,6,0,0,0,0,0,0,0,54,0
[14] http://www.w3.org/2000/01/rdf-schema#subPropertyOf,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,20,0,0,0,0,74,0
[15] http://www.w3.org/2000/01/rdf-schema#type,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,1,0
[16] http://www.w3.org/2002/07/owl#disjointWith,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,2,0
[17] http://www.w3.org/2002/07/owl#equivalentClass,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,6,0
[18] http://www.w3.org/2002/07/owl#equivalentProperty,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,21,0
[19] http://www.w3.org/2002/07/owl#imports,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,0,1
[20] http://www.w3.org/2002/07/owl#inverseOf,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,35,0
[21] http://www.w3.org/2002/07/owl#onProperty,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,0,0
[22] http://www.w3.org/2002/07/owl#someValuesFrom,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
[23] http://www.w3.org/2002/07/owl#unionOf,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[24] http://www.w3.org/2002/07/owl#versionInfo,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1
[25] http://www.w3.org/2003/06/sw-vocab-status/ns#term_status,219,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[26] http://xmlns.com/foaf/0.1/maker,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
