Number of unique subjects: 996,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9]
[0] http://ec.europa.eu/eurostat/ramon/ontologies/nace.rdf#broader,975,-,975,29,975,975,975,975,975,975,975
[1] http://ec.europa.eu/eurostat/ramon/ontologies/nace.rdf#code,996,-,-,30,996,975,996,996,996,996,996
[2] http://ec.europa.eu/eurostat/ramon/ontologies/nace.rdf#definition,30,-,-,-,30,29,30,30,30,30,30
[3] http://ec.europa.eu/eurostat/ramon/ontologies/nace.rdf#iSIC4Code,996,-,-,-,-,975,996,996,996,996,996
[4] http://ec.europa.eu/eurostat/ramon/ontologies/nace.rdf#inSection,975,-,-,-,-,-,975,975,975,975,975
[5] http://ec.europa.eu/eurostat/ramon/ontologies/nace.rdf#level,996,-,-,-,-,-,-,996,996,996,996
[6] http://ec.europa.eu/eurostat/ramon/ontologies/nace.rdf#name,996,-,-,-,-,-,-,-,996,996,996
[7] http://ec.europa.eu/eurostat/ramon/ontologies/nace.rdf#sectionAndCode,996,-,-,-,-,-,-,-,-,996,996
[8] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1992,-,-,-,-,-,-,-,-,-,996
[9] http://www.w3.org/2000/01/rdf-schema#label,996,-,-,-,-,-,-,-,-,-,-
